"sd_id","sd_model_name","sd_model_code","sd_maker","sd_release_date","sd_os","sd_sale_type","sd_display_cm","sd_display_in","sd_display_type","sd_display_resolution","sd_display_ppi","sd_display_hz","sd_display_aspect_ratio","sd_display_size","sd_display_width","sd_display_height","sd_display_hdr","sd_ap_type","sd_core","sd_core_clock","sd_gpu_core","sd_npu_dsp","sd_sensor_hub","sd_modem","sd_ram","sd_Builtin_memory","sd_storage","sd_external_memory","sd_5g","sd_4g","sd_wifi","sd_bluetooth","sd_satellite","sd_usim_type","sd_dual_usim","sd_camera_type","sd_back_camera","sd_front_camera","sd_camera_resolution","sd_flash","sd_photo_resolution","sd_front_resolution","sd_front_video_resolution","sd_camera_aperture","sd_hand_tremor_correction","sd_hand_tremor_protection","sd_camera_flash","sd_hdr_filming","sd_auto_hdr","sd_optical_zoom","sd_geotag","sd_laser_auto_focus","sd_auto_focus","sd_out_focus","sd_touch_focus","sd_panorama","sd_tof","sd_night_photography","sd_iphone_terminal","sd_speaker","sd_high_sound_quality","sd_sound_technology","sd_fingerprint","sd_face","sd_iris","sd_voice","sd_ai","sd_payment","sd_touch_pen","sd_dustproof","cs_etc","cs_charging_terminal","sd_battery","sd_battery_type1","sd_battery_type2","sd_battery_type3","sd_battery_terminal","sd_fast_charge","sd_wireless_charge","sd_color","sd_width","cs_height","cs_thickness","cs_weight"
"48","갤럭시S9 Plus","SM-G965","samsung",\n,"안드로이드 8.0 오레오","가개통/중고","15.75","6.2","S-AMOLED","2960x1440","529","60Hz","18.5:9","84.20%",\n,\n,"HDR10","엑시노스9 9810","옥타(8)코어","2.7GHz+1.7GHz","Mali G72",\n,\n,\n,"6GB","64GB","UFS2.1","microSD:최대400GB",\n,"LTE-A Cat.18","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,200만+1200만","800만","2160p(UHD),60fps",\n,\n,\n,\n,"F1.5","광학식손떨림보정(듀얼OIS)","○","○","○",\n,"○","○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","스테레오(2개)","32비트 음원재생",\n,"지문인식(후면)","얼굴인식","지원",\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","3500",\n,\n,"배터리일체형","최대15W","퀵차지2.0","Qi무선충전: 최대9W",\n,"73.8","158.1","8.5","189"
"49","갤럭시S8","SM-G950","samsung",\n,"안드로이드7.0 누가","가개통/중고","14.73","5.8","AMOLED","2960x1440","570","60Hz","18.5:9","83.60%",\n,\n,"HDR10+","엑시노스9 8895","옥타(8)코어","2.3GHz+1.7GHz","Mali G71",\n,\n,\n,"4GB","64GB","UFS2.0","microSD:최대256GB",\n,"LTE-A Cat.16","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,200만","800만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.7","광학식손떨림보정(OIS)","○","○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","모노(1개)","32비트 음원재생",\n,"지문인식(후면)","얼굴인식","지원",\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","3000",\n,\n,"배터리일체형","최대15W","퀵차지2.0","Qi무선충전: 최대9W",\n,"68.1","148.9","8","155"
"50","갤럭시S8 Plus","SM-G955","samsung",\n,"안드로이드7.0 누가","가개통/중고","15.75","6.2","AMOLED","2960x1440","529","60Hz","18.5:9","84%",\n,\n,"HDR10+","엑시노스9 8895","옥타(8)코어","2.3GHz+1.7GHz","Mali G71",\n,\n,\n,"4GB","64GB","UFS2.0","microSD:최대256GB",\n,"LTE-A Cat.16","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,200만","800만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.7","광학식손떨림보정(OIS)","○","○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","모노(1개)","32비트 음원재생",\n,"지문인식(후면)","얼굴인식","지원",\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","3500",\n,\n,"배터리일체형","최대15W","퀵차지2.0","Qi무선충전: 최대9W",\n,"73.4","159.5","8.1","173"
"51","갤럭시S7","SM-G930","samsung",\n,"안드로이드6.0 마쉬멜로우","가개통/중고","12.95","5.1","AMOLED","2560x1440","577",\n,"16:09","81.10%",\n,\n,\n,"엑시노스8 8890","옥타(8)코어","2.3GHz + 1.6GHz","Mali T880",\n,\n,\n,"4GB","32GB","UFS2.0","microSD:최대256GB",\n,"LTE-A Cat.12","802.11 a/b/g/n/ac","v4.2",\n,"나노유심",\n,\n,"1,200만","500만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.7",\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","스테레오(2개)",\n,\n,"지문인식",\n,\n,\n,\n,"삼성페이",\n,"IP68",\n,\n,"3000",\n,\n,"배터리일체형",\n,\n,"Qi무선충전: 최대9W",\n,"70.5","143.4","6.8","152"
"52","갤럭시S7 Edge","SM-G935","samsung",\n,"안드로이드6.0 마쉬멜로우","가개통/중고","13.97","5.5","AMOLED","2560x1440","534",\n,"16:09","83.40%",\n,\n,\n,"엑시노스8 8890","옥타(8)코어","2.3GHz + 1.6GHz","Mali T880",\n,\n,\n,"4GB","32GB","UFS2.0","microSD:최대256GB",\n,"LTE-A Cat.12","802.11 a/b/g/n/ac","v4.2",\n,"나노유심",\n,\n,"1,200만","500만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.7",\n,\n,"○",\n,\n,\n,"○",\n,"○","○","○",\n,\n,\n,"3.5mm",\n,\n,\n,"지문인식",\n,\n,\n,\n,"삼성페이",\n,"IP68",\n,\n,"3600",\n,\n,"배터리일체형",\n,\n,"Qi무선충전: 최대9W",\n,"72.6","150.9","7.7","157"
"53","갤럭시S6 Edge Plus","SM-G928","samsung",\n,"안드로이드5.1 롤리팝","가개통/중고","14.47","5.7","AMOLED","2560x1440","515",\n,\n,"84.20%",\n,\n,\n,"엑시노스7 7420","옥타(8)코어","2.1GHz","Mali T760",\n,\n,\n,"4GB","32GB","UFS","MicroSD 미지원",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac","v4.1",\n,"나노유심",\n,\n,"1,600만","800만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.9","손떨림보정","○","○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm",\n,\n,\n,"지문인식",\n,\n,\n,\n,"삼성페이",\n,\n,\n,\n,"3000",\n,\n,"배터리일체형",\n,\n,"Qi무선충전: 최대9W",\n,"75.8","154.4","6.9","153"
"54","갤럭시S6 Edge","SM-G925","samsung",\n,"안드로이드5.0 롤리팝","가개통/중고","12.95","5.1","AMOLED","2560x1440","576",\n,\n,"81.80%",\n,\n,\n,"엑시노스7 7420","옥타(8)코어","2.1GHz","Mali T760",\n,\n,\n,"3GB","32GB","UFS","MicroSD 미지원",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac","v4.1",\n,"나노유심",\n,\n,"1,600만","500만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.9",\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","스테레오(2개)",\n,\n,"지문인식",\n,\n,\n,\n,"삼성페이",\n,\n,\n,\n,"2600",\n,\n,"배터리일체형",\n,\n,"Qi무선충전: 최대5W",\n,"70.1","142.1","7","132"
"55","갤럭시S6","SM-G920","samsung",\n,"안드로이드5.0 롤리팝","가개통/중고","12.95","5.1","AMOLED","2560x1440","577",\n,\n,"81.10%",\n,\n,\n,"엑시노스7 7420","옥타(8)코어","2.1GHz","Mali T760",\n,\n,\n,"3GB","32GB","UFS","MicroSD 미지원",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac","v4.1",\n,"나노유심",\n,\n,"1,600만","500만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.9",\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","스테레오(2개)",\n,\n,"지문인식",\n,\n,\n,\n,"삼성페이",\n,\n,\n,\n,"2550",\n,\n,"배터리일체형",\n,\n,"Qi무선충전: 최대5W",\n,"70.5","143.4","6.8","138"
"56","갤럭시S5","SM-G900","samsung",\n,"안드로이드4.4 킷캣","가개통/중고","12.95","5.1","AMOLED","1920x1080",\n,\n,\n,\n,\n,\n,\n,\n,"옥타(8)코어","2.1GHz",\n,\n,\n,\n,"2GB","16GB","eMMC","MicroSD",\n,"LTE Cat.4","802.11 a/b/g/n/ac","v4.0",\n,"마이크로유심",\n,\n,"1,500~2,000만","200~300만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,"지문인식",\n,\n,\n,\n,\n,\n,"IP67",\n,\n,"2800",\n,\n,"배터리탈착형",\n,\n,\n,\n,"72.5","142","8.1","145"
"57","갤럭시S5 LTE-A","SM-G906","samsung",\n,"안드로이드4.4 킷캣","가개통/중고","12.95","5.1","AMOLED","2560x1440","576",\n,\n,\n,\n,\n,\n,"스냅드래곤805","쿼드(4)코어","2.5GHz","Adreno 420",\n,\n,\n,"3GB","32GB","eMMC","MicroSD",\n,"LTE-A Cat.9","802.11 a/b/g/n/ac","v4.0",\n,"마이크로유심",\n,\n,"1,600만","200만","2160p(UHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,"○","○",\n,\n,\n,\n,"3.5mm",\n,\n,\n,"지문인식",\n,\n,\n,\n,\n,\n,"IP67",\n,\n,"2800",\n,\n,"배터리탈착형",\n,\n,\n,\n,"72.5","142","8.1","145"
"58","갤럭시S4 Active","SHV-E470","samsung",\n,"안드로이드4.2 젤리빈","공기계-새제품","12.7","5","LCD","1920x1080","441",\n,\n,\n,\n,\n,\n,"스냅드래곤800","쿼드(4)코어","2.3GHz","Adreno 330",\n,\n,\n,"2GB","32GB","eMMC","MicroSD",\n,"LTE Cat.4","802.11 a/b/g/n/ac","v4.0",\n,"마이크로유심",\n,\n,"1,200~1,499만","200~300만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"IP67",\n,"마이크로5핀","2600",\n,\n,"배터리탈착형",\n,\n,\n,\n,"71.3","139.7","9.1","147"
"59","갤럭시S4 Zoom","SM-C105","samsung",\n,"안드로이드4.2 젤리빈","가개통/중고","10.92","4.3","AMOLED","960x540","256",\n,\n,\n,\n,\n,\n,\n,"듀얼(2)코어","1.5GHz","PowerVR SGX544",\n,\n,\n,"1.5GB","16GB","eMMC","MicroSD",\n,"LTE",\n,"v4.0",\n,"마이크로유심",\n,\n,"1600만","190만","1080p(FHD),30fps",\n,\n,\n,\n,\n,"광학식손떨림보정(OIS)","○",\n,"○",\n,"○",\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2330",\n,\n,"배터리탈착형",\n,\n,\n,\n,"63.5","125.5","15.4","208"
"60","갤럭시S4 Mini","SHV-E370","samsung",\n,"안드로이드4.2 젤리빈","가개통/중고","10.92","4.3","AMOLED","960x540","250~280",\n,\n,\n,\n,\n,\n,\n,"듀얼(2)코어","1.7GHz",\n,\n,\n,\n,"1.5GB","8GB","eMMC","MicroSD",\n,"LTE","802.11 a/b/g/n","v4.0",\n,"마이크로유심",\n,\n,"800~999만","100~199만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"1000~1999",\n,\n,"배터리탈착형",\n,\n,\n,\n,"50~80","100~150","7~10","100~150"
"61","갤럭시S3 LTE","SHV-E210","samsung",\n,"안드로이드4.3 젤리빈","가개통/중고","12.19","4.8","AMOLED","1280x720","305",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.4GHz",\n,\n,\n,\n,"2GB","16GB","eMMC","MicroSD",\n,"LTE","802.11 a/b/g/n","v4.0",\n,"마이크로유심",\n,\n,"800만","190만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2100",\n,\n,"배터리탈착형",\n,\n,\n,\n,"70.6","136.6","9","138.5"
"62","갤럭시S3 3G","SHV-M440","삼성전자 																			",\n,"안드로이드4.2 젤리빈","가개통/중고","12.19","4.8","AMOLED","1280x720","305",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.4GHz",\n,\n,\n,\n,"1GB","16GB","eMMC","MicroSD",\n,"3G","802.11 a/b/g/n","v4.0",\n,"마이크로유심",\n,\n,"800만","190만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2100",\n,\n,"배터리탈착형",\n,\n,\n,\n,"70.6","136.6","8.6","133"
"63","갤럭시S2 ","SHW-M250","samsung",\n,"안드로이드2.3 진저브레드","가개통/중고","11.68","4.6","AMOLED","1280x720","280~330",\n,\n,\n,\n,\n,\n,\n,"듀얼(2)코어","1.5GHz",\n,\n,\n,\n,"1GB","16GB","eMMC","MicroSD",\n,\n,\n,"v3.0",\n,"마이크로유심",\n,\n,"800~999만","200~300만",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"1000~1999",\n,\n,"배터리탈착형",\n,\n,\n,\n,"50~80","100~150","7~10","100~150"
"64","갤럭시S2 HD LTE","SHV-E120","samsung",\n,"안드로이드2.3 진저브레드","가개통/중고","11.68","4.6","AMOLED","1280x720","280~330",\n,\n,\n,\n,\n,\n,\n,"듀얼(2)코어","1.5GHz",\n,\n,\n,\n,"1GB","16GB","eMMC","MicroSD",\n,\n,\n,"v3.0",\n,"마이크로유심",\n,\n,"800~999만","200~300만",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"1000~1999",\n,\n,"배터리탈착형",\n,\n,\n,\n,"50~80","100~150","7~10","100~150"
"65","갤럭시S2 LTE","SHV-E110","samsung",\n,"안드로이드2.3 진저브레드","가개통/중고","11.68","4.6","AMOLED","1280x720","280~330",\n,\n,\n,\n,\n,\n,\n,"듀얼(2)코어","1.5GHz",\n,\n,\n,\n,"1GB","16GB","eMMC","MicroSD",\n,\n,\n,"v3.0",\n,"마이크로유심",\n,\n,"800~999만","200~300만",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"1000~1999",\n,\n,"배터리탈착형",\n,\n,\n,\n,"50~80","100~150","7~10","100~150"
"66","갤럭시그랜드 맥스","SM-G720","samsung",\n,"안드로이드4.4 킷캣",\n,"13.33","5.25","LCD","1280x720","280",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.2GHz",\n,\n,\n,\n,"1.5GB","16GB","eMMC","MicroSD",\n,"LTE-A",\n,"v4.0",\n,"마이크로유심",\n,\n,"1,300만","500만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2500",\n,\n,"배터리탈착형",\n,\n,\n,\n,\n,\n,"7.9","163"
"67","갤럭시그랜드2","SM-G710","samsung",\n,"안드로이드4.3 젤리빈","가개통/중고","13.33","5.25",\n,"1280x720","280",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.2GHz",\n,\n,\n,\n,"1.5GB","8GB","eMMC","MicroSD",\n,"LTE",\n,"v4.0",\n,"마이크로유심",\n,\n,"800만","190만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","2600",\n,\n,"배터리탈착형",\n,\n,\n,\n,"75.3","146.8","8.9","166"
"68","갤럭시노트10 Plus","SM-N976","samsung",\n,"안드로이드9.0 파이","가개통/중고","17.2","6.8","D-AMOLED","3040x1440","498","60Hz","16:09","91.00%",\n,\n,"HDR10+","엑시노스9825","옥타(8)코어","2.73GHz+2.4GHz+1.9GHz","Mali G76",\n,\n,\n,"12GB","256GB",\n,"microSD:최대1TB","5G NR","LTE-A Cat.20","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,600만+1,200만+1,200만+TOF 3D VGA","1,000만","4K,60fps",\n,\n,\n,\n,"F1.5","광학식손떨림보정(OIS)","○",\n,"○",\n,"○",\n,\n,"○",\n,\n,\n,"○","○",\n,"스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)","얼굴인식",\n,\n,"빅스비","삼성페이","4096단계 필압","IP68",\n,"USB타입C","4300",\n,\n,"배터리일체형","최대45W","고속충전지원","Qi무선충전: 최대15W",\n,"77.2","162.3","7.9","198"
"69","갤럭시노트9","SM-N960","samsung",\n,"안드로이드8.1 오레오","가개통/중고","16.25","6.4","S-AMOLED","2960x1440","516","60Hz","18.5:9","83.40%",\n,\n,"HDR10","엑시노스9810","옥타(8)코어","2.7GHz+1.7GHz","Mali G72",\n,\n,\n,"6GB","128GB","UFS2.1","microSD:최대512GB",\n,"LTE-A Cat.18","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,200만+1,200만","800만","2160p(UHD),60fps",\n,\n,\n,\n,"F1.5","광학식손떨림보정(듀얼OIS)","○","○","○",\n,"○",\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm","스테레오(2개)","32비트 음원재생",\n,"지문인식(후면)","얼굴인식","지원",\n,"빅스비","삼성페이","4096단계 필압","IP68",\n,"USB타입C","4000",\n,\n,"배터리일체형","최대15W","퀵차지2.0","Qi무선충전: 최대9W",\n,"76.4","161.9","8.8","201"
"70","갤럭시노트8","SM-N950","samsung",\n,"안드로이드10","공기계-새제품","17.53","6.9","D-AMOLED","3088x1440","496","120Hz","19.3:9","91.70%",\n,\n,"HDR10+","스냅드래곤865+","옥타(8)코어","3.0GHz+2.42GHz+1.8GHz","Adreno 650",\n,\n,\n,"12GB","256GB","UFS3.1","microSD:최대1TB","5G NR","LTE-A Cat.20","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1억800만+1,200만+1,200만","1,000만","8K,24fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)+전자식손떨림보정(EIS)","○","○",\n,"○","○",\n,"○","○",\n,\n,"○",\n,\n,\n,"스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)",\n,\n,\n,"빅스비","삼성페이","4096단계 필압","IP68",\n,"USB타입C","4500",\n,\n,"배터리일체형","최대25W","USB PD3.0","Qi무선충전",\n,"77.2","164.8","8.1","208"
"71","갤럭시노트FE","SM-N935","samsung",\n,"안드로이드7.0 누가","가개통/중고","14.47","5.7","AMOLED","2560x1440","515",\n,\n,"85%",\n,\n,\n,"엑시노스8 8890","옥타(8)코어","2.3GHz+1.6GHz","Mali T880",\n,\n,\n,"4GB","64GB","UFS2.0","MicroSD",\n,"LTE-A Cat.12","802.11 a/b/g/n/ac","v4.2",\n,"나노유심",\n,\n,"1,200만","500만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.7",\n,\n,"○","○",\n,\n,"○",\n,"○","○","○",\n,\n,\n,"3.5mm","모노(1개)",\n,\n,"지문인식",\n,"지원",\n,\n,"삼성페이","4096단계 필압","IP68",\n,"USB타입C","3200",\n,\n,"배터리일체형",\n,"퀄컴퀵차지2.0","Qi무선충전",\n,"73.9","153.5","7.9","167"
"72","갤럭시노트3 Neo","SM-N750","samsung",\n,\n,\n,"13.97",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n
"73","갤럭시폴더2","SM-G160","samsung",\n,"안드로이드6.0 마쉬멜로우","공기계-새제품","9.65","3.8","LCD","800x480","245",\n,"16:09","70.90%",\n,\n,\n,"스냅드래곤425","쿼드(4)코어","1.4GHz","Adreno 308",\n,\n,\n,"2GB","32GB","eMMC","microSD:최대256GB",\n,"LTE Cat.4","802.11 b/g/n","v4.2",\n,"나노유심",\n,\n,"800만","500만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm","모노(1개)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","1950",\n,\n,"배터리탈착형",\n,\n,\n,\n,"60.2","122","16.1","164"
"74","갤럭시알파","SM-G850","samsung",\n,"안드로이드4.4 킷캣","가개통/중고","11.93","4.7","AMOLED","1280x720","320",\n,\n,\n,\n,\n,\n,"엑시노스5 5430","옥타(8)코어","1.8GHz","Mali T628",\n,\n,\n,"2GB","32GB","eMMC","MicroSD 미지원",\n,"LTE Cat.4","802.11 a/b/g/n/ac","v4.0 LE",\n,"나노유심",\n,\n,"1,200만","210만",\n,\n,\n,\n,\n,\n,\n,\n,"○","○",\n,\n,"○",\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"1860",\n,\n,"배터리탈착형",\n,\n,\n,\n,"65.5","132.4","6.7","115"
"75","갤럭시코어 Advance","SHW-M570","samsung",\n,"안드로이드4.2 젤리빈","가개통/중고","11.93","4.7",\n,"800x480","198",\n,\n,\n,\n,\n,\n,\n,"듀얼(2)코어","1.2GHz",\n,\n,\n,\n,"1GB","8GB","eMMC","MicroSD",\n,"3G","802.11 b/g/n","v4.0",\n,"마이크로유심",\n,\n,"500만","50만",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2000",\n,\n,"배터리탈착형",\n,\n,\n,\n,"70.5","133.3","9.7","145"
"76","갤럭시줌2","SM-C115","samsung",\n,"안드로이드4.4 킷캣","가개통/중고","12.19","4.8","AMOLED","1280x720","305",\n,\n,\n,\n,\n,\n,\n,"헥사(6)코어","1.3GHz+1.7GHz",\n,\n,\n,\n,"2GB","16GB","eMMC",\n,\n,"LTE",\n,\n,\n,"마이크로유심",\n,\n,"2,070만","200만",\n,\n,\n,\n,\n,\n,"광학식손떨림보정(OIS)","○",\n,\n,\n,"○",\n,\n,\n,\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2430",\n,\n,\n,\n,\n,\n,\n,"70.8","137.5","20.2","200"
"77","갤럭시윈","SHV-E500","samsung",\n,"안드로이드4.2 젤리빈","가개통/중고","11.68","4.6","LCD","800x480","150~250",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.4GHz",\n,\n,\n,\n,"1GB","8GB","eMMC","MicroSD",\n,"LTE",\n,"v4.0",\n,"마이크로유심",\n,\n,"500~799만","30~49만",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2000~2299",\n,\n,"배터리탈착형",\n,\n,\n,\n,"50~80","100~150","7~10","150~200"
"78","갤럭시라운드","SM-G910","samsung",\n,"안드로이드4.3 젤리빈","가개통/중고","14.47","5.7","AMOLED","1920x1080","331~400",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","2.3GHz",\n,\n,\n,\n,"3GB","32GB","eMMC","MicroSD",\n,"LTE-A",\n,"v4.0 apt-X",\n,\n,\n,\n,"1,200~1,499만","200~300만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","2300~2999",\n,\n,"배터리탈착형",\n,\n,\n,\n,"50~80","150~200","7~10","150~200"
"79","갤럭시골든","SHV-E400","samsung",\n,"안드로이드4.2 젤리빈","가개통/중고","9.39","3.7","AMOLED","800x480","254",\n,\n,\n,\n,\n,\n,\n,"듀얼(2)코어","1.7GHz",\n,\n,\n,\n,"2GB","16GB","eMMC","MicroSD",\n,"LTE","802.11 a/b/g/n","v4.0 apt-X",\n,\n,\n,\n,"800만","190만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"1820",\n,\n,"배터리탈착형",\n,\n,\n,\n,"59.5","118","15.8","179"
"80","갤럭시메가 6.3","SHV-E310","samsung",\n,"안드로이드4.2 젤리빈","가개통/중고","16","6.3",\n,"1280x720","216",\n,\n,\n,\n,\n,\n,\n,"듀얼(2)코어","1.7GHz",\n,\n,\n,\n,"1.5GB","16GB","eMMC","MicroSD",\n,"LTE","802.11 a/b/g/n","v4.0",\n,"마이크로유심",\n,\n,"800만","160만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3200",\n,\n,"배터리탈착형",\n,\n,\n,\n,"88","167","8","205"
"81","갤럭시팝","SHV-E220","samsung",\n,"안드로이드4.1 젤리빈","가개통/중고","11.68","4.6","AMOLED","1280x720","280~330",\n,\n,\n,\n,\n,\n,\n,"쿼드(4)코어","1.4GHz",\n,\n,\n,\n,"2GB","8GB","eMMC","MicroSD",\n,\n,\n,"v4.0 apt-X",\n,\n,\n,\n,"800~999만","100~199만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"2000~2299",\n,\n,"배터리탈착형",\n,\n,\n,\n,"50~80","100~150","7~10","100~150"
