"sd_id","sd_model_name","sd_model_code","sd_maker","sd_release_date","sd_os","sd_sale_type","sd_display_cm","sd_display_in","sd_display_type","sd_display_resolution","sd_display_ppi","sd_display_hz","sd_display_aspect_ratio","sd_display_size","sd_display_width","sd_display_height","sd_display_hdr","sd_ap_type","sd_core","sd_core_clock","sd_gpu_core","sd_npu_dsp","sd_sensor_hub","sd_modem","sd_ram","sd_Builtin_memory","sd_storage","sd_external_memory","sd_5g","sd_4g","sd_wifi","sd_bluetooth","sd_satellite","sd_usim_type","sd_dual_usim","sd_camera_type","sd_back_camera","sd_front_camera","sd_camera_resolution","sd_flash","sd_photo_resolution","sd_front_resolution","sd_front_video_resolution","sd_camera_aperture","sd_hand_tremor_correction","sd_hand_tremor_protection","sd_camera_flash","sd_hdr_filming","sd_auto_hdr","sd_optical_zoom","sd_geotag","sd_laser_auto_focus","sd_auto_focus","sd_out_focus","sd_touch_focus","sd_panorama","sd_tof","sd_night_photography","sd_iphone_terminal","sd_speaker","sd_high_sound_quality","sd_sound_technology","sd_fingerprint","sd_face","sd_iris","sd_voice","sd_ai","sd_payment","sd_touch_pen","sd_dustproof","cs_etc","cs_charging_terminal","sd_battery","sd_battery_type1","sd_battery_type2","sd_battery_type3","sd_battery_terminal","sd_fast_charge","sd_wireless_charge","sd_color","sd_width","cs_height","cs_thickness","cs_weight"
"38","갤럭시 J5 2016","SM-J510","samsung",\n,"안드로이드5.1 롤리팝","가개통/중고","13.22","5.2","AMOLED","1280x720","282",\n,"16:09","81.20%",\n,\n,\n,\n,"쿼드(4)코어","1.2GHz",\n,\n,\n,\n,"2GB","16GB","eMMC","MicroSD",\n,"LTE-A","802.11 b/g/n","v4.1",\n,"마이크로유심",\n,\n,"1,300만","500만","1080p(FHD),30fps",\n,\n,\n,\n,\n,\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"3100",\n,\n,\n,\n,\n,\n,\n,"72.3","145.8","8.1","159"
"39","갤럭시 J7","SM-J700","samsung",\n,"안드로이드 7.0 누가","가개통/중고","13.97","5.5","AMOLED","1920x1080","401",\n,"16:09","82.20%",\n,\n,\n,"엑시노스 7 7870(64bit)","옥타(8)코어","1.6GHz","Mali T830",\n,\n,\n,"3GB","32GB","eMMC","MicroSD",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac","v4.1",\n,"나노유심",\n,\n,"1,300만","1,300만","1080p(FHD),30fps",\n,\n,\n,\n,"F1.7",\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","모노(1개)",\n,\n,"지문인식",\n,\n,\n,\n,"삼성페이",\n,"IP54",\n,"마이크로5핀","3600",\n,\n,"배터리일체형",\n,\n,\n,\n,"74.8","152.5","8","181"
"40","갤럭시 J6","SM-J600","samsung",\n,"안드로이드8.0 오레오","가개통/중고","14.19","5.6","S-AMOLED","1480x720","294",\n,"18.5:9","75.90%",\n,\n,\n,"엑시노스7870 Octa","옥타(8)코어","1.6GHz","Mali T830",\n,\n,\n,"2GB","32GB",\n,"microSD:최대256GB",\n,"LTE Cat.4","802.11 b/g/n","v4.2",\n,"나노유심",\n,\n,"1,300만","800만","1080p(FHD),30fps",\n,\n,\n,\n,"F1.9",\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","모노(1개)","24비트 음원재생",\n,"지문인식",\n,\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","3000",\n,\n,"배터리일체형",\n,\n,\n,\n,"70.2","149.3","8.2","154"
"41","갤럭시 J5","SM-J500","samsung",\n,"안드로이드7.0 누가","가개통/중고","13.22","5.2","AMOLED","1280x720","282",\n,"16:09","81.20%",\n,\n,\n,"엑시노스7 7870","옥타(8)코어","1.6GHz","Mali T830",\n,\n,\n,"2GB","32GB","eMMC","MicroSD",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac","v4.1",\n,"나노유심",\n,\n,"1,300만","1,300만","1080p(FHD),30fps",\n,\n,\n,\n,"F1.7",\n,\n,"○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","모노(1개)",\n,\n,"지문인식",\n,\n,\n,\n,"삼성페이",\n,\n,\n,"마이크로5핀","3000",\n,\n,"배터리일체형",\n,\n,\n,\n,"71.3","146.2","8","160"
"42","갤럭시 J4 Plus","SM-J415","samsung",\n,"안드로이드8.1 오레오","가개통/중고","15.24","6","IPS-LCD","1480x720","274",\n,"18.5:9","73.60%",\n,\n,\n,"스냅드래곤425","쿼드(4)코어","1.4GHz","Adreno 308",\n,\n,\n,"3GB","32GB",\n,"microSD:최대512GB",\n,"LTE Cat.4","802.11 b/g/n","v4.2",\n,"나노유심",\n,\n,"1,300만","500만","1080p(FHD),30fps",\n,\n,\n,\n,"F1.9",\n,\n,"○","○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,"3.5mm","모노(1개)","24비트 음원재생",\n,\n,"얼굴인식",\n,\n,\n,\n,\n,\n,\n,"마이크로5핀","3300",\n,\n,"배터리일체형",\n,\n,\n,\n,"76.9","161.4","7.9","178"
"43","갤럭시S10 5G","SM-G977","samsung",\n,"안드로이드9.0 파이","가개통/중고","17.02","6.7","D-AMOLED","3040x1440","505","60Hz","19:09","89.40%",\n,\n,"HDR10+","엑시노스9820","옥타(8)코어","2.7GHz+2.3GHz+1.9GHz","Mali G76",\n,\n,\n,"8GB","256GB","UFS2.1","MicroSD 미지원","5G NR","LTE-A Cat.20","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,600만+1,200만+1,200만","1,000만","4K,60fps",\n,\n,\n,\n,"F1.5","광학식손떨림보정(듀얼OIS)",\n,"○","○",\n,"○",\n,\n,"○",\n,\n,\n,"○","○","3.5mm","스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)","얼굴인식",\n,\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","4500",\n,\n,"배터리일체형","최대25W","USB PD3.0","Qi무선충전: 최대12W",\n,"77.1","162.6","7.94","198"
"44","갤럭시S10e","SM-G970","samsung",\n,"안드로이드9.0 파이","가개통/중고","14.73","5.8","D-AMOLED","2280x1080","438","60Hz","19:09","83.30%",\n,\n,"HDR10+","엑시노스9820","옥타(8)코어","2.7GHz+2.3GHz+1.9GHz","Mali G76",\n,\n,\n,"6GB","128GB","UFS2.1","microSD:최대512GB",\n,"LTE-A Cat.20","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,600만+1,200만","1,000만","4K,60fps",\n,\n,\n,\n,"F1.5","광학식손떨림보정(OIS)",\n,"○","○",\n,\n,\n,\n,"○",\n,\n,\n,\n,"○","3.5mm","스테레오(2개)","32비트 음원재생",\n,"지문인식(측면)","얼굴인식",\n,\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","3100",\n,\n,"배터리일체형","최대15W","USB PD2.0","Qi무선충전: 최대12W",\n,"69.9","142.2","7.9","150"
"45","갤럭시S10","SM-G973","samsung",\n,"안드로이드9.0 파이","가개통/중고","15.49","6.1","D-AMOLED","3040x1440","550","60Hz","19:09","88.30%",\n,\n,"HDR10+","엑시노스9820","옥타(8)코어","2.7GHz+2.3GHz+1.9GHz","Mali G76",\n,\n,\n,"8GB","128GB","UFS2.1","microSD:최대512GB",\n,"LTE-A Cat.20","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,600만+1,200만+1,200만","1,000만","4K,60fps",\n,\n,\n,\n,"F1.5","광학식손떨림보정(듀얼OIS)",\n,"○","○",\n,"○",\n,\n,"○",\n,\n,\n,\n,"○","3.5mm","스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)","얼굴인식",\n,\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","3400",\n,\n,"배터리일체형","최대15W","USB PD2.0","Qi무선충전: 최대12W",\n,"70.4","149.9","7.8","157"
"46","갤럭시S10 Plus","SM-G975","samsung",\n,"안드로이드9.0 파이","가개통/중고","16.25","6.4","D-AMOLED","3040x1440","522","60Hz","19:09","87.50%",\n,\n,"HDR10+","엑시노스9820","옥타(8)코어","2.7GHz+2.3GHz+1.9GHz","Mali G76",\n,\n,\n,"8GB","128GB","UFS2.1","microSD:최대512GB",\n,"LTE-A Cat.20","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,600만+1,200만+1,200만","1,000만+800만","4K,60fps",\n,\n,\n,\n,"F1.5","광학식손떨림보정(듀얼OIS)",\n,"○","○",\n,"○",\n,\n,"○",\n,\n,\n,\n,"○","3.5mm","스테레오(2개)","32비트 음원재생",\n,"지문인식(온스크린)","얼굴인식",\n,\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","4100",\n,\n,"배터리일체형","최대15W","USB PD2.0","Qi무선충전: 최대12W",\n,"74.1","157.6","7.8","175"
"47","갤럭시S9","SM-G960","samsung",\n,"안드로이드 8.0 오레오","가개통/중고","14.73","5.8","S-AMOLED","2960x1440","570","60Hz","18.5:9","83.60%",\n,\n,\n,"엑시노스9 9810","옥타(8)코어","2.7GHz+1.7GHz","Mali G72",\n,\n,\n,"4GB","64GB","UFS2.1","microSD:최대400GB",\n,"LTE-A Cat.18","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,200만","800만","2160p(UHD),60fps",\n,\n,\n,\n,"F1.5","광학식손떨림보정(OIS)","○","○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm","스테레오(2개)","32비트 음원재생",\n,"지문인식(후면)","얼굴인식","지원",\n,"빅스비","삼성페이",\n,"IP68",\n,"USB타입C","3000",\n,\n,"배터리일체형","최대15W","퀵차지2.0","Qi무선충전: 최대9W",\n,"68.7","147.7","8.5","163"
