model_code,price
SHW-M570S,SKT:269500
SHV-E330S,SKT:499400|KT:499400|LG:499400
SHV-E470S,SKT:528000
SHW-A301S,SKT:225500
SHV-E500S,SKT:297000|LG:297000
SM-G910S,SKT:759000
SM-N900S,SKT:880000|KT:880000|LG:880000
SM-N9005,SKT:880000
SM-P605S,SKT:799700
SHV-E275S,SKT:269500|KT:269500
SHV-E400S,SKT:799700|KT:799700
SHV-E310S,SKT:799700|KT:799700|LG:799700
SHV-E330S,SKT:499400|KT:605000|LG:605000
XQ700T1C-H53S,SKT:1760000
SHV-E300S,SKT:550000|KT:550000|LG:550000
SHV-E220S,SKT:319000
SHC-Z160S,SKT:451000
SHV-E270S,SKT:269500|KT:269500
SHV-E230S,SKT:891000|KT:891000
SHV-E250S,SKT:847000|KT:847000|LG:847000
SHV-E250S,SKT:913000|KT:913000|LG:847000
SHV-E250L,SKT:847000|KT:847000|LG:847000
SHW-M440S,SKT:200000
SHW-A330S,SKT:451000
SHW-A310S,SKT:297000
SM-T876,SKT:929500|KT:929500|LG:929500
SM-T976,SKT:1249600
SM-P585S,SKT:488400
SM-P585S,SKT:488400
SM-N910S,SKT:799700|KT:316800|LG:799700
SM-T385S,SKT:308000|KT:308000|LG:308000
SM-T365F0,SKT:599000|LG:599000
SM-T810,SKT:719000
SM-P585N,SKT:488400|KT:484000|LG:484000
SM-G155S,SKT:297000|KT:297000|LG:297000
A2411,SKT:1870000|KT:1870000|LG:1870000
A2399,SKT:946000|KT:946000|LG:946000
A2399,SKT:1012000|KT:1012000|LG:1012000
A2399,SKT:1155000|KT:1155000|LG:1155000
A2411,SKT:1474000|KT:1474000|LG:1474000
A2411,SKT:1606000|KT:1606000|LG:1606000
A2403,SKT:1078000|KT:1078000|LG:1078000
A2403,SKT:1155000|KT:1155000|LG:1155000
A2403,SKT:1287000|KT:1287000|LG:1287000
A2407,SKT:1342000|KT:1342000|LG:1342000
A2407,SKT:1474000|KT:1474000|LG:1474000
A2407,SKT:1738000|KT:1738000|LG:1738000
A2776,SKT:539000|KT:539000|LG:539000
A2776,SKT:605000|KT:605000|LG:605000
A2776,SKT:748000|KT:748000|LG:748000
A2776,SKT:462000
A2776,SKT:528000
A2776,SKT:671000
A2198,SKT:594000|KT:594000|LG:594000
A2198,SKT:715000|KT:715000|LG:715000
A2218,SKT:1328800|KT:1529000|LG:1529000
A2215,SKT:1584000|KT:1584000|LG:1584000
A2218,SKT:1738000|KT:1738000|LG:1738000
A2215,SKT:1837000|KT:1837000|LG:1837000
A2218,SKT:1790800|KT:1991000|LG:1991000
A2156,SKT:638000|KT:638000|LG:638000
A2157,SKT:638000|KT:638000|LG:638000
A2221,SKT:859100|KT:990000|LG:990000
A2221,SKT:925100|KT:1056000|LG:1056000
A2221,SKT:1057100|KT:1188000|LG:1188000
A2215,SKT:1174800|KT:1375000|LG:1375000
RE_A2218,SKT:1537800|LG:1738000
RE_A2215,SKT:1636800|LG:1837000
RE_A2218,SKT:1639000|LG:1991000
RE_A2221,SKT:825000|KT:550000|LG:990000
RE_A2221,SKT:891000|KT:649000
RE_A2221,SKT:1057100|KT:693000|LG:1188000
RE_A2215,SKT:1155000
RE_A2218,SKT:1287000|LG:1529000
RE_A2215,SKT:1383800|LG:1584000
A2157,SKT:902000|KT:858000
A2124,SKT:847000|KT:847000|LG:847000
A1895,SKT:1441000|KT:1441000|LG:1441000
A1895,SKT:1639000|KT:1639000|LG:1639000
A1895,SKT:1903000|KT:1903000|LG:1903000
A1895,SKT:2442000|KT:2442000|LG:2442000
A2097,SKT:940500|KT:1562000|LG:1562000
A2101,SKT:990000|KT:990000|LG:1705000
A2097,SKT:990000|KT:1815000|LG:1815000
A2101,SKT:1100000|KT:1969000|LG:1969000
A2007,SKT:605000|LG:605000
A2008,SKT:649000|KT:649000|LG:649000
A2007,SKT:869000|KT:869000|LG:869000
A2105,SKT:841500|KT:841500|LG:990000
A2105,SKT:891000|KT:891000|LG:1056000
A2105,SKT:940500|KT:940500|LG:1188000
A2097,SKT:891000|KT:891000|LG:1364000
A2101,SKT:940500|KT:1496000|LG:1496000
A1889,SKT:734800|LG:525800
A1954,SKT:682000|LG:682000
A1954,SKT:572000|LG:572000
A1901,SKT:480700|KT:330000
A1901,SKT:1351900|KT:899800|LG:1351900
A1901,SKT:1155000|KT:847000|LG:1155000
A1905,SKT:781000|KT:847000|LG:1142900
A1897,SKT:1283700|KT:902000|LG:1283700
A1905,SKT:335500
A1897,SKT:412500
A1905,SKT:599500|KT:799700|LG:946000
A1897,SKT:1076900|KT:847000|LG:1076900
A1709,SKT:775500|KT:935000|LG:935000
A1709,SKT:1046100|KT:1046100|LG:1046100
A1671,SKT:1120900|KT:1120900|LG:1120900
A1671,SKT:1230900|KT:1230900|LG:1230900
A1709,SKT:1267200|KT:1267200|LG:1267200
A1671,SKT:1452000|KT:1452000|LG:1452000
RE_IPHONE7_128G,SKT:493900|KT:242000
RE_IPHONE7+_128G,SKT:570900|KT:253000
RE_IPHONE7_256G,SKT:493900|KT:242000
RE_IPHONE7+_256G,SKT:570900|KT:253000
A1778,SKT:499400|KT:440000|LG:599500
A1778,SKT:399300|KT:699600|LG:699600
A1784,SKT:821700|KT:699600|LG:858000
A1778,SKT:599500|KT:799700|LG:799700
A1784,SKT:1152800|KT:799700|LG:990000
A1784,SKT:1283700|KT:899800|LG:1094500
A1723,SKT:330000|KT:569800|LG:536800
A1723,SKT:399300|KT:699600|LG:666600
A1652,SKT:1488300|KT:1298000
A1652,SKT:1488300|KT:1298000
A1688,SKT:999900|KT:699600|LG:612700
A1687,SKT:1065900|LG:363000
A1687,SKT:610500|KT:799700|LG:678700
A1688,SKT:599500|KT:799700|LG:385000
A1687,SKT:665500|KT:968000|LG:440000
A1687,SKT:399300|KT:599500|LG:500500
A1688,SKT:869000|KT:599500|LG:434500
A1688,SKT:346500|LG:352000
RE,SKT:499400
RE,SKT:660000
RE,SKT:770000
A1600,SKT:511500
A1586,SKT:965800|KT:965800|LG:534600
A1586,SKT:499400|KT:699600|LG:367400
A1586,SKT:633600|KT:833800|LG:501600
A1586,SKT:379500|KT:379500|LG:214500
A1524,SKT:399300|KT:809600|LG:477400
A1524,SKT:599500|KT:965800|LG:633600
A1524,SKT:1188000|KT:1097800|LG:665060
A1599,SKT:634700|KT:634700
A1566,SKT:732600|KT:732600
A1599,SKT:755700|KT:755700
A1566,SKT:853600|KT:853600
A1599,SKT:876700|KT:876700
A1566,SKT:974600|KT:974600
A1475,SKT:970000|KT:970000
A1475,SKT:743000|KT:743000
A1490,SKT:982000
A1490,SKT:762000
A1475,SKT:1091000
A1475,SKT:862000|KT:862000
A1490,SKT:882000
A1490,SKT:642000
A1530,SKT:946000|KT:550000
A1530,SKT:1078000|KT:616000
A1530,SKT:814000|KT:184800
A1529,SKT:396000|KT:396000
A1460,SKT:882000
A1460,SKT:642000
A1460,SKT:982000
A1460,SKT:642000
A1429,SKT:484000|KT:484000
A1429,SKT:550000|KT:550000
A1429,SKT:616000|KT:1078000
A1432,SKT:687000
A1432,SKT:687000
A1432,SKT:687000
A1430,SKT:994000
A1430,SKT:994000
A1430,SKT:994000
A1396,SKT:726000
A1396,SKT:828000
A1396,SKT:936000
A1332,SKT:814000|KT:484000
A1332,SKT:200000|KT:550000
A2376,SKT:946000
iPad,SKT:594000|KT:594000
iPad,SKT:924000|KT:924000
iPad,SKT:715000|KT:715000
iPad,SKT:1122000
A2355,SKT:396000
A2356,SKT:440000
A2375,SKT:638000
A2376,SKT:682000
A2375,SKT:902000
LM-Q520N,SKT:330000|KT:330000|LG:330000
LM-F100N,SKT:1098900|KT:1098900|LG:1098900
LM-Q310N,SKT:209000|KT:209000|LG:209000
LM-Q920N,SKT:499400|KT:499400|LG:499400
LM-Q630N,SKT:369600|KT:369600|LG:369600
LM-G900N,SKT:899800|KT:899800|LG:899800
LM-Y120S,SKT:198000|LG:198000
LM-Q510N,SKT:319000|KT:319000|LG:319000
LM-V510N,SKT:999900|KT:999900|LG:999900
LM-T600L,SKT:440000|LG:440000
LM-Q730N,SKT:548900|KT:548900|LG:548900
LM-X220NJ,SKT:209000|KT:198000
LM-X220N,SKT:198000|KT:198000|LG:198000
LM-X625N,SKT:349800|KT:349800|LG:349800
LM-V500N,SKT:999900|KT:899800|LG:750200
LM-X420N,SKT:297000|KT:297000|LG:297000
LM-G820N,SKT:897600|KT:897600|LG:897600
LM-Q925S,SKT:499400|KT:499400|LG:499400
LM-V409N,SKT:1049400|KT:1049400|LG:1049400
LM-Q815S,SKT:539000|KT:539000|LG:539000
LM-X210S,SKT:198000
LM-V350N,SKT:1048300|KT:1048300|LG:1048300
LM-Q720S,SKT:419100|KT:419100|LG:419100
LM-Q725S,SKT:517000|KT:517000|LG:517000
