pl_id,pl_maker,pl_model_code,pl_name,pl_model_name
1,apple,A2221,아이폰11,iphone11
2,apple,A2215,아이폰11 Pro,iphone11 Pro
3,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max
4,apple,A2097,아이폰Xs,iphoneXs
5,apple,A2101,아이폰Xs Max,iphoneXs Max
6,apple,A2105,아이폰Xr,iphoneXr
7,apple,A1901,아이폰X,iphoneX
8,apple,A1905,아이폰8,iphone8
9,apple,A1897,아이폰8 Plus,iphone8 Plus
10,apple,A1778,아이폰7,iphone7
11,apple,A1784,아이폰7 Plus,iphone7 Plus
12,apple,A1723,아이폰SE,iphoneSE
13,apple,A1688,아이폰6s,iphone6s
14,apple,A1687,아이폰6s Plus,iphone6s Plus
15,apple,A1586,아이폰6,iphone6
16,apple,A1524,아이폰6 Plus,iphone6 Plus
17,apple,A1530,아이폰5s,iphone5s
18,apple,A1532,아이폰5c,iphone5c
19,apple,A1428,아이폰5,iphone5
20,apple,A1387,아이폰4s,iphone4s
21,apple,A1332,아이폰4,iphone4
22,samsung,SM-A908,갤럭시 A90 5G,Galaxy A90 5G
23,samsung,SM-A505,갤럭시 A50,Galaxy A50
24,samsung,SM-A405,갤럭시 A40,Galaxy A40
25,samsung,SM-A305,갤럭시 A30,Galaxy A30
26,samsung,SM-A205,갤럭시 와이드4,Galaxy Wide4
27,samsung,SM-G887,갤럭시 A9 Pro,Galaxy A9 Pro
28,samsung,SM-G885,갤럭시 A8 Star,Galaxy A8 Star
29,samsung,SM-A920,갤럭시 A9 2018,Galaxy A9 2018
30,samsung,SM-A530,갤럭시 A8 2018,Galaxy A8 2018
31,samsung,SM-A600,갤럭시 A6 2018,Galaxy A6 2018
32,samsung,SM-A750,갤럭시 A7 2018,Galaxy A7 2018
33,samsung,SM-A520,갤럭시 A5 2017,Galaxy A5 2017
34,samsung,SM-A810,갤럭시 A8 2016,Galaxy A8 2016
35,samsung,SM-A310,갤럭시 A3 2016,Galaxy A3 2016
36,samsung,SM-A510,갤럭시 A5 2016,Galaxy A5 2016
37,samsung,SM-A710,갤럭시 A7 2016,Galaxy A7 2016
38,samsung,SM-A800,갤럭시 A8,Galaxy A8
39,samsung,SM-A500,갤럭시 A5,Galaxy A5
40,samsung,SM-A300,갤럭시 A3,Galaxy A3
41,samsung,SM-A700,갤럭시 A7,Galaxy A7
42,samsung,SHW-M100,갤럭시 A,Galaxy A
43,samsung,SM-J250,갤럭시 J2 Pro,Galaxy J2 Pro
44,samsung,SM-J330,갤럭시 J3 2017,Galaxy J3 2017
45,samsung,SM-J530,갤럭시 J5 2017,Galaxy J5 2017
46,samsung,SM-J730,갤럭시 J7 2017,Galaxy J7 2017
47,samsung,SM-J320,갤럭시 J3 2016,Galaxy J3 2016
48,samsung,SM-J710,갤럭시 J7 2016,Galaxy J7 2016
49,samsung,SM-J510,갤럭시 J5 2016,Galaxy J5 2016
50,samsung,SM-J700,갤럭시 J7,Galaxy J7
