모델명,모델코드,제조회사,출시일,운영체제,판매방식,화면크기(센치),화면크기(인치),패널종류,화면해상도,ppi,최대주사율,화면비,화면면적,화면폭,화면높이,HDR규격,AP종류,코어갯수,코어클럭,그래픽코어,NPU & DSP,Sensor Hub,통신모뎀,시스템램,내장메모리,저장장치,외장메모리,5G,4G,WI-FI주파수,블루투스,위성항법,유심타입,듀얼유심,카메라타입,후면카메라,전면카메라,동영상촬영,Flash,사진촬영 해상도,전면 해상도,전면 동영상 해상도,조리개 값,손떨림보정,손떨림방지,카메라플래시,HDR촬영지원,오토HDR,광학줌,지오태그,레이저 오토포커스,오토 포커스,아웃 포커스,터치 포커스,파노라마,TOF센서,야간모드 촬영,이어폰단자,스피커,고음질재생,사운드 기술,지문인식,얼굴인식,홍채인식,음성잠금해제,AI/인공지능,전자결제,터치펜,방수/방진,기타,충전단자,배터리용량,배터리타입,배터리특징,배터리장착방식,충전지원,고속충전기술,무선충전,색상,가로,세로,두께,무게,사이트명
아이폰11 Pro,A2215,apple,2019. 09,iOS 13,,,5.8,OLED,1125 x 2436,463 ppi,,,,61.77,133.75,,Apple A13 Bionic APL1W85,6개 (64 비트),2650 MHz,-,,,,4 GB,64 GB / 256 GB / 512 GB,,미확인,,4G,미확인,5,,나노유심,,,,,3840 x 2160 (-)60 FPS,LED,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,3190,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,71.4,144,8.1,188,세티즌
아이폰11 Pro Max,A2218,apple,2019. 09,iOS 13,,,6.5,OLED,1242 x 2688,456 ppi,,,,69.25,149.87,,Apple A13 Bionic APL1W85,6개 (64 비트),2650 MHz,-,,,,4 GB,64 GB / 256 GB / 512 GB,,미확인,,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)60 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,, Apple Lightning 8핀,3500,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,77.8,158,8.1,226,세티즌
아이폰Xs,A2097,apple,2018. 09,iOS 12,,,5.8,OLED,1125 x 2436,463 ppi,,,,61.77,133.75,,Apple A12 Bionic APL1W81,6개 (64 비트),2500 MHz,-,,,,4 GB,64 GB / 256 GB / 512 GB,,미확인,,4G,미확인,5,,나노유심,,,,,(-)60 FPS,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,2658,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,70.9,143.6,7.7,177,세티즌
아이폰Xs Max,A2101,apple,2018. 09,iOS 12,,,6.5,OLED,1242 x 2688,456 ppi,,,,69.25,149.87,,Apple A12 Bionic APL1W81,6개 (64 비트),2500 MHz,-,,,,4 GB,64 GB / 256 GB / 512 GB,,미확인,,4G,미확인,5,,나노유심,,,,,(-)60 FPS,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,3174,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,77.4,157.5,7.9,208,세티즌
아이폰Xr,A2105,apple,2018. 09,iOS 12,,,6.1,IPS,828 x 1792,324 ppi,,,,64.99,140.65,,Apple A12 Bionic APL1W81,6개 (64 비트),2500 MHz,-,,,,3 GB,64 GB / 128 GB / 256 GB,,미확인,,4G,미확인,5,,나노유심,,,,,(-)60 FPS,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,2942,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,75.7,150.9,8.3,194,세티즌
아이폰X,A1901,apple,2017. 11,iOS 11,,,5.8,OLED,1125 x 2436,463 ppi,,,,61.77,133.75,,Apple A11 Bionic APL1W72,6개 (64 비트),2100 MHz,-,,,,3 GB,64 GB / 256 GB,,미확인,,4G,미확인,5,,나노유심,,,,,3840 x 2160 (-)60 FPS,,4032 x 3024 (12.2 메가픽셀),3088 x 2320 (7.2 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,Apple Pay,,,,,2716,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,70.9,143.6,7.7,174,세티즌
아이폰8,A1905,apple,2017. 09,iOS 11,,,4.7,IPS,750 x 1334,326 ppi,,,,58.51,104.06,,Apple A11 Bionic APL1W72,6개 (64 비트),2100 MHz,-,,,,2 GB,64 GB / 256 GB,,미확인,,4G,미확인,5,,나노유심,,,,,(-)30 FPS,,4032 x 3024 (12.2 메가픽셀),(0 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,1821,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,67.3,138.4,7.3,148,세티즌
아이폰8 Plus,A1897,apple,2017. 09,iOS 11,,,5.5,IPS,1080 x 1920,401 ppi,,,,68.49,121.76,,Apple A11 Bionic APL1W72,6개 (64 비트),2100 MHz,-,,,,3 GB,64 GB / 256 GB,,미확인,,4G,미확인,5,,나노유심,,,,,(-)30 FPS,,4032 x 3024 (12.2 메가픽셀),(0 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,2691,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,78.1,158.4,7.5,202,세티즌
아이폰7,A1778,apple,2016. 10,iOS 10 | iOS 11.4,,,4.7,IPS,750 x 1334,326 ppi,,,,58.51,104.06,,Apple A10 Fusion APL1W24,4개 (64 비트),2370 MHz,PowerVR,,,,2 GB,32 GB / 128 GB / 256 GB,,미확인,,4G,미확인,4.2,,나노유심,,,,,3840 x 2160 (-)30 FPS,,4032 x 3024 (12.2 메가픽셀),3088 x 2320 (7.2 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,1960,Li-Ion,일체형,,,,-,,67.1,138.3,7.1,138,세티즌
아이폰11,A2221,apple,,iOS13,공기계-새제품,,-6.1,IPS-LCD,1792x828,326,60Hz,19.5:9,79.00%,,,,애플 A13 Bionic,헥사(6)코어,,,,,,4GB,:128GB,,MicroSD 미지원,,LTE-A Cat.19,802.11 a/b/g/n/ac/ax,블루투스v5.0,,나노유심,,,"1,200만화소+1,200만화소","1,200만화소+TOF 3D","2160p(UHD),24fps",,,,,F1.8,광학식손떨림보정(OIS)+전자식손떨림보정(EIS),○,,○,,,,,○,,,,○,○,,스테레오(2개),,,,FaceID,,,Siri,애플페이(국내미지원),,IP68,,라이트닝8핀,3110,,,배터리일체형,최대18W,고속충전지원,Qi무선충전,,75.7,150.9,8.3,194,다나와
아이폰11 Pro,A2215,apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,다나와
아이폰11 Pro Max,A2218,apple,,iOS13,통신사가입-SKT,,-6.5,OLED,2688x1242,458,60Hz,19.5:9,83.70%,,,돌비비젼+HDR10,애플 A13 Bionic,헥사(6)코어,,,,,,4GB,:256GB,,MicroSD 미지원,,LTE-A Cat.19,802.11 a/b/g/n/ac/ax,블루투스v5.0,,나노유심,,,"1,200만화소+1,200만화소+1,200만화소","1,200만화소+TOF 3D","2160p(UHD),24fps",,,,,F1.8,광학식손떨림보정(OIS)+전자식손떨림보정(EIS),,,,,,,,,,,,,,,스테레오(2개),,,,FaceID,,,Siri,애플페이(국내미지원),,IP68,,라이트닝8핀,3500,,,배터리일체형,최대18W,USB PD3.0,Qi무선충전,,77.8,158,8.1,226,다나와
아이폰Xs,A2097,apple,,iOS12,통신사가입-KT,,-5.8,S-AMOLED,2436x1125,458,60Hz,19.5:9,82.90%,,,돌비비젼+HDR10,애플 A12 Bionic,헥사(6)코어,2.5GHz+1.53GHz,APPLE G11P,,,,4GB,:512GB,NVMe,MicroSD 미지원,,LTE-A Cat.16,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"1,200만화소+1,200만화소",700만화소,"2160p(UHD),24fps",,,,,F1.8,광학식손떨림보정(OIS),,,,,,,,,,,,,,,스테레오(2개),24비트 음원재생,,,FaceID,,,Siri,애플페이(국내미지원),,IP68,,라이트닝8핀,,,,배터리일체형,최대15W,고속충전지원,Qi무선충전: 최대7.5W,,70.9,143.6,7.7,177,다나와
아이폰Xs Max,A2101,apple,,iOS12,가개통/중고,,-6.5,S-AMOLED,2688x1242,458,60Hz,19.5:9,84.40%,,,돌비비젼+HDR10,애플 A12 Bionic,헥사(6)코어,2.5GHz+1.53GHz,APPLE G11P,,,,4GB,:64GB,NVMe,MicroSD 미지원,,LTE-A Cat.16,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"1,200만화소+1,200만화소",700만화소,"2160p(UHD),24fps",,,,,F1.8,광학식손떨림보정(OIS),○,○,○,,○,,,○,,,,,,,스테레오(2개),24비트 음원재생,,,FaceID,,,Siri,애플페이(국내미지원),,IP68,,라이트닝8핀,,,,배터리일체형,최대15W,고속충전지원,Qi무선충전: 최대7.5W,,77.4,157.5,7.7,208,다나와
아이폰Xr,A2105,apple,,iOS12,가개통/중고,,-6.1,IPS-LCD,1792x828,326,60Hz,19.5:9,79%,,,돌비비젼+HDR10,애플 A12 Bionic,헥사(6)코어,2.5GHz+1.53GHz,APPLE G11P,,,,3GB,:64GB,NVMe,MicroSD 미지원,,LTE-A Cat.12,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"1,200만화소",700만화소,"2160p(UHD),24fps",,,,,F1.8,광학식손떨림보정(OIS),○,○,○,,,,,○,,,,,,,스테레오(2개),24비트 음원재생,,,FaceID,,,Siri,애플페이(국내미지원),,IP67,,라이트닝8핀,2942,,,배터리일체형,최대15W,고속충전지원,Qi무선충전: 최대7.5W,,75,150.9,8.3,194,다나와
아이폰X,A1901,apple,,iOS 11,가개통/중고,,-5.8,AMOLED,2436x1125,458,60Hz,19.5:9,92%,,,돌비비젼+HDR10,애플 A11 Bionic,헥사(6)코어,2.4GHz+1.3GHz,,,,,3GB,:64GB,NVMe,MicroSD 미지원,,LTE-A Cat.12,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"1,200만화소+1,200만화소",700만화소,"2160p(UHD),60fps",,,,,F1.8,광학식손떨림보정(OIS),○,○,○,,○,○,,○,,○,,,,,스테레오(2개),,,,FaceID,,,Siri,애플페이(국내미지원),,IP67,,라이트닝8핀,2716,,,배터리일체형,최대15W,,Qi무선충전: 최대7.5W,,70.9,143.6,7.7,174,다나와
아이폰8,A1905,apple,,iOS 11,가개통/중고,,-4.7,IPS-LCD,1334x750,326,60Hz,16:09,77.60%,,,,애플 A11 Bionic,헥사(6)코어,2.4GHz+1.3GHz,,,,,2GB,:64GB,NVMe,MicroSD 미지원,,LTE-A Cat.12,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"1,200만화소",700만화소,"2160p(UHD),60fps",,,,,F1.8,광학식손떨림보정(OIS),○,○,○,,,○,,○,,○,,,,,스테레오(2개),,,지문인식,,,,Siri,애플페이(국내미지원),,IP67,,라이트닝8핀,1821,,,배터리일체형,최대15W,,Qi무선충전: 최대7.5W,,67.3,138.4,7.3,148,다나와
아이폰8 Plus,A1897,apple,,iOS 11,가개통/중고,,-5.5,IPS-LCD,1920x1080,401,60Hz,16:09,79.10%,,,,애플 A11 Bionic,헥사(6)코어,2.4GHz+1.3GHz,,,,,3GB,:64GB,NVMe,MicroSD 미지원,,LTE-A Cat.12,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"1,200만화소+1,200만화소",700만화소,"2160p(UHD),60fps",,,,,F1.8,광학식손떨림보정(OIS),○,○,○,,○,○,,○,,○,,,,,스테레오(2개),,,지문인식,,,,Siri,애플페이(국내미지원),,IP67,,라이트닝8핀,2675,,,배터리일체형,최대15W,,Qi무선충전: 최대7.5W,,78.1,158.4,7.5,202,다나와
아이폰7,A1778,apple,,iOS10,가개통/중고,,-4.7,IPS-LCD,1334x750,326,,16:09,77.70%,,,,애플A10 Fusion,쿼드(4)코어,2.3GHz,PowerVR GT7600+,,,,2GB,:32GB,NVMe,MicroSD 미지원,,LTE-A Cat.9,802.11 a/b/g/n/ac,블루투스v4.2,,나노유심,,,"1,200만화소","700만화소, F2.2","2160p(UHD),30fps",,,,,F1.8,광학식손떨림보정(OIS),○,○,○,,,○,,○,,○,,,,,스테레오(2개),,,지문인식,,,,Siri,애플페이(국내미지원),,IP67,,라이트닝8핀,1960,,,배터리일체형,,,,,67.1,138.3,7.1,138,다나와
