pl_id,pl_maker,pl_model_code,pl_name,pl_model_name,나무링크,세티즌링크,다나와링크,
23,samsung,SM-A505,갤럭시 A50,Galaxy A50,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A50,https://review.cetizen.com/7134/view/3/7134/review,http://prod.danawa.com/info/?pcode=9277314&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A50&cate=12215709,갤럭시 A50
24,samsung,SM-A405,갤럭시 A40,Galaxy A40,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A40,https://review.cetizen.com/7157/view/3/7157/review,http://prod.danawa.com/info/?pcode=9825498&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A40&cate=12215709,갤럭시 A40
25,samsung,SM-A305,갤럭시 A30,Galaxy A30,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A30,https://review.cetizen.com/7101/view/3/7101/review,http://prod.danawa.com/info/?pcode=7872553&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A30&cate=12215709,갤럭시 A30
26,samsung,SM-A205,갤럭시 와이드4,Galaxy Wide4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C4,https://review.cetizen.com/7114/view/3/7114/review,http://prod.danawa.com/info/?pcode=8090740&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C4&cate=12215709,갤럭시 와이드4
27,samsung,SM-G887,갤럭시 A9 Pro,Galaxy A9 Pro,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9%20Pro?from=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9%20%ED%94%84%EB%A1%9C,https://review.cetizen.com/7022/view/3/7022/review,http://prod.danawa.com/info/?pcode=7186288&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9%20Pro&cate=12215709,갤럭시 A9 Pro
28,samsung,SM-G885,갤럭시 A8 Star,Galaxy A8 Star,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8%20Star?from=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9%20Star,https://review.cetizen.com/6859/view/3/6859/review,http://prod.danawa.com/info/?pcode=6537571&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8%20Star&cate=12215709,갤럭시 A8 Star
29,samsung,SM-A920,갤럭시 A9 2018,Galaxy A9 2018,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9(2018),https://review.cetizen.com/6947/view/3/6947/review,http://prod.danawa.com/info/?pcode=6961336&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9%202018&cate=12215709,갤럭시 A9 2018
30,samsung,SM-A530,갤럭시 A8 2018,Galaxy A8 2018,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8(2018),https://review.cetizen.com/6704/view/3/6704/review,http://prod.danawa.com/info/?pcode=5814086&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8%202018&cate=12215709,갤럭시 A8 2018
31,samsung,SM-A600,갤럭시 A6 2018,Galaxy A6 2018,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A6,https://review.cetizen.com/6856/view/3/6856/review,http://prod.danawa.com/info/?pcode=6314988&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A6%202018&cate=12215709,갤럭시 A6 2018
32,samsung,SM-A750,갤럭시 A7 2018,Galaxy A7 2018,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7(2018),https://review.cetizen.com/6951/view/3/6951/review,http://prod.danawa.com/info/?pcode=6564649&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7%202018&cate=12215709,갤럭시 A7 2018
33,samsung,SM-A520,갤럭시 A5 2017,Galaxy A5 2017,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A5(2017),https://review.cetizen.com/6487/view/3/6487/review,http://prod.danawa.com/info/?pcode=4950899&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A5%202017&cate=12215709,갤럭시 A5 2017
34,samsung,SM-A810,갤럭시 A8 2016,Galaxy A8 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8(2016),https://review.cetizen.com/6453/view/3/6453/review,http://prod.danawa.com/info/?pcode=4731450&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8%202016&cate=12215709,갤럭시 A8 2016
35,samsung,SM-A310,갤럭시 A3 2016,Galaxy A3 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A3(2016),https://review.cetizen.com/6234/view/3/6234/review,http://prod.danawa.com/info/?pcode=4107738&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A3%202016&cate=12215709,갤럭시 A3 2016
36,samsung,SM-A510,갤럭시 A5 2016,Galaxy A5 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A5(2016),https://review.cetizen.com/6235/view/3/6235/review,http://prod.danawa.com/info/?pcode=3765367&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A5%202016&cate=12215709,갤럭시 A5 2016
37,samsung,SM-A710,갤럭시 A7 2016,Galaxy A7 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7(2016),https://review.cetizen.com/6236/view/3/6236/review,http://prod.danawa.com/info/?pcode=3765385&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7%202016&cate=12215709,갤럭시 A7 2016
38,samsung,SM-A800,갤럭시 A8,Galaxy A8,https://namu.wiki/w/SM-A800,https://review.cetizen.com/6115/view/3/6115/review,http://prod.danawa.com/info/?pcode=4105260&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8&cate=12215709,갤럭시 A8
39,samsung,SM-A500,갤럭시 A5,Galaxy A5,https://namu.wiki/w/SM-A500,https://review.cetizen.com/6009/view/3/6009/review,http://prod.danawa.com/info/?pcode=3050744&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A5&cate=12215709,갤럭시 A5
40,samsung,SM-A300,갤럭시 A3,Galaxy A3,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S%20III?from=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S3,https://review.cetizen.com/6002/view/3/6002/review,,갤럭시 A3
41,samsung,SM-A700,갤럭시 A7,Galaxy A7,https://namu.wiki/w/SM-A700,https://review.cetizen.com/6018/view/3/6018/review,http://prod.danawa.com/info/?pcode=3756054&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7%202015&cate=12215709,갤럭시 A7
42,samsung,SHW-M100,갤럭시 A,Galaxy A,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A,https://review.cetizen.com/4749/view/3/4749/review,,갤럭시 A
43,samsung,SM-J250,갤럭시 J2 Pro,Galaxy J2 Pro,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J2%20Pro,https://review.cetizen.com/6789/view/3/6789/review,http://prod.danawa.com/info/?pcode=6070306&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J2%20Pro&cate=12215709,갤럭시 J2 Pro
44,samsung,SM-J330,갤럭시 J3 2017,Galaxy J3 2017,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J3(2017),https://review.cetizen.com/6639/view/3/6639/review,http://prod.danawa.com/info/?pcode=5529627&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J3%202017&cate=12215709,갤럭시 J3 2017
45,samsung,SM-J530,갤럭시 J5 2017,Galaxy J5 2017,https://namu.wiki/w/SM-J530,https://review.cetizen.com/6593/view/3/6593/review,http://prod.danawa.com/info/?pcode=5367404&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J5%202017&cate=12215709,갤럭시 J5 2017
46,samsung,SM-J730,갤럭시 J7 2017,Galaxy J7 2017,https://namu.wiki/w/SM-J730,https://review.cetizen.com/6611/view/3/6611/review,http://prod.danawa.com/info/?pcode=5381988&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J7%202017&cate=12215709,갤럭시 J7 2017
47,samsung,SM-J320,갤럭시 J3 2016,Galaxy J3 2016,https://namu.wiki/w/SM-J320,https://review.cetizen.com/6363/view/3/6363/review,http://prod.danawa.com/info/?pcode=4373517&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J3%202016&cate=12215709,갤럭시 J3 2016
48,samsung,SM-J710,갤럭시 J7 2016,Galaxy J7 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J7(2016),https://review.cetizen.com/6370/view/3/6370/review,http://prod.danawa.com/info/?pcode=4183224&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J7%202016&cate=12215709,갤럭시 J7 2016
49,samsung,SM-J510,갤럭시 J5 2016,Galaxy J5 2016,https://namu.wiki/w/SM-J510,https://review.cetizen.com/6375/view/3/6375/review,http://prod.danawa.com/info/?pcode=3973956&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J5%202016&cate=12215709,갤럭시 J5 2016
50,samsung,SM-J700,갤럭시 J7,Galaxy J7,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J7,https://review.cetizen.com/6230/view/3/6230/review,http://prod.danawa.com/info/?pcode=3974897&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J7&cate=12215709,갤럭시 J7
51,samsung,SM-J600,갤럭시 J6,Galaxy J6,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J6,https://review.cetizen.com/6868/view/3/6868/review,http://prod.danawa.com/info/?pcode=6421925&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J6%20%EA%B3%B5%EA%B8%B0%EA%B3%84&cate=12215709,갤럭시 J6
52,samsung,SM-J500,갤럭시 J5,Galaxy J5,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J5,https://review.cetizen.com/6119/view/3/6119/review,http://prod.danawa.com/info/?pcode=4010928&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J5&cate=12215709,갤럭시 J5
53,samsung,SM-J415,갤럭시 J4 Plus,Galaxy J4 Plus,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J4%2B,https://review.cetizen.com/6982/view/3/6982/review,http://prod.danawa.com/info/?pcode=6954982&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J4%20Plus&cate=12215709,갤럭시 J4 Plus
54,samsung,SM-G977,갤럭시S10 5G,GalaxyS10 5G,https://namu.wiki/w/SM-G977,https://review.cetizen.com/7084/view/3/7084/review,http://prod.danawa.com/info/?pcode=7657444&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS10%205G&cate=12215709,갤럭시S10 5G
55,samsung,SM-G970,갤럭시S10e,GalaxyS10e,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S10e?from=%EA%B0%A4%EB%9F%AD%EC%8B%9Cs10e,https://review.cetizen.com/7034/view/3/7034/review,http://prod.danawa.com/info/?pcode=7377784&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS10e&cate=12215709,갤럭시S10e
56,samsung,SM-G973,갤럭시S10,GalaxyS10,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS10,https://review.cetizen.com/7035/view/3/7035/review,http://prod.danawa.com/info/?pcode=7657444&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS10&cate=12215709,갤럭시S10
57,samsung,SM-G975,갤럭시S10 Plus,GalaxyS10 Plus,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S10%2B,https://review.cetizen.com/7053/view/3/7053/review,http://prod.danawa.com/info/?pcode=7406875&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS10%20Plus&cate=12215709,갤럭시S10 Plus
58,samsung,SM-G960,갤럭시S9,GalaxyS9,https://namu.wiki/w/SM-G960,https://review.cetizen.com/6716/view/3/6716/review,http://prod.danawa.com/info/?pcode=5968376&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS9&cate=12215709,갤럭시S9
59,samsung,SM-G965,갤럭시S9 Plus,GalaxyS9 Plus,https://namu.wiki/w/SM-G965,https://review.cetizen.com/6723/view/3/6723/review,http://prod.danawa.com/info/?pcode=5968340&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS9%20Plus&cate=12215709,갤럭시S9 Plus
60,samsung,SM-G950,갤럭시S8,GalaxyS8,https://namu.wiki/w/SM-G950,https://review.cetizen.com/6512/view/3/6512/review,http://prod.danawa.com/info/?pcode=5102023&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS8&cate=12215709,갤럭시S8
61,samsung,SM-G955,갤럭시S8 Plus,GalaxyS8 Plus,https://namu.wiki/w/SM-G955,https://review.cetizen.com/6515/view/3/6515/review,http://prod.danawa.com/info/?pcode=5101866&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS8%20Plus&cate=12215709,갤럭시S8 Plus
62,samsung,SM-G930,갤럭시S7,GalaxyS7,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS7,https://review.cetizen.com/6269/view/3/6269/review,http://prod.danawa.com/info/?pcode=3874088&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS7&cate=12215709,갤럭시S7
63,samsung,SM-G935,갤럭시S7 Edge,GalaxyS7 Edge,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S7%20%EC%97%A3%EC%A7%80,https://review.cetizen.com/6477/view/3/6477/review,http://prod.danawa.com/info/?pcode=3897662&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS7%20Edge&cate=12215709,갤럭시S7 Edge
64,samsung,SM-G928,갤럭시S6 Edge Plus,GalaxyS6 Edge Plus,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S6%20%EC%97%A3%EC%A7%80%2B?from=Galaxy%20S6%20Edge%20Plus,https://review.cetizen.com/6125/view/3/6125/review,http://prod.danawa.com/info/?pcode=3757660&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS6%20Edge%20Plus&cate=12215709,갤럭시S6 Edge Plus
65,samsung,SM-G925,갤럭시S6 Edge,GalaxyS6 Edge,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S6%20%EC%97%A3%EC%A7%80?from=s6%20%EC%97%A3%EC%A7%80,https://review.cetizen.com/6038/view/3/6038/review,http://prod.danawa.com/info/?pcode=3757660&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS6%20Edge&cate=12215709,갤럭시S6 Edge
66,samsung,SM-G920,갤럭시S6,GalaxyS6,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS6,https://review.cetizen.com/6028/view/3/6028/review,http://prod.danawa.com/info/?pcode=3977060&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS6&cate=12215709,갤럭시S6
67,samsung,SM-G900,갤럭시S5,GalaxyS5,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S5,https://review.cetizen.com/5703/view/3/5703/review,http://prod.danawa.com/info/?pcode=3742021&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS5&cate=12215709,갤럭시S5
68,samsung,SM-G906,갤럭시S5 LTE-A,GalaxyS5 LTE-A,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS5,https://review.cetizen.com/5828/view/3/5828/review,http://prod.danawa.com/info/?pcode=2862923&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS5%20LTE-A&cate=12215709,갤럭시S5 LTE-A
69,samsung,SHV-E300,갤럭시S4 ,GalaxyS4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS4,https://review.cetizen.com/5366/view/3/5366/review,http://prod.danawa.com/info/?pcode=2891800&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS4&cate=12215709,갤럭시S4 
70,samsung,SHV-E330,갤럭시S4 LTE-A,GalaxyS4 LTE-A,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS4,https://review.cetizen.com/5409/view/3/5409/review,http://prod.danawa.com/info/?pcode=2891800&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS4%20LTE-A&cate=12215709,갤럭시S4 LTE-A
71,samsung,SHV-E470,갤럭시S4 Active,GalaxyS4 Active,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S4%20Active,https://review.cetizen.com/5415/view/3/5415/review,http://prod.danawa.com/info/?pcode=2890218&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS4%20Active&cate=12215709,갤럭시S4 Active
72,samsung,SM-C105,갤럭시S4 Zoom,GalaxyS4 Zoom,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS4%20Zoom,https://review.cetizen.com/5414/view/3/5414/review,http://prod.danawa.com/info/?pcode=2406024&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS4%20Zoom&cate=12215709,갤럭시S4 Zoom
73,samsung,SHV-E370,갤럭시S4 Mini,GalaxyS4 Mini,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S4%20mini,https://review.cetizen.com/5413/view/3/5413/review,http://prod.danawa.com/info/?pcode=3782182&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS4%20Mini&cate=12215709,갤럭시S4 Mini
74,samsung,SHV-E210,갤럭시S3 LTE,GalaxyS3 LTE,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS3%20LTE,https://review.cetizen.com/5226/view/3/5226/review,http://prod.danawa.com/info/?pcode=1727055&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS3%20LTE&cate=12215709,갤럭시S3 LTE
75,samsung,SHV-M440,갤럭시S3 3G,GalaxyS3 3G,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S%20III?from=%EA%B0%A4%EB%9F%AD%EC%8B%9CS3,,http://prod.danawa.com/info/?pcode=1726980&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS3%203G&cate=12215709,갤럭시S3 3G
76,samsung,SHW-M250,갤럭시S2 ,GalaxyS2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS2,https://review.cetizen.com/4980/view/3/4980/review,http://prod.danawa.com/info/?pcode=1580758&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS2&cate=12215709,갤럭시S2 
77,samsung,SHV-E120,갤럭시S2 HD LTE,GalaxyS2 HD LTE,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S%20II%20HD%20LTE,https://review.cetizen.com/5110/view/3/5110/review,http://prod.danawa.com/info/?pcode=1580758&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9CS2%20HD%20LTE&cate=12215709,갤럭시S2 HD LTE
