site_name,model_name,model_code,maker,lauch,os,sell_type,display_inch,display_centi,panel_type,resolution,ppi,refresh_rate,display_ratio,display_area,display_width,display_height,hdr_standard,ap_type,core_num,core_clock,graphic_core,npu_dsp,sensor_hub,com_modem,system_ram,in_mem,storage_device,out_mem,5G,4G,wifi,bluetooth,satelite,usim_type,dual_usim,cam_type,back_cam,front_cam,video,flash,picture_resol,front_disp_resol,front_video_resol,apecture,cam_char,trem_correction,trem_prevention,cam_flash,hdr_support,auto_hdr,optic_zoom,zio_tag,lazer_auto_focus,auto_focus,out_focus,touch_focus,panorama,tof_sensor,shoot_night_mode,earphone_term,speaker,high_sound_qual_play,sound_tech,fingerprint_recog,face_recog,iris_recog,speech_recog,ai,elec_payment,touch_pen,waterproof,etc,charge_term,battery_storage,battery_type,battery_char,battery_mount_method,charge_support,high_speed_charge,wireless_charge,color,length,width,thickness,weight
나무위키,갤럭시S5 LTE-A,SM-G906,samsung,,안드로이드 4.4 (KitKat) → 5.0 (Lollipop) → 6.0 (Marshmallow)삼성 터치위즈 네이쳐 UX 3.0,,,5.1인치,Super AMOLED,1920 x 1080,432 ppi,60 Hz,0.672916667,,,,,퀄컴 스냅드래곤 801 MSM8974AC SoC.  ,,,,퀄컴 Hexagon QDSP6 V5 DSP,DSP 대체,Qualcomm Gobi MDM9x25,2 GB LPDDR3 SDRAM,, 16 / 32 eMMC 5.0, micro SDXC (규격상 2 TB,,4G,,4,"GPS & A-GPS, GLONASS, Beidou",,[A]일부 모델 듀얼심 지원,,"후면 1,600만 화소", 200만 화소,,,,,,,,,,,,,,,,,,,,,,,,,,스와이프 방식 별도 센서 탑재,,,,,,,,국제,"USB 3.1 Gen1 micro Type-B x 1, 3.5 mm 단자 x 1, 도킹 단자 x 1", 2800 mAh,,미지원,,,,,"챠콜 블랙, 시머리 화이트, 일렉트릭 블루, 코퍼 골드, 샴페인 핑크&스위트 핑크, 글램 레드",72.5,142, 8.1 mm, 145 g
나무위키,갤럭시S4 ,SHV-E300,samsung,,안드로이드 4.2 → 4.3 (Jelly Bean) → 4.4 (KitKat) → 5.0 (Lollipop)삼성 터치위즈 네이쳐 UX 2.0 → UX 3.0,,,,,,,,,,,,,,,,,,,,2 GB LPDDR3 SDRAM,, 16 / 32 eMMC 4.5 내장 메모리, micro SDXC (규격 상 2 TB,,,,4,,,일부 모델 듀얼심 지원,,"후면 1,300만 화소", 200만 화소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,국제,"USB 2.0 micro Type-B x 1 (MHL 2.0 지원), 3.5 mm 단자 x 1", 2600 mAh,,,,,,,"블랙 미스트, 화이트 프로스트, 블루 아크틱, 레드 오로라, 핑크 트와일라잇, 로즈 골드 블랙&화이트브라운 어텀, 퍼플 미라지, 딥 블랙[19], LaFleur Edition",69.8,136.6, 7.9 mm,131 g
나무위키,갤럭시S4 LTE-A,SHV-E330,samsung,,안드로이드 4.2 → 4.3 (Jelly Bean) → 4.4 (KitKat) → 5.0 (Lollipop)삼성 터치위즈 네이쳐 UX 2.0 → UX 3.0,,,,,,,,,,,,,,,,,,,,2 GB LPDDR3 SDRAM,, 16 / 32 eMMC 4.5 내장 메모리, micro SDXC (규격 상 2 TB,,,,4,,,일부 모델 듀얼심 지원,,"후면 1,300만 화소", 200만 화소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,국제,"USB 2.0 micro Type-B x 1 (MHL 2.0 지원), 3.5 mm 단자 x 1", 2600 mAh,,,,,,,"블랙 미스트, 화이트 프로스트, 블루 아크틱, 레드 오로라, 핑크 트와일라잇, 로즈 골드 블랙&화이트브라운 어텀, 퍼플 미라지, 딥 블랙[19], LaFleur Edition",69.8,136.6, 7.9 mm,131 g
나무위키,갤럭시S4 Active,SHV-E470,samsung,,안드로이드 4.2 (Jelly Bean) → 4.4 (KitKat) → 5.0 (Lollipop)삼성 터치위즈 네이쳐 UX 2.0 → UX 3.0,,,,,,,,,,,,,,,,,,,,2 GB LPDDR3 SDRAM,, 32 eMMC 4.5, micro SDXC (규격 상 2 TB,,,,4,,,,,"후면 1,300만 화소", 200만 화소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP67 등급 방수 방진 지원,"USB 2.0 micro Type-B x 1 (MHL 2.0 지원), 3.5 mm 단자 x 1", 2600 mAh,,,,,,,"어반 그레이, 다이브 블루, 오렌지 플레어",71.3,139.7, 9.1 mm, 147 g
나무위키,갤럭시S4 Zoom,SM-C105,samsung,,안드로이드 4.2 (Jelly Bean) → 4.4 (KitKat)[4]삼성 터치위즈 네이쳐 UX 2.0,,,,,,,,,,,,,,,,,,,,1.5 GB LPDDR2 SDRAM,, 8 / 16 eMMC 4.5, micro SDXC (규격 상 2 TB,,,,4,,,,,"후면 OIS 기술 탑재 1,600만 화소", 190만 화소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"삼각대 지원, SoundAlive, VoLTE, 갤럭시 기어 지원[5][6]","USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1", 2330 mAh,,,,,,,,63.5,125.5, 15.4 mm, 208 g
나무위키,갤럭시S4 Mini,SHV-E370,samsung,,기본,,,,,,,,,,,,,,,,,,,,1.5 GB LPDDR2 SDRAM,, 8 / 16 / 32 eMMC 4.5 내장 메모리, micro SDXC (규격 상 2 TB,,,,4,,,일부 모델 듀얼심 지원,,후면 800만 화소, 190만 화소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"갤럭시 기어 지원, LaFleur Edition 출시","USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1", 1900 mAh,,,,,,,블랙 미스트화이트 프로스트,61.3,124.6, 8.94 mm,
나무위키,갤럭시S3 LTE,SHV-E210,samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나무위키,갤럭시S3 3G,SHV-M440,samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나무위키,갤럭시S2 ,SHW-M250,samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나무위키,갤럭시S2 HD LTE,SHV-E120,samsung,,안드로이드 2.3 (Gingerbread) → 4.0 (Icecream Sandwich) → 4.1 (Jelly Bean)[A]삼성 터치위즈 4.0 → 네이쳐 UX 1.0[A],,,,,,,,,,,,,,,,,,,,기본,,,,,,,3,,,,,후면 800만 화소, 200만 화소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기본,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1", 1850 mAh,,,,,,,,68.8,132.66, 9.5 mm,
