,pl_id,pl_model_code,pl_name,star,market,write_id,upload_day,title,text
1,31,SM-A600,갤럭시 A6 2018,5,,sfo*****,19.03.17.,양가부모님들 바꿔드리려고구입했는데 아주만족해하시네요...,양가부모님들 바꿔드리려고구입했는데 아주만족해하시네요 굿굿
2,31,SM-A600,갤럭시 A6 2018,5,인터파크,in******,19.02.22.,중저가 폰으로 학생들 쓰기 좋은 폰 입니다.,갤럭시a6 2018 학생들에게 딱 필요한 기능이 실용적으로 적용된 스마트폰이네요. 디자인도 이쁘고 매우 만족합니다. 자녀 신하기 선물로 추천드립니다. 
3,31,SM-A600,갤럭시 A6 2018,4,,mar*****,19.02.19.,상품 하자 없이 잘 왔구요~개통 잘 했습니다....,상품 하자 없이 잘 왔구요~개통 잘 했습니다.디자인 맘에 들어요~
4,31,SM-A600,갤럭시 A6 2018,5,인터파크,24p*****,19.02.24.,저렴하고 좋네요,가격도 저렴하고 성능 좋아요 사은품으로 케이스도 주셨네요 감사합니다. 
5,31,SM-A600,갤럭시 A6 2018,5,인터파크,okok****,19.05.02.,갤럭시a6 구매기,현재 기준으로 가격이 가장 저렴했고 자녀 첫 스마트폰으로 선택했는데 성능도 무난해보이고 디자인도 깔끔해서 아이가 좋아합니다. 
6,31,SM-A600,갤럭시 A6 2018,4,인터파크,rodr****,19.04.21.,만족해요,크기가 약간 작은 감은 있지만 대체로 만족합니다.
7,31,SM-A600,갤럭시 A6 2018,5,인터파크,dntk****,19.04.18.,핸폰은 좋아요^^,잘받았어요 ㄳ합니다 . 어머니 좋아하시네요 ㅎ
8,31,SM-A600,갤럭시 A6 2018,5,인터파크,nsk*****,19.03.25.,잘 받았습니다.,가족이 좋다고 하시네요.  잘 쓸게요~~
9,31,SM-A600,갤럭시 A6 2018,5,롯데홈쇼핑,chj*****,19.03.23.,갤럭시 a6 잘 받았습니다,갤럭시 a6 잘 받았습니다
10,31,SM-A600,갤럭시 A6 2018,5,인터파크,nsk*****,19.03.19.,하루만에 배송?습니다.,정말 싸게 잘 샀네요.  부모님도 만족하십니다.  잘쓸께요~~ㅎ  
11,31,SM-A600,갤럭시 A6 2018,3,인터파크,ksd*****,19.03.17.,그냥저냥 만족합니다~,그냥저냥 만족하는 정도의 수준입니다~
12,31,SM-A600,갤럭시 A6 2018,5,인터파크,rlay****,19.03.13.,a6,배송 잘 받았고 잘 쓰고 있습니다 ㅎ 
13,31,SM-A600,갤럭시 A6 2018,5,인터파크,leej****,19.03.20.,최고의선물,아이가 너무 좋아해요 ㅋㅋ
14,31,SM-A600,갤럭시 A6 2018,5,인터파크,kht*****,18.11.09.,배송 완전히 빠르고 핸드폰 너무 이쁘네요., 배송도 빠르고 핸드폰도 너무 이쁘네요. 장난 아닙니다.^^;; 많이 파세요~
15,31,SM-A600,갤럭시 A6 2018,5,,hcl*****,19.03.07.,빠른배송 및 판매점의 설명이 매우 좋음.,빠른배송 및 판매점의 설명이 매우 좋음.
16,31,SM-A600,갤럭시 A6 2018,5,인터파크,magi****,19.03.08.,좋아요,괜찮은 조건으로 구매한듯
17,31,SM-A600,갤럭시 A6 2018,5,롯데홈쇼핑,273*****,19.03.09.,다나와에서 검색하여 최저가 중에서도...쇼핑몰에...,다나와에서 검색하여 최저가 중에서도...쇼핑몰에서 주는 쿠폰 적용해서 정말 정말 최저가로 샀습니다.해피콜도 주시고.. 빠른 배송도 만족입니다.감사합니다.
18,31,SM-A600,갤럭시 A6 2018,5,,juk*****,19.02.08.,이런 착한가격에 이런 방법으로 구매가능한거첨알았네요...,이런 착한가격에 이런 방법으로 구매가능한거첨알았네요ㅜ제품설명보단 판매처대처가넘맘에드네요신속정확친절ㅋ딱이겁니다^^
19,31,SM-A600,갤럭시 A6 2018,5,인터파크,672*****,19.02.28.,좋아요,아주아주 좋아요....너무 좋아요
20,31,SM-A600,갤럭시 A6 2018,4,인터파크,vamb****,19.03.16.,감사합니다,감사합니다 감사합니다
21,31,SM-A600,갤럭시 A6 2018,3,G마켓,xjsl****,19.07.19.,후기,"가격은 어디나 똑같은거 같고 배송은 3일 걸렸어요. 결국 사은품 차이인데 여기선 다이어리 케이스를 주길래 구입했어요. 근데 특가 상품이라고 사은품을 다 주는게 아니라고 하더라구요. 사은품으로 케이스 3종류, 보호 필름 3종류만 받았어요.개통 전 안내(배송 전)를 받고 취소할까 하다가 귀찮기도 하고 쓸데없는 사은품들만 받는것보단 나을거 같아서 그냥 진행했습니다."
22,31,SM-A600,갤럭시 A6 2018,5,G마켓,tdsb****,19.08.09.,good good good good,good good good good good
23,31,SM-A600,갤럭시 A6 2018,4,하이마트쇼핑몰,j*t*****,19.05.15.,폰은 가성비 좋아요,서식지 작성 과정에서 지연이 좀 있었지만 그래도 잘 받았습니다
24,31,SM-A600,갤럭시 A6 2018,5,롯데홈쇼핑,mod*****,18.11.01.,"품질, 디자인, 가격, 배송 전부 마음에 들어요!","품질, 디자인, 가격, 배송 전부 마음에 들어요!"
25,31,SM-A600,갤럭시 A6 2018,5,롯데홈쇼핑,bah*****,18.10.13.,"감사히 아주 잘 쓰겠습니다,","감사히 아주 잘 쓰겠습니다,"
1,32,SM-A750,갤럭시 A7 2018,4,11번가,lh******,19.06.20.,좋아요,가성비 좋은 핸드폰. 2400만 화소에 64g 메모리. 흠이라면 제조된지 7개월 되어가는 폰이라는거 정도. 자체적으로 액정보호필름 붙어있고 투명젤리케이스가 들어있네요. 이어폰에 고무는 보통 대중소로 3가지가 들어있던데 중 사이즈로만 하나 있고. 핸드폰 받은 다음날 판매자가 보내준 강화글라스액정보호필름과 투명젤리케이스가 왔네요.
