,pl_id,pl_model_code,pl_name,star,market,write_id,upload_day,title,text
1,61,SM-G955,갤럭시S8 Plus,4,인터파크,wil*****,19.05.02.,저렴한 가격에 구매했습니다.,저렴한 가격에 구매했습니다. 인터파크를 통해 카드할부 완납도 가능하고 만족합니다.  폰은 오래 고민한만큼 좋네요~ 큰 하자없는 제품으로 잘 받았습니다.   저렴하게 진행하는 부분이라서 액정보호필름이나 기본케이스같은 서비스 품목은 아예 없는게  쫌 아쉽네요~ 그냥 딱 핸드폰 기본내용만 배송 됩니다.  배송은 해피콜받고 다음날 바로 받았어요~   
2,61,SM-G955,갤럭시S8 Plus,5,인터파크,yong****,18.01.24.,최저가라 구매했는데 엄청 느리고 번거로움,인터넷 최저가라 여기서 구매했는데 배송도 온라인 신청서 작성 하고 일주일 다되서 출고해주고.. 늦게 받은 탓에 주말겹쳐서 개통도 안되고 신청서에 빼먹어서 전화로 유심 추가해달라했는데 유심도 안주고  전화받는 분은 알바인지 물어볼때마다 담당자한테 알아봐준다하고 다이렉트로 되는일이 없다. 대리점 전화만 몇번을 했는지ㅠㅠ 핸드폰 첫 구매라 아무데서나 샀는데 동네 대리점이 친절하고 서비스 진행속도가 빠르다는 것을 깨달았다..ㅡㅠㅡ
3,61,SM-G955,갤럭시S8 Plus,5,인터파크,nulu****,17.08.19.,너무 좋아요 저렴하게 잘 산것 같네요,다른데 보다 훨씬 저렴하게 샀어요 대신 사은품이 없는데 저렴한 값으로 그냥 딱 필요한것만 사면 되니까 다른곳에서 사은품 받고 사는것보다 더 저렴해요~물론 핸드폰엔 이상도 없고 기능도 좋고 다 좋아요~ 기존에 있던 유심으로 썼는데 부팅 한번만에 바로 시작됐어요~ 번창하세요~~ 
4,61,SM-G955,갤럭시S8 Plus,5,인터파크,l3******,17.06.20.,상품 잘 받았습니다.,"다른 사람에게 추천받아서 구매했어요~주문하면서 별다른 어려움도 없었고 전화주신 직원분도 친절하셨습니다다만, 퀵이 아니라 택배란 점이 조금 불편했지만...기변하면 기존폰 안끊긴다고 하셨는데 끊겨버렸어요~그게 재부팅 한두번 하거나 하면 다시 유심을 인식해서 안끊기게 되는것도 다른 글의 답변보고 알았어요~미리 말씀해주셨으면 조금 덜 불편했을것같아요. 휴대폰은 넘넘 좋습니다!!!주변에 사는 사람있다고 하면 추천할게요~!  "
5,61,SM-G955,갤럭시S8 Plus,5,인터파크,fiv*****,19.04.20.,좋아요,찾던  폰을 잘  산갓 같습니다.~~
6,61,SM-G955,갤럭시S8 Plus,5,인터파크,yar*****,19.03.14.,잘사용중입니다~,후기가 늦었네요~ 저렴히 구매해 잘 사용중입니다~~~
7,61,SM-G955,갤럭시S8 Plus,5,인터파크,luck****,18.05.05.,잘 받았습니다.,친절하게 잘 구매했습니다.
8,61,SM-G955,갤럭시S8 Plus,5,인터파크,tips****,18.04.21.,친절하고 좋습니다,특가일때 잘샀구요 포장도 잘해서 보내주셨습니다  다음에 기회되면 또 이용할께요
9,61,SM-G955,갤럭시S8 Plus,5,인터파크,bhd0****,18.04.09.,짱짱,완전 싸게 잘샀어요!!! 배송도 바로와서 불편함없이 ?습니다
10,61,SM-G955,갤럭시S8 Plus,5,인터파크,sjy9****,17.08.30.,좋아요.,"가격대비 좋습니다, 빠른배송도 만족~"
11,61,SM-G955,갤럭시S8 Plus,5,인터파크,warm****,17.08.27.,정말 싸게 잘 구매한것 같아요~~,기변으로 이렇게 저렴하게 구매하기는 처음인것 겉아요 완납폰으로 정말 싸게 구입한것 같아요~
12,61,SM-G955,갤럭시S8 Plus,5,인터파크,cad*****,17.08.31.,꿈에 그리던 갤럭시S8,너무좋아요~ 말해뭔들...ㅋㅋ
13,61,SM-G955,갤럭시S8 Plus,5,인터파크,wook****,17.08.01.,좋아요,택배 받아서 유심 장착하고 사용하는 너무 좋아요 ~~
14,61,SM-G955,갤럭시S8 Plus,5,인터파크,dod*****,17.06.16.,빠른배송 좋아요,핸드폰 좋은 가격에 잘 구매한것 같아요.빠른배송도 좋았구요. 모두가 만족스럽네요.수고하세요.
15,61,SM-G955,갤럭시S8 Plus,5,인터파크,o0o*****,17.06.18.,배송빠르고좋아요,배송빠르고 좋아요 잘쓸게요 배송 빠르고 좋아요 잘쓸게요 배송빠르고 좋아요 잘쓸게요 
16,61,SM-G955,갤럭시S8 Plus,1,인터파크,spir****,19.06.27.,취소하고 싶네요,"사은품 보내준다고 20일 기다리게하고 문의하니 이제 이벤트였고 재고소진이라뇨? 리뷰시 사은품은 이벤트인건 봤네요. 이벤트도 아니었고 구매당시 전화로 설명까지  들었어요(재고시 사은품 없다도 해당않됨) 첨부터 말했으면 기다리지않고 구매를 했죠.어차피 온다생각에 불편해도 기다리다 물어보니. 이뱐트 였다니. 화면은 열리지도 않아 증거도 없고. 취소하고 싶어도 위약금 있어 소비자만 손해고. 품절이라 화면도 못열고, 인터파크도 이런일 예방할수 있게 판매자 조정방법좀 모색하시죠?"
17,61,SM-G955,갤럭시S8 Plus,5,11번가,qk******,19.06.11.,최고예요,성능 좋은 폰을 저렴?(공짜!)하게 샀어요. 금요일에 주문해서 월요일에 택배받아 화요일 오후늦게 개통했어요~ 번호이동해서 사용하는거면 가격적인면에선 매우만족합니다! 주위에 소문 내야겠네요~ 감사합니다. 번창하세요!
18,61,SM-G955,갤럭시S8 Plus,5,인터파크,bw******,19.06.13.,굿굿,제품  진짜 싸게샀어요^^
19,61,SM-G955,갤럭시S8 Plus,5,인터파크,sne*****,19.05.16.,강추,칼배송  제품 하자없이 잘왔습니다! 가성비조흔제품이네용 잘쓸께요!
20,61,SM-G955,갤럭시S8 Plus,5,인터파크,enfn****,17.08.13.,배송도 빠르고 친절하게 대응해줌,배송도 빠르고 문의사항도친절하게 대응해줌
21,61,SM-G955,갤럭시S8 Plus,4,11번가,km******,19.07.17.,좋아요,"5시 전 주문하면 익일 배송이라길래 그것만 믿고 금욜에 주문, 해피콜 끝나는 시점이 5시 전이여야 한다는걸 그 뒤에서야 알았네요-_- 난또 토욜에 올줄알고 설렛는대... 결론은 화욜에 받아봤구요, 회사때문에 시간이 없어 화욜에 개통신청 안하구 수욜 10시에 개통신청했는데 11시가 넘어서 개통이 됐어요~ 순차적으로 한다지만 좀 느리네요~ 기본적으로 대부분 젤리케이스랑 필름 챙겨주길래 별 생각없이 주겠지~ 라는 생각을 했는데 정말 폰상자만 왔네요ㅋ 만원정도 폰 싸게산거 말곤 별로 좋을게 없었어요.."
22,61,SM-G955,갤럭시S8 Plus,5,인터파크,kiz*****,19.07.18.,좋아요,저렴하게 잘샀어요. 배송도 빠릅니다. 사은품 감사합니다
23,61,SM-G955,갤럭시S8 Plus,5,인터파크,lnrl****,18.08.25.,배송 빠르고 상품도 굿!,"완납폰이 좋아서 구매했는데, 상품과 사은품도 좋고 일처리도 빠르시고 배송도 빨라서 매우 만족합니다.^-^ 다음에 또 바꿀일 있으면 여기서 바꿔야 겠어요^-^"
24,61,SM-G955,갤럭시S8 Plus,5,인터파크,jk******,18.08.17.,좋네요,가격도 싸고 좋네요 핸드폰은 2017년5월생산품이네요
25,61,SM-G955,갤럭시S8 Plus,5,인터파크,yyc*****,18.07.10.,좋아요,배송빨라요.s9가더싸네요.
26,61,SM-G955,갤럭시S8 Plus,5,인터파크,jj******,18.07.22.,아주 좋아요,아주 좋아요 아주 좋아요
27,61,SM-G955,갤럭시S8 Plus,5,인터파크,wsu*****,18.07.19.,굿굿,감사합니다ㅎㅎㅎㅎㅎ
28,61,SM-G955,갤럭시S8 Plus,5,인터파크,cant****,17.12.06.,갤럭시S8플러스 64G 아주 저렴하게 잘 구매했어요.,갤럭시S8플러스 64G 아주 저렴하게 잘 구매했습니다.사은품으로 액정 보호 필름과 클리어 커버도 잘 받았습니다.구매신청 완료후 당일 발송 및 다음날 받아서 배송도 맘에 들었습니다. 
29,61,SM-G955,갤럭시S8 Plus,5,인터파크,play****,18.01.12.,잘 받았습니다,배송도 빠르고 좋네요..사음품이 없어서 아쉬울뿐
30,61,SM-G955,갤럭시S8 Plus,1,인터파크,park****,17.11.23.,1점도 아깝습니다,폰 사고나면 판매자랑 연락닿는거는 일단 포기해야됩니다 ..핸드폰이 유심을 인식못해서 고생하는동안 이틀째 판매자는 연락두절입니다.결국 동네 대리점에서 해결 해줬습니다.덕분에 3일동안 폰도못쓰고 살았습니다.
31,61,SM-G955,갤럭시S8 Plus,5,인터파크,iwl*****,17.08.10.,배송 빠르네요 감사합니다,그런데 액정 필름 같이 온게 S8 용 같네요...너무 작아요...
32,61,SM-G955,갤럭시S8 Plus,5,인터파크,can*****,17.08.09.,친절,"직원분도 친절하시고, 늦은밤에도 카톡으로 친절한답변 감사합니다"
33,61,SM-G955,갤럭시S8 Plus,5,인터파크,bijo****,17.08.05.,상품 잘 받았습니다.,"빠른 배송 감사합니다.삼성 정품 클리어 케이스 / 크리스탈 액정필름 을 주문했는데,액세서리 제외하고 스마트폰 제품들만 배송되어서, 다시 대리점으로 재배송 요청했습니다.감사합니다. 잘 사용하겠습니다 - :)"
34,61,SM-G955,갤럭시S8 Plus,3,인터파크,yon*****,17.06.02.,조아여,좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~좋아요~
35,61,SM-G955,갤럭시S8 Plus,5,인터파크,eru*****,17.05.29.,좋아요,잘쓰고있어요~좋습니다 ........................................
36,61,SM-G955,갤럭시S8 Plus,4,롯데홈쇼핑,shf*****,17.05.27.,와..뭐 그래도 좋네요 사은품은 프리미엄이랑 선택하...,와..뭐 그래도 좋네요 사은품은 프리미엄이랑 선택하는게 화나긴 하지만 줄거면 그냥 퍼주지....사람 화나게하는게있긴함..
37,61,SM-G955,갤럭시S8 Plus,5,인터파크,enjo****,19.03.08.,신속 배달과 문의가 친절해요,물건 빠르게 잘 받았고 감사합니다
38,61,SM-G955,갤럭시S8 Plus,5,인터파크,ic******,18.02.11.,감사합니다~,급하게 주문했는데 배송 빠르게 와서 폰 잘 사용하고 있어요
39,61,SM-G955,갤럭시S8 Plus,5,롯데홈쇼핑,bea*****,17.05.22.,아들이 넘 좋아하네요.은하수가 흐르는듯한 느낌 ...,아들이 넘 좋아하네요.은하수가 흐르는듯한 느낌 넘 좋아요.블랙 마탕에 시간이 나오는것도 아주 세련된듯~~*
1,62,SM-G930,갤럭시S7,5,인터파크,ghgh****,18.01.06.,후기,한 두푼 하는게 아닌 핸드폰을  온라인으로 산다는거랑 단순 개봉 제품 이라는 점이 조금 걱정되긴 했지만 저렴한 가격과 해피콜시  친절하고 신뢰가 가는 내용에 믿고 구입했어요. 제품에 전혀 하자 없었고  유심칩 끼우는 것도 어렵지 않았어요.  다만 다른 곳에 비해 주는 사은품이 좀 아쉬운 것 말고는  잘 산거같아요. 저와 같은 이유가 찝찝하신 분들은 믿고 사셔도 될것 같아요.
2,62,SM-G930,갤럭시S7,5,인터파크,leey****,17.11.11.,정말 빠르고 가격도 좋아요!,잘 쓰던 갤4가 맛이가기 시작해서 천천히 새폰을 알아보고 있었는데요오프라인 매장도 두개정도 알아보고 인터넷도 알아봐도 여기보다 싸고 좋은데는 없었어요 가장 좋은건 블랙을 받을 수 있어서 최고로 좋았네요 다른데는 대부분 핑크가 남아서 싫었는데 말이에요배송도 부산인데 정말 빨리 왔습니다 어제 해피콜 받은 후 오늘 오후에 배송왔으니 사상에서 오는 건데 빠른거죠사업 번창하세욥 주변에도 추천해보겠습니다
