,pl_id,pl_model_code,pl_name,star,market,write_id,upload_day,title,text,Target,URL
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,eun******,2020-04-16,,"
선거일이 끼여서 하루 늦었지만 아침일찍 가져다주셔서 점심시간까지 기다리느라 애먹었네요ㅠㅠ 
 
투명케이스랑 보호필름 동봉되어왔구요. 개통도 유심꽂자마자 알아서 착착 자동으로 다 옮겨가고 세상 좋아요~~ 
 
6s쓰다가 넘어가서 아직 페이스 아이디가 좀 어색한데다가 마스크때문에 불편해요ㅠㅠ 마스크끼고도 할수있다고는 하는데 전 잘 안되네요 ㅎㅎ 
 
카메라도 아직 공부 좀 더해야겠지만 일단 좋아요 ㅋㅋㅋㅋㅋ 애지중지 비싼폰 아껴써야겠어요^^ se2가 24일에 나온다는 소리도 있던데 ㅎㅎㅎㅎ 고민은 했겠지만 결국은 프로샀을거같아요 전 만족합니다앙 예뻐예뻐 
 
아 그리고 그린색은 우째보면 그레이로 보이기도하구…일단 내만족ㅋㅋㅋ그립감 좋아요 착감김 잘쓸게요~~싸게팔아줘서 고마워요~~
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 3개,11번가,hae*******,2019-11-06,,"
기대하고 기대하던 아이폰11 드디어 받았습니다, 
자랑할만한 기능인 마이그레이션기능때문에 산 아이폰 11이었지만 사진처럼 계속 용량이 부족해서 마이그레이션이 안된다는 오류가 뜨더군요, 기존폰은 128기가 새폰은 256기가였는데말이죠..검색해보니 이러한 오류가 종종 보이는분들이 있던데 폰을 몇번 껐다켰다 해본니 되더라.. 라고 해서 이틀동안 폰을 스무번을 껐다 켜고 마이그레이션을 시도했지만 되지 않았습니다. 애플 서비스센터에 방문해보았는데 알수없는 오류라고 해결방법이 없다고 하더군요 리퍼도 안된다고 하고요. 아무래도 뽑기를 잘못한것같습니다 결국 데이터 하나도 못옮겼어요...... 기대하고 산 제품인데 실망이 컸습니다 ㅜㅜㅜ
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,ak5**,2019-10-28,,"
주문하고 배송이 늦을거라고 연락이 왔지만 
생각보다 빨리 도착해서 바로 개통할 수 
있었습니다. 
 
디자인은 실버 색상이 하얀색에 가까워서 
깔끔하니 보기 좋구요. 기존에 갤노트를 사용했는데 
노트보다는 크기가 작아서 한손에 쏙 들어와서 
들고다니기는 편하네요. 
 
사진은 듣던대로 정말 예쁘게 나오구요. 
 
다만 요금제관련 통보없이 계약서에 명시되어 
있다면서 요금제가 변경되어버린게 
아쉽습니다.
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,a0a******,2019-12-15,,"
구매전 실버와 스그 사이에서 고민했었는데 
예쁜게 좋으면 실버 멋진게 좋으면 스그라는 말에 
잘생긴 남친보는 기분을 위해 스그를 구매했어요(전 여자입니다) 
야간모드를 매우 기대하며 구매하였고 몹시 만족중이예요(고스트현상?은 나름 느낌있다며 긍정적 생각중입니다) 
기존 아이폰 사용자에 기변으로 구매하였기 때문에 개통할땐 쉬웠구요 배송역시 빨라서 다음에 기변시에도 11번가 휴대폰샵을 이용하지 않을까 싶네요 
주변 skt사용자들에게 11번가 휴대폰샵 추천중입니다 
그리고 굉장히 저렴하게 샀어요
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,myn******,2020-01-15,,"
배송이 정말 빨랐구요 
궁금한점 채팅으로 문의했는데 친절하게 그리고 바로 칼답변해주셔서 정말 좋았습니다 
전날까지만해도 실버가 없어서 문의글올렸는데 다음날 입고가되서 바로 신청했어요 
제가 꼼꼼하지 못한편이라 불량발견을 못한건지는 몰라도 우선 양품받은거 같아서 매우 만족합니다 
스크 기변은 여기가 15퍼 할인에 티멤버십 마넌도 쓸 수 잇어서 제일 싼거 같아요 
사은품으로 주신 젤리케이스 감사해요 xs랑 액정 크기가 같아서 주문한 필름이랑 케이스 올 동안 친구 xs필름 붙이고 젤리케이스 끼고있네요ㅋㅋ 
아주만족합니다 판매자님 많이파세용
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,kkw******,2020-08-21,,"
잘받았습니다 
곧 12가 나올텐데 
폰고장때문에 어쩔수없이 못기다리고 구매했어요 
여러군데 알아봤는데 
아이폰은 큰차이가 없더라구요 
11번가가 제일 조건이 그나마 좋아서 결정했구요 
노트20때문에 개통이 밀려서 
개통하는데 좀 오래걸렸어요 
약간 뒷북이라그런지 사은품도 적어서 아쉽네요ㅠ.. 
그래도 11번가 휴대폰샵은 좋은거같아요 
도움되셨다면 꾹 한번 눌러주세요~
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,loo****,2020-03-16,,"
당시에 쿠폰에 22개월 무이자에 싸게 잘샀습니다 
 
집까지 당일에 오셔서 개통해주시고 
 
늦은 저녁이었는데 너무감사했습니다. 
 
개통업무 원할하고 빨리 됐고, 
 
친절하세요ㅎ 
 
온가족 묶음이라 기변 뿐이 안되엇는데 
 
이럴땐 11번가가 최고인듯합니다. 
 
할부수수료 안내도 되고 무이자 22개월이면 
오히려 8만원? 9만원 할인받는것 같네요 
 
고민하신다믄 그냥 사세요
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,sun*****,2019-10-28,,"
당일낭 못 받을까봐 걱정했는데! 우체국 택배로 받았어요 ㅎㅎ 11번가 덕분에 할인받아서 잘 샀어용~~ 
아이폰 프로는 역시나 실버가 최고! 다른 색도 개통 후 봤지만 탁월한 선택인거 같습니당 너무나 영롱해요! 아이폰 11 또는 다른색이랑 고민할 필요가 없어요!! 그리고 6s에서 넘어와서 인지 카메라도 너무 좋네요. 
 
사은품인 실리콘 케이스도 얼른왔으면 좋겠습니당!! 
다만 내년엔 배송 등에 대해 좀더 정확히 공지해서 혼돈이 없었으면 합니다.
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 3개,11번가,myk****,2020-01-10,,"
제품은 마음에 들고 기변인데 대리점 가지 않고 바로 개통할 수 있어 편리하고 간편합니다. 다만 배송이.. 화요일 저녁에 주문했는데 금요일 오후에 받았고 열어보니 날씨가 추워서 습기가 차 있더라구요ㅠㅠ 맴찢... 기기금액이 한두푼 짜리도 아닌데 택배기사님은 현관 앞에 물건 두고 그냥 가셨습니다..^^.. 참.. 잃어버리면 어쩌시려고.. 다른분은 지방이라도 일찍 왔다고 하던데.. 저는 가입이력확인? 하는데만 반나절이 걸렸고 배송도 꼬박 이틀이 걸렸으며 현관 앞에 두고간 박스를 뒤늦게 전화받고 찾아갔습니다. (심지어 집에 있는데도 그냥 놓고 가심) 그게 조금 불안했고 불편했지만 그래도 상품은 만족합니다.
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,bes****,2020-04-02,,"
온가족 할인때문에 기변을 해야해서 자급제랑 계속 할인 비교하고있었는데 여기 휴대폰샵에서 저렴하게 잘샀네요^^ 
실물 보고 실버만 기다렸는데 너무 예뻐요!!!!ㅎㅎㅎㅎ 
기기도 깨끗하고 일주일 쓰는동안 문제도 없어서 만족스럽습니다 오전 결제하고 오후에 받아서 더더욱 좋았구요!! 아 케이스랑 필름 행사 끝난줄 알고 따로 미리 구매해놨었는데 같이 보내주셨더라구요 ㅎㅎㅎ 잘쓰겠습니다!!
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
