,pl_id,pl_model_code,pl_name,star,market,write_id,upload_day,title,text,URL
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,184,X5,X5,5,,bea*****,19.01.07.,할부원금없이 공짜폰으로 싸게 잘샀어요. 배터리 ...,할부원금없이 공짜폰으로 싸게 잘샀어요. 배터리 용량이 젤 큰거라서 좋네요. 마니 파세요.,https://search.shopping.naver.com/catalog/19025180661?NaPm=ct%3Dkn9vb2o0%7Cci%3D0f5610a3c5fa033b259de44c6fc032cb2a1674eb%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D6c42a3c6f8dd7a9362b0e00e2c8ed6ede5eb494a
0,184,X5,X5,5,인터파크,cade****,16.08.05.,좋아요 좋아요,생각보다 괜찮습니다. 가성비 좋아요생각보다 괜찮습니다. 가성비 좋아요생각보다 괜찮습니다. 가성비 좋아요생각보다 괜찮습니다. 가성비 좋아요생각보다 괜찮습니다. 가성비 좋아요생각보다 괜찮습니다. 가성비 좋아요생각보다 괜찮습니다. 가성비 좋아요생각보다괜찮습니다. 가성비 좋아요,https://search.shopping.naver.com/catalog/10035475362?NaPm=ct%3Dkn9vb3fs%7Cci%3D889edd526a0bdf26550c8fcb3a1d85624371e33d%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dcc7454d9f1c136cfba395c998eafe6dfa56832ae
0,184,X5,X5,5,인터파크,min*****,16.08.26.,매우만족이요,저렴하게 잘 샀어요 기기는 써봐야알겠지만 괜찮아보여요매우 친절하게 응대해주셔서 감사했습니다.케이스도 딱 원하던거에요~,https://search.shopping.naver.com/catalog/10035475362?NaPm=ct%3Dkn9vb3fs%7Cci%3D889edd526a0bdf26550c8fcb3a1d85624371e33d%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dcc7454d9f1c136cfba395c998eafe6dfa56832ae
0,184,X5,X5,5,인터파크,s*n*****,19.08.28.,폰,처음엔 여러가지 복잡하더니 이젠 잘되는듯...,https://search.shopping.naver.com/catalog/16150429253?NaPm=ct%3Dkn9vb47k%7Cci%3Dbf2aaec5274e76d4e7c289c314230a5f12814e3b%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dbc087757ad8283eca63e09eda5f4d83fa03173ce
0,184,X5,X5,5,11번가,ky******,18.07.12.,최고예요,저렴하게 잘 샀어요.상담도 친절히  잘해주셔서  감사합니다.사업  번창하세요.,https://search.shopping.naver.com/catalog/16150429253?NaPm=ct%3Dkn9vb47k%7Cci%3Dbf2aaec5274e76d4e7c289c314230a5f12814e3b%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dbc087757ad8283eca63e09eda5f4d83fa03173ce
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,187,X스크린,X Screen,5,롯데ON,y*m*****,21.01.24.,믿고 쓰는 회사 제품입니다.  티비,"믿고 쓰는 회사 제품입니다. 티비 광고 보고 갖고 싶어서 구매 했어요.사은품 넘 맘에들어 샀어요.무엇보다 착한 가격 마음에 쏙 드네요.S9보다 약간 가볍고 약간 커요.여자 장지갑에 쏙 들어 갈 정도 얇고 가벼워서 좋아요.사진 보정AI지우기 넘 신기하고 유용한 기능이네요.나 같이 기맹을 위해서 삼성맴버스 앱에 사용 방법 쉽게 설명 되어 있고, 팁어플 보니까 사용 방법 쉬워요.폰 열나는 현상은 없어요.삼성 티비 컴퓨터 s9 냉장고랑 호환성 좋아요.삼성은 환경을 생각해선지 폰케이스랑 충전기 없다는게 아쉽네요. 이어폰 단자가 둥근게 아니라 긴 단자라네요.어플 다운 속도가 느려요. 내가 4G요금제 쓰는데 다운 속도가 아쉽네요.외장 메모리카드 없다는 살짝 아쉬워요.유심칩 교체하고 전원 부팅 두번하니까 개통 되네요. 대리점 가서 비싼 요금제 설명 안들도 되고, 가격 저렴해서 착한폰 같아요.3일째 사용중인데 터치감 좋고 화면 깨끗해서 눈이 피로하지 않네요. 유용한기능 많아요. 약정 끝나고. 할부금 안 남고 폰 구형이 분들께 추천해요.",https://search.shopping.naver.com/catalog/25604807522?NaPm=ct%3Dkn9vb6iw%7Cci%3D23f7a3bf8f61a16c3e9505fa916e7f058e62bf6a%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D3e5f00d938ca4b9f2a22ba196792b7d6726fbb93
