,pl_id,pl_model_code,pl_name,star,market,write_id,upload_day,title,text
1,91,SM-N910,갤럭시노트4,1,11번가,le******,16.07.11.,정말너무하네요!,배송이 느리네요...   온라인 판매점 가격이야 다 거기서 거기고.. 공시지원금 자체지원금 거의 비슷하니 가격적인 면에서는 다른곳이랑 큰 차이없습니다.   개통해서 받는데 일단 cj대한통운 쓰니깐 배송이 느리네요.. 택배 거래처 바꿔야 할 듯..   개통해서 요금은 나가고 있는데 배송은 이틀걸리니... 기다리기 답답함   사은품으로 주는 케이스는 너무 허접함.. 쓰지도 못할거 싸구려 왜 주는지.. 차라리 안받은만 못함 기분만 상함   액정보호필름도 젤 싸구려로 주고 액정 크기에도 안맞음..   그냥 싸구려 제품들 안팔리는거 껴주네요..   배송도 느리고 사은품도 받아서 기분만 나쁘고 비추 
2,91,SM-N910,갤럭시노트4,1,11번가,ju******,16.06.14.,정말너무하네요!,좀억울해 몇 자적어요. 기변도 사은품 모두 지급이라 광고하고 해피콜때는 기본만 지급 되니 할려면 하고 맘에 안들면 말라는식 황당했네요.급히 주문해야되니 울며겨자 먹기로 주문하고.. 지원금 다른데랑 똑같이 적용하면서 더나은것도 없으면서 이따위 낚시성 광고에 현혹된 내 잘 못인거죠.기본사은품 몇개되지 않는거 하염없이 기다리고 있는 내가 한심하네요.언제 보내 주실려나요.기본사은품..ㅋ
3,91,SM-N910,갤럭시노트4,5,옥션,posy****,16.06.05.,잘쓰고있어요.,가격만족도/성능/사용편의성 등 : 굿 상태/배송 : 선개통후 25시간만에 배송완료 그 외 도움이 될 만한 사용후기 : 최저가라 만족이구요 발열이 조금 있지만 그외는 대만족이에요. 노트가 역시 좋네요.ㅎ 옥션 안드로이드 앱으로 작성
4,91,SM-N910,갤럭시노트4,5,롯데홈쇼핑,dj67****,15.10.29.,아들 폰 바꿔줬더니 좋아합니다.개통돼와서 먼저폰 유...,아들 폰 바꿔줬더니 좋아합니다.개통돼와서 먼저폰 유심 빼서 끼우고 전원 껐다 키니까 바로 되고 아주 간편합니다. 5는 배터리가 내장돼 불편하다고 4로 원해서 배터리 한개 더 사줘야겠어요. 필름도 두 장이고 맘에 안드는건 케이스라 케이스도 사려구요.ㅎㅎ
5,91,SM-N910,갤럭시노트4,5,SSG닷컴,duex****,15.07.18.,잘 받았습니다.휴대폰이 갑자기 ,잘 받았습니다.휴대폰이 갑자기 고장나는 바람에 A/S센타를 다녀왔는데 수리비용이 너무 많이 나와서 급하게 기변하게 되었네요.금요일 오전중에 신청하였고 토요일에 수령했습니다.판매자님의 잘못은 아니지만 충전기 킷이 없는지 몰랐네요.배터리도 노트4는 하나만 있는지 몰랐구요.구성품에 대한 부분만 본문에 기재되어 있다면 더 좋았을거 같습니다.
6,91,SM-N910,갤럭시노트4,5,인터파크,gcd*****,15.09.02.,신속 친절,갑자기 잘 쓰던 g2가 운명하여 급박하게 핸드폰을 바꾸게 되었습니다정말 저렴한 가격으로구매하였어요쿠폰 문제로 갑자기 취소했다가 다시  구매했는데귀찮으셨을텐데도 정말 친절하게 대해주셔서 감사합니다 강추입니다!!!
7,91,SM-N910,갤럭시노트4,5,신세계몰,ydc1****,15.07.14.,전체적으로는 가격면에서 괜찮은,"전체적으로는 가격면에서 괜찮은 조건이었으나,금요일 주문후 금요일 오후에 전화가 끊어지고월요일이 되어서야 배송된 부분 때문에 거의 3일을 전화없이 지내서 불편했음.또한, 금요일 결제하고 핸드폰도 못 받았는데토요일 바로 가격이 4만원 다운된 점도 배송지연때문에 더 납득할 수 없음.마지막으로 핸드폰 하나만 딸랑 보내고, 그 흔한보호필름 한장도 넣어주지 않은 것도 심히 유감스러움."
8,91,SM-N910,갤럭시노트4,5,G마켓,sayl****,16.05.23.,싸게 잘 샀네요,시중가보다 7만원정도  싸게 산거 같네요 잘산거 같습니다 많이 파세요  많이 파세요 파세요[G마켓 안드로이드 앱에서 작성]
9,91,SM-N910,갤럭시노트4,4,인터파크,ana*****,16.07.18.,노트 가격 싸고 만족합니다.,가격도 싸고 노트 5보다 원래 4쓰고 싶어서찾아보다가 샀는데여기가 가장 최저가였어요만족합니다.다음에도 이용할 일 있으면 또 보겠습니다.수고하세요
10,91,SM-N910,갤럭시노트4,5,11번가,un******,16.07.08.,너무마음에듭니다.적극추천합니다.,잘 쓰고 있어요. 근데 전에 쓰던 g3보다 딱히 좋은건 없네요
