,pl_id,text1,text2,text3
0,10,이번에 아이폰7을 좋은 기회에 무료로 바꿨어요. 필름과 액정도 함께 보내주셨어요. 감사합니다. 128기가. 용량도 크고 디자인도 맘에 들어요. 해피콜 상담도 친절하고 좋았어요. 구입후 다음날 바로 받았어요. 기존 유심칩을 사용해서 셀프개통했는데 생각보다 어렵지 않아 금방했어요. 앞으로 2년동안 잘 사용할것 같아요. 좋아요~~~,가개통폰이라 가격이나 성능은 이상없지만 2년간 선택약정이 안됩니다. 대리점갔더니 그전사용자가 위약금처리안해서 그렇다고 하고요전화는 안받으시고 문의글은 제대로된 답변은 안해주시네요.기존폰에 유심넣고 선택약정 새로 걸고 유심기변으로 씁니다.,정말  아예새제품 맞구요!! 요즘 6s  64기가 구하기 힘든데 잘 산 것 같아요!! 특히 기변만 해야되는 상황이어서ㅠㅠ 찾기 힘들어서 공기계 찾다가 아주 좋은 기회를 얻었네요 ㅎㅎ 전화상담도 매우 친절하고 배송은 결제하자마자 바로 시작돼서 좋았어요!! 
0,11,단종색상 득템 감사,오프라인 대비 저렴하게 구입해서 좋습니다. 원하는 컬러 및 사은품 반영되어 주문후 수령하기 까지 4일 가량 걸렸네요ㅡ,잘샀다고 생각합니다. 뽑기운이 좋았다고 해야하나?? 나름 문제되고있는 현상들은없숨돠 약간의 사은품을 살포시 바랬지만 그래도 잘샀다고 생각합니다.
0,12,박스에는 취급주의가 씌여있는 테이프로 둘러져 있고 박스안 제품은 뽁뽁이로 잘 감싸져서 배송되었어요..이전에 사용하던 아이폰6s와 사이즈가 거의 동일해서 더 맘에 들고 용량도 넉넉하네요..동봉해 주신 하드케이스는 딱딱해서 잘 끼워지지 않아 사용하긴 힘들거 같아요. 필름은 잘 부착했고 여러모로 잘 사용하겠습니다 ~~,"공식 판매점이면서도 네이버페이로 구매하기 더 이익이 많다보니 구매를 결정했습니다.우선 배송이 아주 빨라요! 구매한뒤 바로 다음날 영업시간에 배송준비뜨고.. 워낙 중요한 물품이라서 뽁뽁이로 아주 철저하게 포장해주셨습니다 ^^;; 덕분에 택배가 오는 중에 무슨 수난을 겪었는지 작살이 났는데, 겉 박스를 여니 안에 아이폰 구성품박스들은 먼지 하나 없이 아주 멀쩡하더군요!사실 애플스토어에서 자주 만져보고 아 갖고싶다.. 이랬다보니 뭔가 특이하다 이런 점을 얘기할만한 건 없습니다! 하도 완성도도 높고, 그 중에서도 SE버전이라 상대적으로 저렴한 가격에 큰 손색없는 성능 등이 SE2를 구매하게 되는 내력이니까요!네이버쇼핑에서 가격비교를 하면 더 저렴하게 구매할 수 있는 곳도 꽤 있기는 합니다. (통신사 변경 및 기기변경이 아닌 완전 자급제 기준) 다만 네이버페이 적립이나 자체적인 할인, 애플케어플러스 할인, 구성품 할인구매 등의 경우 애플 공식스토어에서만 구매하실 수 있으니 꼭 참고해주세요!유일하게 아쉬운 점은 클리어 케이스패키지는 조금 불편하더라고요 ㅠㅠ 젤리형 케이스가 아닌 좀 단단한 플라스틱이라서 아이폰이 깨질까봐... 그냥 스페어로 두고 부드러운 케이스 하나 주문해서 맞추려고 합니다 ㅠㅠ아무쪼록 잘 쓸게요!!!","상품은 마음에 듭니다. 레드 색상 이뻐요. 그런데, [강화유리필름+클리어 케이스 패키지] 옵션은 선택하지 마시기를 권장드립니다.1. 필름 크기가 화면에 너무 딱 맞는 탓에 조금만 어긋나게 붙여도 필름 경계와 화면 경계 사이에 빛 산란이 일어납니다. 저는 그냥 참고 쓰기로 했습니다.2. 케이스는 실리콘이 아닌 플라스틱 재질로, 최초 결착 시 전원 버튼과 볼륨 조절 버튼에 걸려서 결착이 잘 안 됩니다. 버튼에 무리가 가고, 옆면에 스크래치가 날까 조마조마하더군요. 그래서 실리콘 케이스를 따로 구매햐였습니다..."
0,13,기기변경으로 아이폰구매하고싶었는데제가알아본곳중에서 조건도 제일 괜찮고 저렴해서 구매했어요현금완납이라서 너무 잘산것같네요그전에는 아이폰6사용했는데 6s로 그래도 한단계 업그레이드 했어요 ^^휴대폰 너무 좋구요. 기기변경으로 유심그대로 사용하는걸로했는데 휴대폰도 안끊기고 그다음날 오후에 바로받아서 새폰 사용중이예요 128기가라서 용량걱정도없을것같네요^^!!재조년월도 관심있게생각안했는데 18년1월이라고 되어져있어요.!!! 넘나맘이듭니다 색상은 현재 스페이스그레이 이색상만 된다고하셨구요~~~! 원래사용하던 요금제라서 요금이 더많이나가고 그런것도 없어요~~~^^기기변경으로 아이폰 저렴하게 구매하고싶으신분들께 강추?? 2년동안 6s 이쁘게써보겠습니다~~~~~!!!^^상담하시던분도 너무 친절하게 잘 응대해주셨구요가입신청서 작성하는것도 어렵지않아요 ! 혹시 걱정이신분들은 잘알려주시니까 그대로 따라하시면됩니당^^ 넘넘좋아요 ㅠㅠ주변분들한테도 언능 전파해야겠습니다 !!!!!!!!!!!!!!,"혹시나 스마트폰 구매하실 분들 위해 구입과정과 후기를 자세히 써봅니다.  피쳐폰을 오래쓰다가 처음 스마트폰으로 바꿨는데 정말 신세계네요;실제로 받아보니 정말 예쁘고 정말 얇고 정말 화면이 엄청 큽니다!!제가 고른건 블루인데.... 실물이 훨씬 더 예쁘네요.. 은은한 하늘빛 파스텔톤!!또 소재가 은은하고 고급스러운 광택의 풀메탈바디...삼성로고 찍힌 기기 뒷면이 특히 이쁩니다. 5.7인치 풀HD 아몰레드 화면도 정말 크고 선명하구요.뭣보다 생각보다 기기가 넓고 크면서도 얇아서 놀랐습니다.카메라화질도 정말 좋구요.고속충전이라 완전충전까지 1시간 넘게 걸리는 정도네요. 다만 유일한 단점이라면;;;; 음악나오는 스피커가 오른쪽 측면에 달렸습니다.. -_- 이건 좀 이해가;  저는 솔직히 너무 비싼 S시리즈는 아예 관심도 없구요;;A시리즈가 가성비의 전설로 유명하죠... 요즘 가격대비스펙이 우수한 모델을 찾다가 A8 2016이 사실상 공짜폰으로 나온걸 보고열광하면서 며칠간 심사숙고 끝에 구입했습니다.사실 몇달전부터 A7(구형)를 고민했는데... A8이 갑자기 공폰으로 등장했더군요. 온라인에서 이곳이 가장 조건이 좋은것같네요. 물론 현금완납이구요. 기계값도 5천원밖에 안하고 요금제도 자유구요. 당연히 추가금 없고... 유심비만 익일 청구되구요. 본인이 선택한 요금제의 요금만 매달 내면됩니다.인터파크에서 기기를 결제주문하면 대략 1시간 안에 이메일로 신청서가 오고... 신청서 작성하고나면 대략 1~2시간 후에 해피콜이 오더군요.. 암튼 해피콜 통화후 밤8시쯤에 기존휴대폰이 정지되고 선개통으로 당일 배송돼서 다음날에 배송받았습니다.저는 선개통이라고해서 박스개봉일줄알았는데 박스는 미개봉이구요... 동봉된 유심칩만 삽입해서 개통번호만 입력하면 바로 사용가능합니다.박스부속품은 충전기,이어폰,간단설명서,유심칩-메모리카드 트레이(장착하는 곳)를 꺼내는 분리핀입니다. 사은품으로 젤리케이스와 액정보호필름 받았습니다.근데 이미 스마트폰 공장출하시 원래 보호필름이 있긴합니다. 저는 귀찮아서 그냥 쓰는중;; 암튼 제 가족들이 폰을 바꾼다면 꼭 다시 구입하고싶네요.그리고 참고로 말씀드리면....과거에는 휴대폰 신청서 작성할때 본인인증을 위해 주민등록사본을 이메일로 보냈었는데.... 요즘은 범용공인인증서나 신용카드로 본인인증을 하더군요;; 저는 체크카드만 있고 신용카드가 없어서 일부러 은행가서 인터넷뱅킹 신청후 온라인으로 범용공인인증서를 발급받아서 신청서작성할때 인증했습니다;; 과정이 좀 복잡하긴한데... 암튼 번거로움이;; 그래도 주민등록사본으로 인한 개인정보유출을 막을수있어서 좋긴합니다....","가격대비 너무 만족스럽게 잘쓰고 있어요^^ 원하는 색상이 없어 조금 기다리긴했지만 너무나도 친절하게 상담해주시고 배려해주셔서 너무 감사했어요. 믿고 구매할 수 있을까 하는 생각때문에 온라인상으로 폰 주문하기 매번 조심스러웠는데, 다음에도 폰 구매하게 되면 여기서 구매하려고 합니다. 감사히 잘 쓰겠습니다. 고맙습니다."
0,31,빠른 배송에 감사드리며 제품성능 모두 만족합니다.,가격도 저렴하고 성능 좋아요 사은품으로 케이스도 주셨네요 감사합니다. ,현재 기준으로 가격이 가장 저렴했고 자녀 첫 스마트폰으로 선택했는데 성능도 무난해보이고 디자인도 깔끔해서 아이가 좋아합니다. 
0,32,가성비 좋은 핸드폰. 2400만 화소에 64g 메모리. 흠이라면 제조된지 7개월 되어가는 폰이라는거 정도. 자체적으로 액정보호필름 붙어있고 투명젤리케이스가 들어있네요. 이어폰에 고무는 보통 대중소로 3가지가 들어있던데 중 사이즈로만 하나 있고. 핸드폰 받은 다음날 판매자가 보내준 강화글라스액정보호필름과 투명젤리케이스가 왔네요.,쓰던 폰들이 박살나서 이번에 하나 구매했어요. 잘 쓰겠습니다. 카메라도 좋네요.,여러날 고민하다가 기변해드렸어요. 큰폰이라 불편해하실까봐 걱정했는데 제꺼 노트5 랑 크기가 비슷합니다. 더크지도 않아요. 카메라 잘 나오고 전화잘되고 카톡하고 충분하네요. 좋아요.
0,33, 판매자님이 기프티콘 한달이 다 되도록 안보내주시네요..ㅠㅠ  그리고 폰은 성능 괜찮아요. 겜을 많이 하는것도 아니라서.. 카메라 기능들은 정말 맘에 들고 화소도 좋네요. 밝게 잘 찍혀요. 손떨림 기능 없지만 만족스럽네요~~ 기변이라 유심칩은 인터넷 찾아보고 가이드 출력해서 잘라 썼네요.  암튼 기프티콘 주세요~  ,왠만하면 댓글 잘 안적는데 프리미엄 상품평까지 적고 있습니다.^^갑자기 와이프 폰이 고장 나는 바람에 이리저리 알아보았는데결론은 제가 다니는 H기업 특판보다 여기가 더 싸요.^^처음 제가 잘몰라서 카카오톡으로 요금제 및 유심과 관련된 질문을 했는데 너무 친절히 응대해 주셔서 감동이었습니다.~^^하지만 감동은 여기서 끝이 아니었습니다.결제후 친절 목소리의 상담사가 해피콜을 주셔서 요금제 및 주의할점을 확인 시켜주시고 폰이 고장난걸 아시고 금요일 마감 시간이 다됐음에도 불구하고 토요일에 받을 수 있도록 빠른 일처리른 해주셔서 무한 신뢰가 가더라구요~^^하루 만에 우체국 택배로 받아봤는데요.뽁뽁이로 꼼꼼한 포장과 친절한 안내장이 있어서 어려움 없이등록했습니다. (필름 및 케이스 동봉)와이프가 너무 좋아합니다. 너무너무 감사드립니다.비록 비싼 폰은 아니지만 안내장에 끝까지 VIP로 모시겠다는 말에 다음부터 우리집 핸드폰 구입은 단골이 생겼네요~^^,"원래 부터 이 기종을 하고 싶어서 싼곳을 찾다보니 여기로 왔네요.휴대폰을 바꾸려고 여러 업체를 전전했는데 이곳만한 곳이 없었네요.색상, 요금제등 요구사항도 다 들어주시고궁금한게 많아서 카톡으로 여러번 질문했는데 그것도 매번 친절하게 답변해주시구요. (카톡이 다 지워지는 바람에 캡쳐를 못해서 아쉽네요)기계도 문제없이 아주 빠른 배송으로 받았습니다. 개통도 요청후 2시간 이내에 바로 ?구요. 아 투명케이스랑 필름도 챙겨주셔서 바로 깨끗하게 사용할 수 있는 점도 좋았네요.덕분에 기분 좋게 기변 했네요^^  감사합니다!사진은 서치해서 올립니다. 블루투스 이어폰! 원해요!!ㅋㅋ"
0,34,기기변경하기 쉽지않은데 저렴하게 잘 구입했어요~~ 성능도 좋고..색상도 이쁘고..아주 만족합니다~ 이전에 노트3 사용했는데 펜을 잘 사용하지 않아서 그전과 비교해거 불편함 없이 잘 사용하고 있습니다. 디자인도 더 얇고 좋네요~주문이 많았던지 배송이 좀 많이 늦어져서 불편했지만..그래도 기다린 보람이 있는 제품이었습니다. 잘 쓸께요~~,포장도 이쁘게 잘돼서 기분좋구요 이어폰이랑 충전기 다 들어잇네요 젤리케이스가 안온게 좀 아쉽지만 핸드폰 색상이랑 디자인 너무 이쁘고 2년약정 충분히 할만 합니다 갤럭시 에스 세븐하나도 부럽지 않네요 이정도 보급형이면 기기변경하시려는 분들 강추합니다,"설 연휴 기간 중에 주문하고 2/2일에 수령 하고 15분 정도만에 개통 완료 하였습니다.여행은 가야되는차에 갑자기 폰 gps가 안되서 급하게 구매한건데, 빠른 처리 덕에 잘 다녀왔어요! 폰이 조금 얇아서 한손으로 잡고 이용하기가 어렵지만, 보급형 치고는 잘 쓸수 있을 거 같습니다.색상도 처음에는 실버 산거 후회했는데, 쓰다보니 시크해 보이고 좋아요 ㅎㅎ주위에서도 이쁘다고 하구요! 추천드립니다!"
0,35,작은폰이 좋아서 아이폰만쓰다가 갤럭시로 넘어오고싶어서 A3로 골랐어요~조금만 더 작으면 좋겠지만 그래도 요즘 폰 중엔 작은싸이즈라 너무 만족스러워요^^인터넷으로 구입이 처음이라 카톡으로 이것저것 귀찮게 많이 물어봤는데 친절히 다 답변해주셔서 너무 좋았어요^^ 해피콜도 너무 친절하셔서 기분좋게 기다릴수있었네요~지방에사는데도 배송은 해피콜 후 오후6시쯤 입금하고 다음날 오전10시에 수령했어요ㅋㅋㅋ 너무 빨라 당황했네요ㅋㅋㅋ원래 상품평 잘 안쓰는데 보조배터리랑 투명케이스 보호필름까지 모두 넘 맘에들어서 상품평도쓰고 @폰도 주변에 추천 많이했어요ㅋㅋㅋ예쁘게 잘 쓸께요^^ 감사해용~♡,가격대비 좋네요. 얇아서 주머니에 넣고 다녀도 부담스럽지 않아서 좋고요. 기능은 기존에 쓰던 갤럭시3보단 조금 못한 것 같지만 카메라가 좋은것 같아서 좋네요. 화면 자동회전 온 오프를 어떻게 하는지 모르겠네요. 흰색을 샀으면 더 좋았겠지만 검정색도 아이폰과 비슷한 디자인으로 깔끔하니 좋습니다.,
0,36,갤럭시 a5 2016 가격이 많이 떨어져서 구입했어요. 보급형 치고 스펙이 좋고 실제 쓰기에도 갤럭시 s시리즈에 부족함이 없네요. 용량이 16기가로 부족한 것과 무선충전이 안되는 점 등 몇개가 빠져 있긴하나 삼성페이도 되고 기기 디자인이 괜찮습니다.,삼성페이 지원에 짱짱한 배터리 게다가 정말 얇고 가볍습니다! 너무 너무 만족합니다,만족합니다.색상도 잘 나오고 고급스럽네요.생각보다 저렴하게 잘 구매했습니다.만족합니다.색상도 잘 나오고 고급스럽네요.생각보다 저렴하게 잘 구매했습니다.
