pl_id,pl_model_code,pl_name,star,market,write_id,upload_day,title,text
29,SM-A920,갤럭시 A9 2018,5,인터파크,even****,19.04.11.,좋아요 ㅎㅎㅎ,아이 정말저렴하게 잘구매했어요 .. 핸드폰 정말중저가쪽에서 최고인고같아요.중고도아니고 정말빠르게받고 이쁘네요. 상담아가씨도 정말유쾌하고 친절했구요. 근데 원래  3개인지는 모르겟으나 피규어 4개주신다고햇는데 3개왓어요 완전 상남자 피규어보내주신다고했는데 늑대.강아지머리세개달린거.꽃게처럼생긴거 이렇게왔네요.  상남자는 곤충.동물애호가가 아니라 아가씨피규어가 필요한건데... 아무튼 총점 10점만점에 자비없이 10점이네요. 감사합니다.
29,SM-A920,갤럭시 A9 2018,5,인터파크,evel****,19.02.09.,만족요,사은품  기다려볼께요~~
29,SM-A920,갤럭시 A9 2018,5,11번가,ba******,17.04.03.,너무마음에듭니다.적극추천합니다., 방금 택배 받았습니다 사은품도  실용적인걸로 고를수 있어서 정말 좋았어요 ^^ 포장상태는 정말 좋고요 상담도 친철하여 만족 스럽습니다    
