모델명,모델코드,제조회사,출시일,운영체제,판매방식,화면크기(센치),화면크기(인치),패널종류,화면해상도,ppi,최대주사율,화면비,화면면적,화면폭,화면높이,HDR규격,AP종류,코어갯수,코어클럭,그래픽코어,NPU & DSP,Sensor Hub,시스템램,내장메모리,저장장치,외장메모리,5G,4G,WI-FI주파수,블루투스,위성항법,유심타입,듀얼유심,카메라타입,후면카메라,전면카메라,동영상촬영,Flash,사진촬영 해상도,전면 해상도,전면 동영상 해상도,조리개 값,카메라 특징,손떨림보정,손떨림방지,카메라플래시,HDR촬영지원,오토HDR,광학줌,지오태그,레이저 오토포커스,오토 포커스,아웃 포커스,터치 포커스,파노라마,TOF센서,야간모드 촬영,이어폰단자,스피커,고음질재생,사운드 기술,지문인식,얼굴인식,홍채인식,음성잠금해제,AI/인공지능,전자결제,터치펜,방수/방진,기타,충전단자,배터리용량,배터리타입,배터리특징,배터리장착방식,충전지원,고속충전기술,무선충전,색상,가로,세로,두께,무게
아이폰7플러스,A1784,애플,2016. 10,iOS 10 | iOS 11.4,,,5.5,IPS,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Apple A10 Fusion APL1W24,4개 (64 비트),2370 MHz,PowerVR,,,3 GB,32 GB / 128 GB / 256 GB,,미확인,LTE,4G,미확인,4.2,,나노유심,,,,,3840 x 2160 (-)30 FPS,,4032 x 3024 (12.2 메가픽셀),3088 x 2320 (7.2 메가픽셀),3088 x 2320 (7.2 메가픽셀)30 FPS,F/1.8 - 2.8,"(광학줌)
손떨림방지 카메라",,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,2900 mAh,Li-Ion,일체형,,,,-,,77.9,158.2,7.3,188g
아이폰SE,A1723,애플,2016. 05,iOS 9.3,,,4,IPS,640 x 1136 픽셀,326 ppi,,,,49.87 mm,88.52 mm,,Apple A9 APL0898,2개 (64 비트),1840 MHz,PowerVR GT7600,,,2 GB,16 GB / 32 GB / 64 GB / 128 GB,,미확인,LTE,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,3840 x 2160 (UHD)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),(0 메가픽셀),(0 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,Apple Pay,,,,,1642 mAh,Li-Polymer,일체형,,,,-,,58.6,123.8,7.6,113g
아이폰6s,A1688,애플,2015. 10,iOS 9 | iOS 10 | iOS 11.4 | iOS 12.3,,,4.7,IPS,750 x 1334 픽셀,326 ppi,,,,58.51 mm,104.06 mm,,Apple A9 APL0898,2개 (64 비트),1840 MHz,PowerVR GT7600,,,2 GB,16 GB / 64 GB / 128 GB,,미확인,LTE,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,3840 x 2160 (UHD)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,Apple Pay,,,,,1715 mAh,Li-Polymer,일체형,,,,-,,67.1,138.3,7.1,143g
아이폰6s 플러스,A1687,애플,2015. 10,iOS 9 | iOS 10 | iOS 11.4 | iOS 12.3,,,5.5,IPS,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Apple A9 APL1022,2개 (64 비트),1840 MHz,PowerVR GT7600,,,2 GB,16 GB / 64 GB / 128 GB,,미확인,LTE,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,3840 x 2160 (UHD)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,Apple Pay,,,,,2750 mAh,Li-Polymer,일체형,,,,-,,77.9,158.2,7.3,192g
아이폰6s 플러스,A1586,애플,2015. 10,iOS 9 | iOS 10 | iOS 11.4 | iOS 12.3,,,5.5,IPS,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Apple A9 APL1022,2개 (64 비트),1840 MHz,PowerVR GT7600,,,2 GB,16 GB / 64 GB / 128 GB,,미확인,LTE,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,3840 x 2160 (UHD)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,Apple Pay,,,,,2750 mAh,Li-Polymer,일체형,,,,-,,77.9,158.2,7.3,192g
아이폰6 플러스,A1524,애플,2014. 10,iOS 9,,,5.5,IPS,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Apple A9 APL1022,2개 (64 비트),1840 MHz,PowerVR GT7600,,,2 GB,16 GB / 64 GB / 128 GB,,미확인,LTE,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,3840 x 2160 (Full HD)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,2750 mAh,Li-Polymer,일체형,,,,-,,77.9,158.2,7.3,172g
아이폰5S,A1530,애플,2013. 10,iOS 7.0.3 | iOS 9,,,4,IPS,640 x 1136 픽셀,326 ppi,,,,49.87 mm,88.52 mm,,Apple A7 APL0698,2개 (64 비트),1300 MHz,PowerVR G6430,,,1 GB,16 GB / 32 GB,,미확인,LTE,4G,802.11a/b/g/n,4,,나노유심 ,,,,,1920 x 1080 (Full HD)30 FPS,Dual LED,3264 x 2448 (8 메가픽셀),1280 x 960 (1.2 메가픽셀),1280 x 960 (1.2 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,1560 mAh,Li-Polymer,일체형,,,,-,,58.6,123.8,7.6,112g
아이폰4S,A1387,애플,2011. 11,iOS 5 | iOS 6.1.3 | iOS 7.0.4 | iOS 8.0.2,,,3.5,IPS,640 x 960 픽셀,330 ppi,,,,49.31 mm,73.97 mm,,Apple A5 APL0498,2개 (32 비트),800 MHz,PowerVR SGX543 MP2,,,512 MB (megabytes) GB,8 GB / 16 GB / 32 GB / 64 GB,,미확인,3G,3G,802.11b/g/n,4,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,3264 x 2448 (8 메가픽셀),640 x 480 (0.3 메가픽셀),640 x 480 (0.3 메가픽셀)30 FPS,F/2.4,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432 mAh,Li-Polymer,일체형,,,,-,,58.6,115.2,9.3,140g
아이폰4 32GB,A1332,애플,2011. 03,iOS 4 | iOS 6.1.3 | iOS 7.0.4,,,3.5,IPS,640 x 960 픽셀,330 ppi,,,,49.31 mm,73.97 mm,,Apple A4 APL0398,1개 (32 비트),800 MHz,PowerVR SGX535,,,512 MB (megabytes) GB,8 GB / 16 GB / 32 GB,,미확인,3G,3G,802.11b/g/n,2.1,,마이크로유심 ,,,,,1280 x 720 (HD)30 FPS,LED,2560 x 1920 (4.9 메가픽셀),(0 메가픽셀),(0 메가픽셀)30 FPS,F/2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420 mAh,Li-Polymer,일체형,,,,-,,58.6,115.2,9.3,137g
갤럭시 A90 5G,SM-A908,삼성전자,2019. 09,안드로이드 9.0 Pie,,,6.7,Super AMOLED,1080 x 2400 픽셀,393 ppi,,,,69.84 mm,155.19 mm,,Qualcomm Snapdragon 855,8개 (64 비트),2840 MHz,Qualcomm Adreno 640,,,6 | 8 GB,128 GB,,미확인,5G,5G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,LED,8000 x 6000 (48 메가픽셀),6560 x 4928 (32.3 메가픽셀),6560 x 4928 (32.3 메가픽셀)30 FPS,F/2,,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,4500 mAh,Li-Polymer,"급속충전
일체형",,,,-,,76.4,164.8,8.4,206g
X6 2019,SM-A505,LG전자,2019. 06,안드로이드 8.1 Oreo,,,6.26,IPS,720 x 1520 픽셀,269 ppi,,,,68.07 mm,143.7 mm,,MediaTek Helio P22 (MT6762),8개 (64 비트),2000 MHz,PowerVR GE8320,,,3 GB,64 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,Dual LED,4608 x 3456 (15.9 메가픽셀),4160 x 3120 (13 메가픽셀),4160 x 3120 (13 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3500 mAh,Li-Polymer,일체형,,,,-,,77,161.3,8.7,172g
갤럭시 A40,SM-A405,삼성전자,2019. 07,안드로이드 9.0 Pie,,,5.9,Super AMOLED,1080 x 2340 픽셀,437 ppi,,,,62.8 mm,136.07 mm,,Samsung Exynos 7 Octa 7904,8개 (64 비트),1800 MHz,ARM Mali-G71 MP2,,,4 GB,64 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4608 x 3456 (15.9 메가픽셀),5760 x 4312 (24.8 메가픽셀),5760 x 4312 (24.8 메가픽셀)30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3100 mAh,Li-Polymer,"급속충전
일체형",,,,-,,69.2,144.4,7.9,140g
갤럭시 A30,SM-A305,삼성전자,2019. 04,안드로이드 9.0 Pie,,,6.4,Super AMOLED,1080 x 2340 픽셀,403 ppi,,,,68.12 mm,147.6 mm,,Samsung Exynos 7 Octa 7904,8개 (64 비트),1800 MHz,ARM Mali-G71 MP2,,,3 | 4 GB,32 GB / 64 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀)30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,4000 mAh,Li-Ion,"급속충전
일체형",,,,-,,74.7,158.5,7.7,165g
갤럭시 와이드4,SM-A205,삼성전자,2019. 05,안드로이드 9.0 Pie,,,,Super AMOLED,720 x 1560 픽셀,-,,,,68.12 mm,147.6 mm,,Samsung Exynos 7 Octa 7884,8개 (64 비트),1600 MHz,ARM Mali-G71,,,3 GB,32 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4224 x 3136 (13.3 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,4000 mAh,Li-Polymer,"급속충전
일체형",,,,-,,74.7,158.4,7.8,169g
갤럭시 A9프로,SM-G887,삼성전자,2019. 01,안드로이드 8.1 Oreo | 안드로이드 9.0 Pie,,,6.4,IPS,1080 x 2340 픽셀,403 ppi,,,,68.12 mm,147.6 mm,,Qualcomm Snapdragon 710,8개 (64 비트),2200 MHz,Qualcomm Adreno 616,,,6 GB,128 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,Dual LED,5632 x 4224 (23.8 메가픽셀),5632 x 4224 (23.8 메가픽셀),5632 x 4224 (23.8 메가픽셀)30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3400 mAh,Li-Polymer,"급속충전
일체형",,,,-,,74.9,158.4,7.4,173g
