,original_code,price_code,mintit_code,bunjang_code,joongabi_code
83,A1723,128.0,DGTLAPIPHONESE128GB,,AIPSE-128G
84,A1723,64.0,DGTLAPIPHONESE64GB,AIP SE-64G,AIPSE-64G
85,A1723,32.0,DGTLAPIPHONESE32GB,,AIPSE-32G
86,A1723,16.0,DGTLAPIPHONESE16GB,AIP SE-16G,AIPSE-16G
87,A1897,256.0,DGTLAPIP8P256GB,AIP8Plus-256G,AIP8Plus-256G
88,A1897,64.0,DGTLAPIP8P64GB,AIP8Plus-64G,AIP8Plus-64G
89,A1897,128.0,,,AIP8Plus-128G
90,A1905,256.0,DGTLAPIP8256GB,AIP8-256G,AIP8-256G
91,A1905,64.0,DGTLAPIP864GB,AIP8-64G,AIP8-64G
92,A1905,128.0,,,AIP8-128G
93,A1784,256.0,DGTLAPIPHONE7PLUS256GB,AIP7Plus-256G,AIP7Plus-256G
94,A1784,128.0,DGTLAPIPHONE7PLUS128GB,AIP7Plus-128G,AIP7Plus-128G
95,A1784,32.0,DGTLAPIPHONE7PLUS32GB,AIP7Plus-32G,AIP7Plus-32G
96,A1778,256.0,DGTLAPIPHONE7256GB,AIP7-256G,AIP7-256G
97,A1778,128.0,DGTLAPIPHONE7128GB,AIP7-128G,AIP7-128G
98,A1778,32.0,DGTLAPIPHONE732GB,AIP7-32G,AIP7-32G
99,A1687,128.0,DGTLAPIPHONE6SPLUS128GB,,AIP6SPlus-128G
100,A1687,64.0,DGTLAPIPHONE6SPLUS64GB,AIP6SPlus-64G,AIP6SPlus-64G
101,A1687,32.0,DGTLAPIPHONE6SPLUS32GB,,AIP6SPlus-32G
102,A1687,16.0,DGTLAPIPHONE6SPLUS16GB,AIP6SPlus-16G,AIP6SPlus-16G
103,A1688,128.0,DGTLAPIPHONE6S128GB,AIP6S-128G,AIP6S-128G
104,A1688,64.0,DGTLAPIPHONE6S64GB,AIP6S-64G,AIP6S-64G
105,A1688,32.0,DGTLAPIPHONE6S32GB,,AIP6S-32G
106,A1688,16.0,DGTLAPIPHONE6S16GB,AIP6S16G,AIP6S-16G
107,A1524,128.0,DGTLAPIPHONE6PLUS128GB,AIP6Plus-128G,AIP6Plus-128G
108,A1524,64.0,DGTLAPIPHONE6PLUS64GB,AIP6Plus-64G,AIP6Plus-64G
109,A1524,32.0,DGTLAPIPHONE6PLUS32GB,,AIP6Plus-32G
110,A1524,16.0,DGTLAPIPHONE6PLUS16GB,AIP6Plus-16G,AIP6Plus-16G
111,A1586,128.0,DGTLAPIPHONE6128GB,AIP6-128G,AIP6-128G
112,A1586,64.0,DGTLAPIPHONE664GB,AIP6-64G,AIP6-64G
113,A1586,32.0,DGTLAPIPHONE632GB,,AIP6-32G
114,A1586,16.0,DGTLAPIPHONE616GB,AIP6-16G,AIP6-16G
115,A2411,512.0,DGTLAPAIP12PROMAX512GB,AIP12PM-512GB,AIP12 PRO MAX-512G
116,A2411,256.0,DGTLAPAIP12PROMAX256GB,AIP12PM-256GB,AIP12 PRO MAX-256G
117,A2411,128.0,DGTLAPAIP12PROMAX128GB,AIP12PM-128GB,AIP12 PRO MAX-128G
118,A2407,512.0,DGTLAPAIP12PRO512GB,AIP12P-512G,AIP12 PRO-512G
119,A2407,256.0,DGTLAPAIP12PRO256GB,AIP12P-256G,AIP12 PRO-256G
120,A2407,128.0,DGTLAPAIP12PRO128GB,AIP12P-128G,AIP12 PRO-128G
121,A2399,256.0,DGTLAPAIP12MINI256GB,AIP12M-256GB,AIP12 MINI-256G
122,A2399,128.0,DGTLAPAIP12MINI128GB,AIP12M-128GB,AIP12 MINI-128G
123,A2399,64.0,DGTLAPAIP12MINI64GB,AIP12M-64GB,AIP12 MINI-64G
124,A2403,256.0,DGTLAPAIP12256GB,AIP12-256G,AIP12-256G
125,A2403,128.0,DGTLAPAIP12128GB,AIP12-128G,AIP12-128G
126,A2403,64.0,DGTLAPAIP1264GB,AIP12-64G,AIP12-64G
127,A2218,512.0,DGTLAPIP11PM512GB,AIP11PM-512G,AIP11 PRO MAX-512G
128,A2218,256.0,DGTLAPIP11PM256GB,AIP11PM-256G,AIP11 PRO MAX-256G
129,A2218,64.0,DGTLAPIP11PM64GB,AIP11PM-64G,AIP11 PRO MAX-64G
130,A2215,512.0,DGTLAPIP11P512GB,AIP11P-512G,AIP11 PRO-512G
131,A2215,256.0,DGTLAPIP11P256GB,AIP11P-256G,AIP11 PRO-256G
132,A2215,64.0,DGTLAPIP11P64GB,AIP11P-64G,AIP11 PRO-64G
133,A2221,256.0,DGTLAPIP11256GB,AIP11-256G,AIP11-256G
134,A2221,128.0,DGTLAPIP11128GB,AIP11-128G,AIP11-128G
135,A2221,64.0,DGTLAPIP1164GB,AIP11-64G,AIP11-64G
136,A2775,256.0,,AIPSE2-256G,AIPSE (2020)-256G
137,A2775,128.0,,AIPSE2-128G,AIPSE (2020)-128G
138,A2775,64.0,,AIPSE2-64G,AIPSE (2020)-64G
139,A1530,16.0,,AIP5S-16G,AIP5S-16G
140,A1530,64.0,,,AIP5S-64G
141,A1530,32.0,,,AIP5S-32G
142,A1532,16.0,,AIP5C-16G,AIP5C-16G
143,A1532,32.0,,,AIP5C-32G
144,A1428,16.0,,AIP5-16G,AIP5-16G
145,A1428,32.0,,,AIP5-32G
146,SM-G781,128.0,,SM-G781,SM-G781
147,SM-G935,,,SM-G935,SM-G935
148,SM-G930,,,SM-G930,SM-G930
149,SM-G928,,,SM-G928,SM-G928
150,SM-G925,,,SM-G925,SM-G925
151,SM-G920,,,SM-G920,SM-G920
152,SM-G900,32.0,,SM-G900,SM-G900
153,SM-G906,32.0,,SM-G906,SM-G906
154,SHV-E370,,,SHV-E370,SHV-E370
155,SHV-E470,32.0,,SHV-E470,SHV-E470
156,SHV-E210,,,SHV-E210,SHV-E210
157,SHV-E120,16.0,,SHV-E120,SHV-E120
158,SHV-E110,16.0,,SHV-E110,SHV-E110
159,SHW-M250,,,SHW-M250,SHW-M250
160,SHW-M110,16.0,,SHW-M110,SHW-M110
161,SM-N935,64.0,,SM-N935,SM-N935
162,SM-N920,,,SM-N920,SM-N920
163,SM-N915,,,SM-N915,SM-N915
164,SM-N916,32.0,,SM-N916,
165,SM-N910,32.0,,SM-N910,SM-N910
166,SM-N750,16.0,,SM-N750,SM-N750
167,SM-N900,32.0,,SM-N900,SM-N900
168,SHV-E250,,,SHV-E250,SHV-E250
169,SHV-E160,,,SHV-E160,SHV-E160
170,SM-A426,5.0,,SM-A426N,
171,SM-A426,128.0,,,SM-A426
172,SM-A325,64.0,,SM-A325N,SM-A325
173,SM-A125,32.0,,SM-A125N,SM-A125
174,SM-A516,5.0,,SM-A516N,
175,SM-A305,32.0,,SM-A305_32G,SM-A305
176,SM-G887,128.0,,SM-G887,SM-G887
177,SM-A102,32.0,,SM-A102,SM-A102
178,SM-A920,128.0,,SM-A920,SM-A920
179,SM-G885,64.0,,SM-G885,SM-G885
180,SM-A530,32.0,,SM-A530,SM-A530
181,SM-A810,32.0,,SM-A810,SM-A810
182,SM-A800,32.0,,SM-A800,SM-A800
183,SM-A750,,,SM-A750,SM-A750
184,SM-A710,16.0,,SM-A710,SM-A710
185,SM-A700,16.0,,SM-A700,SM-A700
186,SM-A202,32.0,,SM-A202K,SM-A202
187,SM-A605,32.0,,SM-A605,SM-A605
188,SM-A600,32.0,,SM-A600,SM-A600
189,SM-A520,32.0,,SM-A520,SM-A520
190,SM-A510,16.0,,SM-A510,SM-A510
191,SM-A500,16.0,,SM-A500,SM-A500
192,SM-A310,16.0,,SM-A310,SM-A310
193,SM-J730,32.0,,SM-J730,SM-J730
194,SM-J710,16.0,,SM-J710,SM-J710
195,SM-J700,16.0,,SM-J700,SM-J700
196,SM-J600,32.0,,SM-J600,SM-J600
197,SM-J530,32.0,,SM-J530,SM-J530
198,SM-J510,16.0,,SM-J510,SM-J510
199,SM-J500,16.0,,SM-J500,SM-J500
200,SM-J415,32.0,,SM-J415,SM-J415
201,SM-J330,16.0,,SM-J330,SM-J330
202,SM-J320,8.0,,SM-J320,SM-J320
203,SM-J250,16.0,,SM-J250,SM-J250
204,SM-A205,32.0,,SM-A205_32G,SM-A205
205,SM-J737,32.0,,SM-J737,SM-J737
206,SM-G600,16.0,,SM-G600,SM-G600
207,SM-G720,16.0,,SM-G720,SM-G720
208,SM-G710,16.0,,SM-G710,SM-G710
209,SHV-E270,8.0,,SHV-E270,
210,SM-G611,32.0,,SM-G611,SM-G611
211,SM-G610,16.0,,SM-G610,SM-G610
212,SHV-E500,8.0,,SHV-E500,SHV-E500
213,SHV-E400,16.0,,SHV-E400,SHV-E400
214,SHV-E310,16.0,,SHV-E310,SHV-E310
215,SHV-E220,,,SHV-E220,SHV-E220
216,SHV-E170,16.0,,SHV-E170,SHV-E170
217,SM-T255,16.0,,SM-T255,SM-T255
218,SM-G910,32.0,,SM-G910,SM-G910
219,SM-G850,32.0,,SM-G850,SM-G850
220,SM-G160,,,SM-G160,SM-G160
221,SM-C115,,,SM-C115,SM-C115
222,SM-C105,,,SM-C105,SM-C105
223,SHW-M570,8.0,,SHW-M570,SHW-M570
224,SHW-M240,,,SHW-M240,SHW-M240
225,SHW-M190,16.0,,SHW-M190,SHW-M190
226,SHW-M130,8.0,,SHW-M130,SHW-M130
227,LGM-V300,,,LGM-V300,LGM-V300
228,LG-F800,64.0,,LG-F800,LG-F800
229,LG-F600,64.0,,LG-F600,LG-F600
230,LGM-G600,64.0,,LGM-G600_64G,LGM-G600-64G
231,LGM-G600,32.0,,LGM-G600_32G,LGM-G600-32G
232,LGM-G600,,,,LGM-G600
233,LG-F700,32.0,,LG-F700,LG-F700
234,LG-F500,32.0,,LG-F500,LG-F500
235,LG-F490,32.0,,LG-F490,LG-F490
236,LG-F470,8.0,,LG-F470,LG-F470
237,LG-F460,,,LG-F460,LG-F460
238,LG-F410,32.0,,LG-F410,LG-F410
239,LG-F400,,,LG-F400,LG-F400
240,LG-F430,8.0,,LG-F430,LG-F430
241,LG-F310,32.0,,LG-F310,LG-F310
242,LG-F510,,,LG-F510,LG-F510
243,LG-F340,32.0,,LG-F340,LG-F340
244,LG-F320,32.0,,LG-F320,LG-F320
245,LG-F350,32.0,,LG-F350,LG-F350
246,LM-Q920,5.0,,LM-Q920N,
247,LM-Q730,64.0,,LM-Q730N,LM-Q730N
248,LM-Q630,64.0,,LM-Q630N,
249,LM-Q520,64.0,,LM-Q520,LM-Q520
250,LM-Q510,32.0,,LM-Q510N,LM-Q510
251,LM-Q310,32.0,,LM-Q310N,
252,LM-Q927,64.0,,LM-Q927L,LM-Q927L
253,LGM-X800,32.0,,LGM-X800,LGM-X800
254,LG-F820,32.0,,LG-F820,
255,LG-F260,8.0,,LG-F260,LG-F260
256,LM-X625,64.0,,LM-X625N,LM-X625
257,LG-F770,16.0,,LG-F770,
258,LM-X420,32.0,,LM-X420N,LM-X420
259,LM-X220,32.0,,LM-X220N,LM-X220
260,LGM-X320,32.0,,LGM-X320,LGM-X320
261,LGM-X401,,,LGM-X401,LGM-X401
262,LGM-K121,,,LGM-K121,LGM-K121
263,LGM-K120,16.0,,LGM-K120,LGM-K120
264,LG-F750,16.0,,LG-F750,LG-F750
