,maker,group,code,name,model_name,storage,color_name,hidden,storage_hidden,color_hidden,class_hidden,size,display_inch,display_cm,weight,battery,front_camera,back_camera,price,score,summary,pl_launch
0,삼성전자,,SM-T311,갤럭시 탭 3 8.0,갤럭시 탭 3 8.0,16 GB / 32 GB,,,,,,209.8 x 123.8 x 7.4,8.0,,4450 mAh,갤럭시 탭 3 8.0,(0 메가픽셀),2560 x 1920 (4.9 메가픽셀),,,,2013. 07
0,삼성전자,,SM-T315,갤럭시 탭 3 8.0,갤럭시 탭 3 8.0,16 GB / 32 GB,,,,,,209.8 x 123.8 x 7.4,8.0,,4450 mAh,갤럭시 탭 3 8.0,(0 메가픽셀),2560 x 1920 (4.9 메가픽셀),,,,2013. 07
0,삼성전자,,SM-T320,갤럭시 탭 프로 8.4,갤럭시 탭 프로 8.4,16 GB / 32 GB,,,,,,219 x 128.5 x 7.2,8.4,,4800 mAh,갤럭시 탭 프로 8.4,(0 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2014. 03
0,삼성전자,,SM-T325,갤럭시 탭 프로 8.4,갤럭시 탭 프로 8.4,16 GB / 32 GB,,,,,,219 x 128.5 x 7.2,8.4,,4800 mAh,갤럭시 탭 프로 8.4,(0 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2014. 03
0,삼성전자,,SM-T330,갤럭시 탭4 8.0,갤럭시 탭4 8.0,16 GB,,,,,,210 x 124 x 7.95,8,,4450 mAh,갤럭시 탭4 8.0,(0 메가픽셀),2048 x 1536 (3.2 메가픽셀),,,,2014. 05
0,삼성전자,,SM-T335,갤럭시 탭4 8.0,갤럭시 탭4 8.0,16 GB,,,,,,210 x 124 x 7.95,8,,4450 mAh,갤럭시 탭4 8.0,(0 메가픽셀),2048 x 1536 (3.2 메가픽셀),,,,2014. 06
0,삼성전자,,SM-T335K,갤럭시 탭4 8.0,갤럭시 탭4 8.0,16 GB,,,,,,210 x 124 x 7.95,8,,4450 mAh,갤럭시 탭4 8.0,(0 메가픽셀),2048 x 1536 (3.2 메가픽셀),,,,2014. 06
0,삼성전자,,SM-T335L,갤럭시 탭4 8.0,갤럭시 탭4 8.0,16 GB,,,,,,210 x 124 x 7.95,8,,4450 mAh,갤럭시 탭4 8.0,(0 메가픽셀),2048 x 1536 (3.2 메가픽셀),,,,2014. 06
0,삼성전자,,SM-T350,갤럭시 탭 A 8.0,갤럭시 탭 A 8.0,,,,,,,208.3 x 137.9 x 7.4,8,,4200 mAh,갤럭시 탭 A 8.0,(0 메가픽셀),(0 메가픽셀),,,,2015. 05
0,삼성전자,,SM-T375L,갤럭시 탭E,갤럭시 탭E,16 GB,,,,,,212.09 x 126 x 8.9,8,,5000 mAh,갤럭시 탭E,1600 x 1200 (1.9 메가픽셀),2592 x 1944 (5 메가픽셀),,,,2016. 02
0,삼성전자,,SM-T375S,갤럭시 탭E,갤럭시 탭E,16 GB,,,,,,212.09 x 126 x 8.9,8,,5000 mAh,갤럭시 탭E,1600 x 1200 (1.9 메가픽셀),2592 x 1944 (5 메가픽셀),,,,2016. 02
0,삼성전자,,SM-T378K,갤럭시 탭 E 블랙,갤럭시 탭 E 블랙,16 GB,,,,,,212.1 x 126.1 x 8.9,8,,5000 mAh,갤럭시 탭 E 블랙,1600 x 1200 (1.9 메가픽셀),2592 x 1944 (5 메가픽셀),,,,2017. 05
0,삼성전자,,SM-T378L,갤럭시 탭 E 블랙,갤럭시 탭 E 블랙,16 GB,,,,,,212.1 x 126.1 x 8.9,8,,5000 mAh,갤럭시 탭 E 블랙,1600 x 1200 (1.9 메가픽셀),2592 x 1944 (5 메가픽셀),,,,2017. 05
0,삼성전자,,SM-T378S,갤럭시 탭 E 블랙,갤럭시 탭 E 블랙,16 GB,,,,,,212.1 x 126.1 x 8.9,8,,5000 mAh,갤럭시 탭 E 블랙,1600 x 1200 (1.9 메가픽셀),2592 x 1944 (5 메가픽셀),,,,2017. 05
0,삼성전자,,SM-T380,갤럭시 탭 A 8.0 2017,갤럭시 탭 A 8.0 2017,16 GB,,,,,,212.1 x 124.1 x 8.9,8,,5000 mAh,갤럭시 탭 A 8.0 2017,2592 x 1944 (5 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2017. 09
0,삼성전자,,SM-T385,갤럭시 탭A (2017),갤럭시 탭A (2017),16 GB / 32 GB,,,,,,212.1 x 124.1 x 8.9,,,5000 mAh,갤럭시 탭A (2017),2592 x 1944 (5 메가픽셀),3264 x 2448 (8 메가픽셀),,,,미출시
