,pl_id,모델이름,링크제목,나무위키링크
0,43.0,Galaxy J2 Pro,갤럭시 J2 Pro,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J2%20Pro
0,44.0,Galaxy J3 2017,갤럭시 J3(2017),https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J3(2017)
0,45.0,Galaxy J5 2017,갤럭시 J5,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J5
0,46.0,Galaxy J7 2017,갤럭시 J7,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J7
0,47.0,Galaxy J3 2016,갤럭시 J3 Pro,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J3%20Pro
0,48.0,Galaxy J7 2016,갤럭시 J7,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J7
0,49.0,Galaxy J5 2016,갤럭시 J5,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J5
0,50.0,Galaxy J7,갤럭시 J7,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J7
0,51.0,Galaxy J6,갤럭시 J6,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J6
0,52.0,Galaxy J5,갤럭시 J5,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J5
0,53.0,Galaxy J4 Plus,갤럭시 J4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J4
0,54.0,GalaxyS10 5G,갤럭시S10 5G,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS10%205G
0,55.0,갤럭시S10e,,
0,56.0,GalaxyS10,갤럭시S10,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS10
0,57.0,GalaxyS10 Plus,갤럭시S10,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS10
0,58.0,GalaxyS9,갤럭시S9,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS9
0,59.0,GalaxyS9 Plus,갤럭시S9,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS9
0,60.0,GalaxyS8,갤럭시S8,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS8
0,61.0,GalaxyS8 Plus,갤럭시S8,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS8
0,62.0,GalaxyS7,갤럭시S7,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS7
0,63.0,GalaxyS7 Edge,갤럭시S7,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS7
0,64.0,GalaxyS6 Edge Plus,Razer Edge,https://namu.wiki/w/Razer%20Edge
0,65.0,GalaxyS6 Edge,Razer Edge,https://namu.wiki/w/Razer%20Edge
0,66.0,GalaxyS6,갤럭시S6,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS6
0,67.0,GalaxyS5,갤럭시S5,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS5
0,68.0,GalaxyS5 LTE-A,갤럭시S5,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS5
0,69.0,GalaxyS4,갤럭시S4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS4
0,70.0,GalaxyS4 LTE-A,갤럭시S4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS4
0,71.0,GalaxyS4 Active,갤럭시S4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS4
0,72.0,GalaxyS4 Zoom,갤럭시S4 Zoom,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS4%20Zoom
0,73.0,GalaxyS4 Mini,갤럭시S4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS4
0,74.0,GalaxyS3 LTE,갤럭시S3 LTE,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS3%20LTE
0,75.0,GalaxyS3 3G,3G,https://namu.wiki/w/3G
0,76.0,GalaxyS2,갤럭시S2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS2
0,77.0,GalaxyS2 HD LTE,갤럭시 S2 HD LTE,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S2%20HD%20LTE
0,78.0,GalaxyS2 LTE,LTE,https://namu.wiki/w/LTE
0,79.0,GalaxyS,갤럭시S,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS
0,80.0,GalaxyS Hoppin,갤럭시S,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS
0,81.0,GalaxyGrand Max,맥스,https://namu.wiki/w/%EB%A7%A5%EC%8A%A4
0,82.0,갤럭시그랜드2,,
0,83.0,갤럭시그랜드,,
0,84.0,GalaxyNote10,갤럭시노트10,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B810
0,85.0,GalaxyNote10 Plus,PS Plus,https://namu.wiki/w/PS%20Plus
0,86.0,GalaxyNote9,갤럭시노트9,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B89
0,87.0,GalaxyNote8,갤럭시노트8,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B88
0,88.0,갤럭시노트FE,,
0,89.0,GalaxyNote7,갤럭시노트7,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B87
0,90.0,GalaxyNote5,갤럭시노트5,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B85
0,91.0,GalaxyNote4,갤럭시노트4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B84
0,92.0,GalaxyNote4 S-LTE,갤럭시노트4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B84
0,93.0,GalaxyNote4 Edge,갤럭시노트4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B84
