,모델명,모델코드,제조회사,출시일,운영체제,판매방식,화면크기(센치),화면크기(인치),패널종류,화면해상도,ppi,최대주사율,화면비,화면면적,화면폭,화면높이,HDR규격,AP종류,코어갯수,코어클럭,그래픽코어,NPU & DSP,Sensor Hub,시스템램,내장메모리,저장장치,외장메모리,5G,4G,WI-FI주파수,블루투스,위성항법,유심타입,듀얼유심,카메라타입,후면카메라,전면카메라,동영상촬영,Flash,사진촬영 해상도,전면 해상도,전면 동영상 해상도,조리개 값,카메라 특징,손떨림보정,손떨림방지,카메라플래시,HDR촬영지원,오토HDR,광학줌,지오태그,레이저 오토포커스,오토 포커스,아웃 포커스,터치 포커스,파노라마,TOF센서,야간모드 촬영,이어폰단자,스피커,고음질재생,사운드 기술,지문인식,얼굴인식,홍채인식,음성잠금해제,AI/인공지능,전자결제,터치펜,방수/방진,기타,충전단자,배터리용량,배터리타입,배터리특징,배터리장착방식,충전지원,고속충전기술,무선충전,색상,가로,세로,두께,무게
0,아이폰7,A1778,애플,2016. 10,iOS 10 | iOS 11.4,,,4.7,IPS,750 x 1334 픽셀,326 ppi,,,,58.51 mm,104.06 mm,,Apple A10 Fusion APL1W24,4개 (64 비트),2370 MHz,PowerVR,,,2 GB,32 GB / 128 GB / 256 GB,,미확인,,,미확인,4.2,,나노유심,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이폰7,,,,,,,,67.1 x 138.3 x 7.1,,,1960 mAh
0,아이폰7플러스,A1784,애플,2016. 10,iOS 10 | iOS 11.4,,,5.5,IPS,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Apple A10 Fusion APL1W24,4개 (64 비트),2370 MHz,PowerVR,,,3 GB,32 GB / 128 GB / 256 GB,,미확인,,,미확인,4.2,,나노유심,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이폰7플러스,,,,,,,,77.9 x 158.2 x 7.3,,,2900 mAh
0,아이폰SE,A1723,애플,2016. 05,iOS 9.3,,,4,IPS,640 x 1136 픽셀,326 ppi,,,,49.87 mm,88.52 mm,,Apple A9 APL0898,2개 (64 비트),1840 MHz,PowerVR GT7600,,,2 GB,16 GB / 32 GB / 64 GB / 128 GB,,미확인,,,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이폰SE,,,,,,,,58.6 x 123.8 x 7.6,,,1642 mAh
0,아이폰6s,A1688,애플,2015. 10,iOS 9 | iOS 10 | iOS 11.4 | iOS 12.3,,,4.7,IPS,750 x 1334 픽셀,326 ppi,,,,58.51 mm,104.06 mm,,Apple A9 APL0898,2개 (64 비트),1840 MHz,PowerVR GT7600,,,2 GB,16 GB / 64 GB / 128 GB,,미확인,,,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이폰6s,,,,,,,,67.1 x 138.3 x 7.1,,,1715 mAh
0,아이폰6s 플러스,A1687,애플,2015. 10,iOS 9 | iOS 10 | iOS 11.4 | iOS 12.3,,,5.5,IPS,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Apple A9 APL1022,2개 (64 비트),1840 MHz,PowerVR GT7600,,,2 GB,16 GB / 64 GB / 128 GB,,미확인,,,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이폰6s 플러스,,,,,,,,77.9 x 158.2 x 7.3,,,2750 mAh
0,아이폰6s 플러스,A1586,애플,2015. 10,iOS 9 | iOS 10 | iOS 11.4 | iOS 12.3,,,5.5,IPS,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Apple A9 APL1022,2개 (64 비트),1840 MHz,PowerVR GT7600,,,2 GB,16 GB / 64 GB / 128 GB,,미확인,,,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이폰6s 플러스,,,,,,,,77.9 x 158.2 x 7.3,,,2750 mAh
0,아이폰6 플러스,A1524,애플,2014. 10,iOS 9,,,5.5,IPS,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Apple A9 APL1022,2개 (64 비트),1840 MHz,PowerVR GT7600,,,2 GB,16 GB / 64 GB / 128 GB,,미확인,,,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이폰6 플러스,,,,,,,,77.9 x 158.2 x 7.3,,,2750 mAh
0,아이폰5S,A1530,애플,2013. 10,iOS 7.0.3 | iOS 9,,,4,IPS,640 x 1136 픽셀,326 ppi,,,,49.87 mm,88.52 mm,,Apple A7 APL0698,2개 (64 비트),1300 MHz,PowerVR G6430,,,1 GB,16 GB / 32 GB,,미확인,,,802.11a/b/g/n,4.0,,나노유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이폰5S,,,,,,,,58.6 x 123.8 x 7.6,,,1560 mAh
0,아이폰4S,A1387,애플,2011. 11,iOS 5 | iOS 6.1.3 | iOS 7.0.4 | iOS 8.0.2,,,3.5,IPS,640 x 960 픽셀,330 ppi,,,,49.31 mm,73.97 mm,,Apple A5 APL0498,2개 (32 비트),800 MHz,PowerVR SGX543 MP2,,,512 MB (megabytes) GB,8 GB / 16 GB / 32 GB / 64 GB,,미확인,,,802.11b/g/n,4.0,,마이크로유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이폰4S,,,,,,,,58.6 x 115.2 x 9.3,,,1432 mAh
0,아이폰4 32GB,A1332,애플,2011. 03,iOS 4 | iOS 6.1.3 | iOS 7.0.4,,,3.5,IPS,640 x 960 픽셀,330 ppi,,,,49.31 mm,73.97 mm,,Apple A4 APL0398,1개 (32 비트),800 MHz,PowerVR SGX535,,,512 MB (megabytes) GB,8 GB / 16 GB / 32 GB,,미확인,,,802.11b/g/n,2.1,,마이크로유심 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아이폰4 32GB,,,,,,,,58.6 x 115.2 x 9.3,,,1420 mAh
