,모델명,모델코드,제조회사,출시일,운영체제,판매방식,화면크기(센치),화면크기(인치),패널종류,화면해상도,ppi,최대주사율,화면비,화면면적,화면폭,화면높이,HDR규격,AP종류,코어갯수,코어클럭,그래픽코어,NPU & DSP,Sensor Hub,시스템램,내장메모리,저장장치,외장메모리,5G,4G,WI-FI주파수,블루투스,위성항법,유심타입,듀얼유심,카메라타입,후면카메라,전면카메라,동영상촬영,Flash,사진촬영 해상도,전면 해상도,전면 동영상 해상도,조리개 값,카메라 특징,손떨림보정,손떨림방지,카메라플래시,HDR촬영지원,오토HDR,광학줌,지오태그,레이저 오토포커스,오토 포커스,아웃 포커스,터치 포커스,파노라마,TOF센서,야간모드 촬영,이어폰단자,스피커,고음질재생,사운드 기술,지문인식,얼굴인식,홍채인식,음성잠금해제,AI/인공지능,전자결제,터치펜,방수/방진,기타,충전단자,배터리용량,배터리타입,배터리특징,배터리장착방식,충전지원,고속충전기술,무선충전,색상,가로,세로,두께,무게,통신 모뎀,패널정보,배터리,단자정보,생체인식
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN
0,아이폰11,A2221,apple,NaN,iOS 13.0 → 14,NaN,NaN,6.1인치,NaN, 1792 x 828 ,326 ppi,60 Hz,19.5:9,NaN,NaN,NaN,NaN,Apple A13 Bionic APL1W85 SoC.  ,NaN,Apple Lightning MP2 2.66 GHz CPUApple Thunder MP4 1.72 GHz CPU,Apple 3rd Design GPU Architecture MP4 -.- GHz GPU,Apple 3rd Design Neural Engine MP8 NPU,NPU 대체,4 GB LPDDR4X SDRAM,, 64 / 128 / 256 NVMe,NaN,NaN,4G,NaN,5.0,"GPS & A-GPS, GLONASS, Galileo, QZSS",NaN,일부 모델 듀얼심 혹은 e-SIM 연계 듀얼심 지원,NaN,"1,200만 화소+1,200만 화소","1,200만 화소",NaN,True Tone 플래시광학 2배줌 지원,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"IP68 등급 방수 방진 지원, Dolby Atmos 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,NaN,NaN,USB Power Delivery 2.0 (18 W),NaN,NaN,NaN,NaN,"블랙, 화이트, 옐로, 그린, 퍼플, (PRODUCT)RED",75.7 , 150.9 , 8.3 mm, 194 g,미탑재,IPS TFT-LCD, 3110 mAh,USB 2.0 Apple Lightning 8-pin x 1일부 모델 듀얼심 혹은 e-SIM 연계 듀얼심 지원,얼굴인식 - 전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식
0,아이폰11 Pro,A2215,apple,NaN,iOS 13.0 → 14 → 14.4.2,NaN,NaN,5.8인치,NaN, 2436 x 1125 ,458 ppi,60 Hz,19.5:9,NaN,NaN,NaN,NaN,Apple A13 Bionic APL1W85 SoC.  ,NaN,Apple Lightning MP2 2.67 GHz CPUApple Thunder MP4 1.73 GHz CPU,Apple 3rd Design GPU Architecture MP4 -.- GHz GPU,Apple 3rd Design Neural Engine MP8 NPU,NPU 대체,4 GB LPDDR4X SDRAM,, 64 / 256 / 512 NVMe,NaN,NaN,4G,NaN,5.0,"GPS & A-GPS, GLONASS, Galileo, QZSS",NaN,일부 모델 듀얼심 혹은 eSIM 연계 듀얼심 지원,NaN,"1,200만 화소","1,200만 화소",NaN,듀얼-True Tone 플래시광학 2배줌 지원,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"IP68 등급 방수 방진 지원, Dolby Atmos 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,NaN,NaN,USB Power Delivery 2.0 (18 W),NaN,NaN,NaN,NaN,"스페이스 그레이, 실버, 골드, 미드나이트 그린",71.4 , 144 , 8.1 mm, 188g,미탑재,HDR 지원 AMOLED, 3046 mAh,USB 2.0 Apple Lightning 8-pin x 1일부 모델 듀얼심 혹은 eSIM 연계 듀얼심 지원,얼굴인식 - 전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식
0,아이폰11 Pro Max,A2218,apple,NaN,iOS 13.0 → 14,NaN,NaN,6.5인치,NaN, 2688 x 1242 ,458 ppi,60Hz,19.5:9,NaN,NaN,NaN,NaN,Apple A13 Bionic APL1W85 SoC.  ,NaN,Apple Lightning MP2 2.67 GHz CPUApple Thunder MP4 1.73 GHz CPU,Apple 3rd Design GPU Architecture MP4 -.- GHz GPU,Apple 3rd Design Neural Engine MP8 NPU,NPU 대체,4 GB LPDDR4X SDRAM,, 64 / 256 / 512 NVMe,NaN,NaN,4G,NaN,5.0,"GPS & A-GPS, GLONASS, Galileo, QZSS",NaN,일부 모델 듀얼심 혹은 eSIM 연계 듀얼심 지원,NaN,"1,200만 화소","1,200만 화소",NaN,듀얼-True Tone 플래시광학 2배줌 지원,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"IP68 등급 방수 방진 지원, Dolby Atmos 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,NaN,NaN,USB Power Delivery 2.0 (18 W),NaN,NaN,NaN,NaN,"스페이스 그레이, 실버, 골드, 미드나이트 그린",77.8 , 158 , 8.1 mm, 226 g[2] ,미탑재,HDR 지원 AMOLED, 3969 mAh,USB 2.0 Apple Lightning 8-pin x 1일부 모델 듀얼심 혹은 eSIM 연계 듀얼심 지원,얼굴인식 - 전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식
0,아이폰Xs,A2097,apple,NaN,iOS 12.0 → 13 → 14,NaN,NaN,5.8인치,NaN, 2436 x 1125 ,458 ppi,60 Hz,19.5:9,NaN,NaN,NaN,NaN,Apple A12 Bionic APL1W81 SoC.  ,NaN,Apple Vortex MP2 2.5 GHz CPUApple Tempest MP4 1.53 GHz CPU,Apple G11P MP4 1.1 GHz GPU,Apple Next-Generation Neural engine MP8 NPU,NPU 대체,4 GB LPDDR4X SDRAM,, 64 / 256 / 512 NVMe,NaN,NaN,4G,NaN,5.0,"GPS & A-GPS, GLONASS, Galileo, QZSS",NaN,NaN,NaN,"1,200만 화소+1,200만 화소","1,200만 화소",NaN,쿼드-LED True Tone 플래시광학 2배줌 지원,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"IP68 등급 방수 방진 지원, Dolby Atmos[A] 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",NaN,NaN,NaN,USB Power Delivery 2.0 (18W),NaN,NaN,NaN,NaN,"스페이스 그레이, 실버, 골드",70.9 , 143.6 , 7.7 mm, 177 g,미탑재,HDR 지원 AMOLED, 2658 mAh,NaN,Face ID - 전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식
0,아이폰Xs Max,A2101,apple,NaN,iOS 12.0 → 13 → 14,NaN,NaN,6.5인치,NaN, 2688 x 1242 ,458 ppi,60 Hz,19.5:9,NaN,NaN,NaN,NaN,Apple A12 Bionic APL1W81 SoC.  ,NaN,Apple Vortex MP2 2.5 GHz CPUApple Tempest MP4 1.53 GHz CPU,Apple G11P MP4 1.1 GHz GPU,Apple Next-Generation Neural engine MP8 NPU,NPU 대체,4GB LPDDR4X SDRAM,2GB, 64 / 256 / 51 NVMe,NaN,NaN,4G,NaN,5.0,"GPS & A-GPS, GLONASS, Galileo, QZSS",NaN,일부 모델 듀얼심 혹은 eSIM 연계 듀얼심 지원,NaN,"1,200만 화소+1,200만 화소","1,200만 화소",NaN,쿼드-LED True Tone 플래시광학 2배줌 지원,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"IP68 등급 방수 방진 지원, Dolby Atmos[A] 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,NaN,NaN,USB Power Delivery 2.0 (18 W),NaN,NaN,NaN,NaN,"스페이스 그레이, 실버, 골드",77.4 , 157.5 , 7.7 mm, 208 g,미탑재,HDR 지원 AMOLED, 3174 mAh,USB 2.0 Apple Lightning 8-pin x 1일부 모델 듀얼심 혹은 eSIM 연계 듀얼심 지원,Face ID - 전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식
0,아이폰Xr,A2105,apple,NaN,iOS 12.0 → 13 → 14,NaN,NaN,6.1인치,NaN, 1792 x 828 ,326 ppi,60 Hz,19.5:9,NaN,NaN,NaN,NaN,Apple A12 Bionic APL1W81 SoC.  ,NaN,Apple Vortex MP2 2.5 GHz CPUApple Tempest MP4 1.53 GHz CPU,Apple G11P MP4 1.1 GHz GPU,Apple Next-Generation Neural engine MP8 NPU,NPU 대체,3 GB LPDDR4X SDRAM,, 64 / 128 / 256 NVMe,NaN,NaN,4G,NaN,5.0,"GPS & A-GPS, GLONASS, Galileo, QZSS",NaN,일부 모델 듀얼심 혹은 eSIM 연계 듀얼심 지원,NaN,"후면 OIS 지원 1,200만 화소", 700만 화소,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"IP67 등급 방수 방진 지원, Dolby Atmos[A] 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,NaN,NaN,USB Power Delivery 2.0 (18 W),NaN,NaN,NaN,NaN,"블랙, 화이트, 블루, 옐로, 코랄, (PRODUCT)RED",75.7 , 150.9 , 8.3 mm, 194 g,미탑재,IPS TFT-LCD, 2942 mAh,USB 2.0 Apple Lightning 8-pin x 1일부 모델 듀얼심 혹은 eSIM 연계 듀얼심 지원,Face ID - 전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식
0,아이폰X,A1901,apple,NaN,iOS 11.1 → 12 → 13  → 14,NaN,NaN,5.8인치,NaN, 2436 x 1125 ,458 ppi,60Hz,19.5:9,NaN,NaN,NaN,NaN,Apple A11 Bionic APL1W72 SoC.  ,NaN,Apple Monsoon Dual-Core 2.4 GHz CPUApple Mistral Quad-Core 1.6 GHz CPU,Apple 1st Design GPU Architecture Triple-Core 780 MHz GPU,Apple Neural engine Dual-Core NPU,Apple M11 모션 인식 프로세서,3 GB LPDDR4X SDRAM,, 64 / 256 NVMe,NaN,NaN,4G,NaN,5.0,"GPS & A-GPS, GLONASS, Galileo, QZSS",NaN,NaN,NaN,"1,200만 화소+1,200만 화소","1,200만 화소",NaN,쿼드-LED True Tone 플래시광학 1.85배줌 지원,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"IP67 등급 방수 방진 지원,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,NaN,NaN,USB Power Delivery 2.0 (18 W),NaN,NaN,NaN,NaN,"스페이스 그레이, 실버",70.9 , 143.6 , 7.7 mm, 174 g,미탑재,HDR 지원 AMOLED, 2716 mAh,USB 2.0 Apple Lightning 8-pin x 1,얼굴인식 - 전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식
0,아이폰8,A1905,apple,NaN,iOS 11.0 → 12 → 13 → 14,NaN,NaN,4.7인치,NaN, 1334 x 750 ,326 ppi,60Hz,16:9,NaN,NaN,NaN,NaN,Apple A11 Bionic APL1W72 SoC.  ,NaN,Apple Monsoon Dual-Core 2.4 GHz CPUApple Mistral Quad-Core 1.6 GHz CPU,Apple 1st Design GPU Architecture Triple-Core 780 MHz GPU,Apple Neural engine Dual-Core NPU,Apple M11 모션 인식 프로세서,2 GB LPDDR4X SDRAM,6GB, 64 / 128 / 25 NVMe,NaN,NaN,4G,NaN,5.0,"GPS & A-GPS, GLONASS, Galileo, QZSS",NaN,NaN,NaN,"후면 OIS 지원 1,200만 화소", 700만 화소,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"IP67 등급 방수 방진 지원,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,NaN,NaN,USB Power Delivery 2.0 (12 W),NaN,NaN,NaN,NaN,"골드, 실버, 스페이스 그레이, (PRODUCT)RED",67.3 , 138.4 , 7.3 mm, 148 g,미탑재,IPS TFT-LCD, 1821 mAh,USB 2.0 Apple Lightning 8-pin x 1,지문인식 - 에어리어 방식 별도 센서 탑재
0,아이폰8 Plus,A1897,apple,NaN,iOS 11.0 → 12 → 13 → 14,NaN,NaN,5.5인치,NaN, 2208 x 1242,401 ppi,60 Hz,16:9,NaN,NaN,NaN,NaN,Apple A11 Bionic APL1W72 SoC.  ,NaN,Apple Monsoon Dual-Core 2.4 GHz CPUApple Mistral Quad-Core 1.6 GHz CPU,Apple 1st Design GPU Architecture Triple-Core 780 MHz GPU,Apple Neural engine Dual-Core NPU,Apple M11 모션 인식 프로세서,3GB LPDDR4X SDRAM,6GB, 64 / 128 / 25 NVMe,NaN,NaN,4G,NaN,5.0,"GPS & A-GPS, GLONASS, Galileo, QZSS",NaN,NaN,NaN,"1,200만 화소+1,200만 화소","1,200만 화소",NaN,쿼드-LED True Tone 플래시광학 2배줌 지원,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"IP67 등급 방수 방진 지원,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,NaN,NaN,USB Power Delivery 2.0 (18 W),NaN,NaN,NaN,NaN,"골드, 실버, 스페이스 그레이, (PRODUCT)RED, 레드",78.1 , 158.4 , 7.5 mm, 202 g,미탑재,IPS TFT-LCD, 2691 mAh,USB 2.0 Apple Lightning 8-pin x 1,지문인식 - 에어리어 방식 별도 센서 탑재
