,maker,code,name,model_name,storage,size,display_inch,display_cm,weight,battery,front_camera,back_camera,pl_external_storage,pl_launch
0,삼성전자,SM-A920,갤럭시 A9 2018 자급제,갤럭시 A9 2018 자급제,128 GB,77 x 162.5 x 7.8,6.3,,183g,3800 mAh,5664 x 4248 (24.1 메가픽셀),5664 x 4248 (24.1 메가픽셀),미확인,2018. 12
0,삼성전자,SM-A530,갤럭시 A8 2018,갤럭시 A8 2018,32 GB / 64 GB,70.6 x 149.2 x 8.4,5.6,,172g,3000 mAh,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),미확인,2018. 01
0,삼성전자,SM-A600,갤럭시 A6 2018,갤럭시 A6 2018,32 GB / 64 GB,70.8 x 149.9 x 7.7,5.6,,159g,3000 mAh,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),미확인,2018. 06
0,삼성전자,SM-A750,갤럭시 A7 2018,갤럭시 A7 2018,64 GB / 128 GB,76.8 x 159.8 x 7.5,6,,168g,3300 mAh,5664 x 4248 (24.1 메가픽셀),5664 x 4248 (24.1 메가픽셀),미확인,2018. 10
0,삼성전자,SM-A520,갤럭시 A5 2017,갤럭시 A5 2017,32 GB,71.4 x 146.1 x 7.9,5.2,,157g,3000 mAh,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),Micro SD,2017. 01
0,삼성전자,SM-A810,갤럭시 A8 2016,갤럭시 A8 2016,32 GB,76.8 x 156.6 x 7.2,5.7,,182g,3300 mAh,3264 x 2448 (8 메가픽셀),4608 x 3456 (15.9 메가픽셀),Micro SD,2016. 10
0,삼성전자,SM-A310,갤럭시 A3 2016,갤럭시 A3 2016,16 GB,65.2 x 134.5 x 7.3,4.7,,132g,2300 mAh,2592 x 1944 (5 메가픽셀),4128 x 3096 (12.8 메가픽셀),Micro SD,2016. 03
0,삼성전자,SM-A510,갤럭시 A5 2016,갤럭시 A5 2016,16 GB,71 x 144.8 x 7.3,5.2,,155g,2900 mAh,2576 x 1932 (5 메가픽셀),4128 x 3096 (12.8 메가픽셀),Micro SD,2016. 01
0,삼성전자,SM-A710,갤럭시 A7 2016,갤럭시 A7 2016,16 GB,74.1 x 151.5 x 7.3,5.5,,172g,3300 mAh,2592 x 1944 (5 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2016. 01
0,삼성전자,SM-A800,갤럭시 A8 2015,갤럭시 A8 2015,16 GB / 32 GB,76.8 x 158 x 5.9,5.7,,151g,3050 mAh,2560 x 1920 (4.9 메가픽셀),5312 x 2988 (15.9 메가픽셀),Micro SD,2015. 07
0,삼성전자,SM-A500,갤럭시 A5,갤럭시 A5,16 GB,69.7 x 139.3 x 6.7,5.0,,123g,2300 mAh,2560 x 1440 (3.7 메가픽셀),4128 x 3096 (12.8 메가픽셀),미확인,2015. 01
0,삼성전자,SM-A300,갤럭시 A3,갤럭시 A3,16 GB,65.5 x 130.1 x 6.9,4.5,,110.3g,1900 mAh,2560 x 1920 (4.9 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2015. 01
0,삼성전자,SM-A700,갤럭시 A7,갤럭시 A7,16 GB,76.2 x 151 x 6.3,5.5,,150g,2600 mAh,2576 x 1920 (5 메가픽셀),4128 x 3096 (12.8 메가픽셀),미확인,2015. 01
0,삼성전자,SHW-M100,갤럭시 A,갤럭시 A,,59.8 x 119.5 x 12.5,3.7,,128g,1500 mAh,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2010. 04
0,삼성전자,SM-J250,갤럭시 J2프로,갤럭시 J2프로,16 GB,72.3 x 143.8 x 8.4,5,,153g,2600 mAh,2560 x 1920 (4.9 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2018. 04
0,삼성전자,SM-J330,갤럭시 J3 2017,갤럭시 J3 2017,16 GB,70.1 x 140.9 x 8.7,5,,142g,2600 mAh,1600 x 1200 (1.9 메가픽셀),2592 x 1944 (5 메가픽셀),미확인,2017. 08
0,삼성전자,SM-J530,갤럭시 J5 2017,갤럭시 J5 2017,16 GB,71.3 x 146.2 x 8,5.2,,160g,3000 mAh,4160 x 3120 (13 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2017. 07
0,삼성전자,SM-J730,갤럭시 J7 2017,갤럭시 J7 2017,16 GB,74.8 x 152.5 x 8,5.5,,181g,3600 mAh,4160 x 3120 (13 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2017. 07
0,삼성전자,SM-J320,갤럭시 J3 2016,갤럭시 J3 2016,8 GB,71 x 142.3 x 7.9,5,,138g,2600 mAh,1600 x 1200 (1.9 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SD,2016. 05
0,삼성전자,SM-J710,갤럭시 J7 2016,갤럭시 J7 2016,16 GB,76 x 151.7 x 7.8,5.5,,170g,3300 mAh,2576 x 1932 (5 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2016. 04
0,삼성전자,SM-J510,갤럭시 J5 2016,갤럭시 J5 2016,16 GB,72.3 x 145.8 x 8.1,5.2,,159g,3100 mAh,2576 x 1932 (5 메가픽셀),4128 x 3096 (12.8 메가픽셀),Micro SD,2016. 04
0,삼성전자,SM-J700,갤럭시 J7,갤럭시 J7,16 GB,79.1 x 152.2 x 7.9,5.5,,171g,3000 mAh,2560 x 1920 (4.9 메가픽셀),4128 x 3096 (12.8 메가픽셀),Micro SD,2015. 11
0,삼성전자,SM-J600,갤럭시 J6,갤럭시 J6,32 GB / 64 GB,70.2 x 149.3 x 8.2,5.6,,154g,3000 mAh,3264 x 2448 (8 메가픽셀),4128 x 3096 (12.8 메가픽셀),미확인,2018. 07
0,삼성전자,SM-J500,갤럭시 J5 센스,갤럭시 J5 센스,16 GB,73 x 142 x 8.5,5,,149g,2600 mAh,2560 x 1920 (4.9 메가픽셀),4128 x 3096 (12.8 메가픽셀),Micro SD,2015. 07
0,삼성전자,SM-J415,갤럭시J4+ 자급제,갤럭시J4+ 자급제,16 GB / 32 GB,76.7 x 161.3 x 7.9,6,,178g,3300 mAh,2560 x 1920 (4.9 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2018. 11
0,삼성전자,SM-G977,갤럭시 S10 5G,갤럭시 S10 5G,256 GB / 512 GB,77.1 x 162.6 x 7.9,6.7,,198g,4500 mAh,3648 x 2736 (10 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 03
