,maker,code,name,model_name,storage,size,display_inch,display_cm,weight,battery,front_camera,back_camera,pl_external_storage,pl_launch
0,삼성전자,SM-G611,갤럭시 온7 2018,갤럭시 온7 2018,32 GB / 64 GB,75 x 151.7 x 8.1,5.5,,166g,3300 mAh,4160 x 3120 (13 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2018. 02
0,삼성전자,SM-B510,삼성 마스터폰 (SKT 2G),삼성 마스터폰 (SKT 2G),,57.5 x 112.5 x 14.8,3,,-,1000 mAh,(0 메가픽셀),(0 메가픽셀),Micro SD,2014. 05
0,삼성전자,SM-B510,삼성 마스터폰 (SKT 2G),삼성 마스터폰 (SKT 2G),,57.5 x 112.5 x 14.8,3,,-,1000 mAh,(0 메가픽셀),(0 메가픽셀),Micro SD,2014. 05
0,삼성전자,SM-B510,삼성 마스터폰 (SKT 2G),삼성 마스터폰 (SKT 2G),,57.5 x 112.5 x 14.8,3,,-,1000 mAh,(0 메가픽셀),(0 메가픽셀),Micro SD,2014. 05
0,LG전자,LG-F370,엘지 F70,엘지 F70,4 GB,66.4 x 127.5 x 9.95,4.5,,129.6g,2440 mAh,(0 메가픽셀),2560 x 1920 (4.9 메가픽셀),Micro SD,2014. 05
0,LG전자,LM-G820,G8 ThinQ 자급제,G8 ThinQ 자급제,128 GB,71.8 x 151.9 x 8.4,6.1,,167g,3500 mAh,3280 x 2460 (8.1 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 03
0,LG전자,LM-G710,G7 ThinQ,G7 ThinQ,64 GB,71.9 x 153.2 x 7.9,6.1,,162g,3000 mAh,3264 x 2448 (8 메가픽셀),4608 x 3456 (15.9 메가픽셀),미확인,2018. 05
0,,LM-G710P,,,,,,,,,,,,
0,LG전자,LGM-G600,LG G6 플러스,LG G6 플러스,128 GB,71.9 x 148.9 x 7.9,5.7,,163g,3300 mAh,2592 x 1944 (5 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2017. 06
0,,LGM-G600P,,,,,,,,,,,,
0,LG전자,LG-F700,엘지G5,엘지G5,32 GB,73.9 x 149.4 x 7.7,5.3,,159g,2800 mAh,3264 x 2448 (8 메가픽셀),5312 x 2988 (15.9 메가픽셀),Micro SD,2016. 03
0,LG전자,LG-F500,엘지 G4,엘지 G4,32 GB,76.1 x 148.9 x 6.3,5.5,,155g,3000 mAh,3264 x 2448 (8 메가픽셀),5312 x 2988 (15.9 메가픽셀),Micro SD,2015. 04
0,LG전자,LG-F400,엘지 G3,엘지 G3,16 GB / 32 GB,74.6 x 146.3 x 8.9,5.5,,151g,3000 mAh,1920 x 1080 (2.1 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2014. 05
0,LG전자,LG-F410,G3A,G3A,32 GB,71.6 x 141 x 9.8,5.2,,146.8g,2160 mAh,1920 x 1080 (2.1 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2014. 08
0,LG전자,LG-F470,G3 비트,G3 비트,16 GB / 32 GB,74.6 x 146.3 x 8.9,5,,134g,3000 mAh,1920 x 1080 (2.1 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2014. 07
0,LG전자,LG-F490,G3 스크린,G3 스크린,32 GB,81.8 x 157.8 x 9.5,5.9,,182 gg,3000 mAh,1920 x 1080 (2.1 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2014. 10
0,LG전자,LG-F460,엘지 G3 Cat.6,엘지 G3 Cat.6,32 GB,74.6 x 146.3 x 8.9,5.5,,154g,3000 mAh,1920 x 1080 (2.1 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2014. 07
0,LG전자,LG-F320,엘지 G2,엘지 G2,16 GB / 32 GB,70.9 x 138.5 x 8.9,5.2,,143g,3000 mAh,1920 x 1080 (2.1 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2013. 08
0,LG전자,LG-F350,LG 지프로2,LG 지프로2,16 GB / 32 GB,81.9 x 157.9 x 8.3,5.9,,172g,3200 mAh,1920 x 1080 (2.1 메가픽셀),4208 x 3120 (13.1 메가픽셀),Micro SD,2014. 02
0,LG전자,LG-F430,엘지 지엑스2,엘지 지엑스2,,79.2 x 152.1 x 9.1,5.7,,168g,3200 mAh,(0 메가픽셀),(0 메가픽셀),Micro SD,2014. 08
0,LG전자,LG-F310,엘지 지엑스 GX로밍,엘지 지엑스 GX로밍,32 GB,76.1 x 150.6 x 9.2,5.5,,167g,3140 mAh,(0 메가픽셀),4208 x 3120 (13.1 메가픽셀),미확인,2013. 12
0,LG전자,LG-F510,엘지 지플렉스2,엘지 지플렉스2,16 GB / 32 GB,75.3 x 149.1 x 7.1,5.5,,152g,3000 mAh,1920 x 1080 (2.1 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2015. 01
0,LG전자,LG-F340,G 플렉스,G 플렉스,32 GB,81.6 x 160.5 x 7.9,6,,177g,3500 mAh,1920 x 1080 (2.1 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2013. 11
0,,LG-Q720CS,,,,,,,,,,,,
0,,LG-Q720AM,,,,,,,,,,,,
0,,LG-MP450,,,,,,,,,,,,
0,LG전자,LG-F720,스타일러스2,스타일러스2,16 GB,79.6 x 155 x 7.4,5.7,,145g,3000 mAh,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2016. 03
0,LG전자,LG-F560,G 스타일로,G 스타일로,8 GB / 16 GB,79.2 x 154.3 x 9.6,5.7,,163g,3000 mAh,2560 x 1920 (4.9 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2015. 04
0,LG전자,LG-D690,G3 스타일러스,G3 스타일러스,8 GB,75.9 x 149.3 x 10.2,5.5,,163g,3000 mAh,(0 메가픽셀),4128 x 3096 (12.8 메가픽셀),미확인,2014. 08
0,LG전자,LG-F670,엘지 K10,엘지 K10,16 GB,74.8 x 146.6 x 8.8,5.3,,140g,2300 mAh,2560 x 1920 (4.9 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2016. 01
0,LG전자,LG-F820,U폰,U폰,32 GB,73.2 x 147.5 x 6.9,5.2,,-,3000 mAh,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2016. 10
0,LG전자,LG-F620,엘지 클래스,엘지 클래스,16 GB,71.8 x 142 x 7.4,5,,147g,2050 mAh,3264 x 2448 (8 메가픽셀),4128 x 3096 (12.8 메가픽셀),Micro SD,2015. 09
0,LG전자,LG-F540,볼트폰,볼트폰,8 GB,66.1 x 133.3 x 9.9,,,-,2100 mAh,1280 x 720 (0.9 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2015. 04
0,LG전자,LG-F520,페르소나폰 아카,페르소나폰 아카,16 GB,71.9 x 138.7 x 9.9,5,,135.5g,2610 mAh,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2014. 11
0,LG전자,LM-Q925,Q9,Q9,64 GB,71.9 x 153.2 x 7.9,6.1,,159g,3000 mAh,3264 x 2448 (8 메가픽셀),4608 x 3456 (15.9 메가픽셀),미확인,2019. 01
0,LG전자,LM-Q927,Q9 One,Q9 One,32 GB,71.9 x 153.2 x 7.9,6.1,,156g,3000 mAh,3264 x 2448 (8 메가픽셀),4656 x 3492 (16.3 메가픽셀),미확인,2019. 02
0,LG전자,LM-Q815,Q8 2018,Q8 2018,64 GB,77.7 x 160.1 x 8.4,6.2,,172g,3300 mAh,2592 x 1944 (5 메가픽셀),4608 x 3456 (15.9 메가픽셀),미확인,2018. 08
0,LG전자,LGM-X800,Q8,Q8,32 GB,71.9 x 149 x 8,5.2,,146g,3000 mAh,2592 x 1944 (5 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2017. 08
0,,LMQ710,,,,,,,,,,,,
0,,LMQ710HS,,,,,,,,,,,,
0,LG전자,LM-Q720,Q7,Q7,32 GB,69.3 x 143.8 x 8.4,5.5,,145g,3000 mAh,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2018. 06
0,LG전자,LM-Q725,Q7,Q7,32 GB,69.3 x 143.8 x 8.4,5.5,,145g,3000 mAh,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2018. 06
0,LG전자,LG-X600,Q6,Q6,32 GB,69.3 x 142.5 x 8.1,5.5,,149g,3000 mAh,2592 x 1944 (5 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2017. 08
0,LG전자,LGM-X600,Q6,Q6,32 GB,69.3 x 142.5 x 8.1,5.5,,149g,3000 mAh,2592 x 1944 (5 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2017. 08
0,LG전자,LM-V500,V50 ThinQ 자급제,V50 ThinQ 자급제,128 GB,76.1 x 159.2 x 8.3,6.4,,183g,4000 mAh,3264 x 2448 (8 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 05
0,LG전자,LM-V510,V50s ThinQ,V50s ThinQ,128 GB,75.8 x 159.3 x 8.4,6.4,,192g,4000 mAh,6528 x 4896 (32 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 10
0,LG전자,LM-V409,V40 ThinQ,V40 ThinQ,64 GB / 128 GB,75.8 x 158.7 x 7.7,6.4,,169g,3300 mAh,3264 x 2448 (8 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2018. 10
0,LG전자,LM-V350,V35,V35,64 GB / 128 GB,75.4 x 151.7 x 7.3,6,,157g,3300 mAh,3264 x 2448 (8 메가픽셀),4608 x 3456 (15.9 메가픽셀),미확인,2018. 07
0,LG전자,LGM-V300S,V30s ThinQ,V30s ThinQ,128 GB,75.4 x 151.7 x 7.3,6,,158g,3300 mAh,2560 x 1920 (4.9 메가픽셀),4656 x 3492 (16.3 메가픽셀),미확인,2018. 03
0,LG전자,LGM-V300,V30s ThinQ,V30s ThinQ,128 GB,75.4 x 151.7 x 7.3,6,,158g,3300 mAh,2560 x 1920 (4.9 메가픽셀),4656 x 3492 (16.3 메가픽셀),미확인,2018. 03
0,LG전자,LG-F800,V20,V20,64 GB,78.1 x 159.7 x 7.6,5.7,,174g,3200 mAh,2592 x 1944 (5 메가픽셀),4608 x 3456 (15.9 메가픽셀),Micro SD,2016. 09
0,LG전자,LG-F600,엘지 V10,엘지 V10,64 GB,79.3 x 159.6 x 8.6,5.7,,192g,3000 mAh,2560 x 1920 (4.9 메가픽셀),5312 x 2988 (15.9 메가픽셀),Micro SD,2015. 10
0,LG전자,LM-X510,X5,X5,32 GB,78.1 x 154.7 x 8.9,5.5,,171g,4500 mAh,2048 x 1536 (3.2 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2018. 06
0,LG전자,LM-X410,엘지X4,엘지X4,16 GB,75.1 x 148.6 x 8.6,5.3,,172.3g,3000 mAh,2560 x 1920 (4.9 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2018. 03
0,LG전자,LM-X415,X4플러스,X4플러스,32 GB,75.1 x 148.6 x 8.6,5.3,,172.3g,3000 mAh,2560 x 1920 (4.9 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2018. 02
0,LG전자,LM-X625,X6 2019,X6 2019,64 GB,77 x 161.3 x 8.7,6.26,,172g,3500 mAh,4160 x 3120 (13 메가픽셀),4608 x 3456 (15.9 메가픽셀),미확인,2019. 06
0,LG전자,LM-X420,X4 2019,X4 2019,32 GB,71.9 x 153 x 8.3,5.7,,150g,3000 mAh,3264 x 2448 (8 메가픽셀),4608 x 3456 (15.9 메가픽셀),미확인,2019. 04
0,LG전자,LM-X220,X2 2019,X2 2019,32 GB,71.5 x 147 x 8.2,5.45,,147g,3000 mAh,2560 x 1920 (4.9 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2019. 08
0,LG전자,LM-X210,X2,X2,16 GB,71.9 x 144.8 x 8.2,5,,152g,2500 mAh,2560 x 1920 (4.9 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2018. 07
0,LG전자,LGM-X320,X500,X500,32 GB,78.1 x 154.7 x 8.4,5.5,,164g,4500 mAh,2592 x 1944 (5 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2017. 06
0,LG전자,LGM-X401,X401,X401,,148.7 x 75.29 x 7.99,5.3,,142g,2800 mAh,(0 메가픽셀),(0 메가픽셀),미확인,2017. 11
0,LG전자,LGM-K121,X400,X400,16 GB / 32 GB,75.3 x 148.7 x 7.99,5.3,,144g,2800 mAh,2560 x 1920 (4.9 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2017. 02
0,LG전자,LGM-K120,X300,X300,16 GB,72.1 x 144.8 x 8.09,5,,142g,2500 mAh,2560 x 1920 (4.9 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2017. 01
0,LG전자,LG-F750,엑스파워,엑스파워,16 GB,74.9 x 148.9 x 7.9,5.3,,139g,4100 mAh,2592 x 1944 (5 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2016. 07
0,LG전자,LG-F770,엑스5,엑스5,16 GB,76.9 x 151.6 x 7.2,5.5,,133g,2800 mAh,2592 x 1944 (5 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2016. 07
0,LG전자,LG-F740,X스킨,X스킨,,-,5.3,,122g,2100 mAh,(0 메가픽셀),(0 메가픽셀),미확인,2016. 06
0,LG전자,LG-F690,X캠,X캠,16 GB,73.6 x 147.5 x 6.9,5.2,,118g,2520 mAh,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2016. 06
0,LG전자,LG-F650,X스크린,X스크린,16 GB,71.8 x 142.6 x 7.1,4.9,,120g,2300 mAh,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2016. 03
0,LG전자,LG-H791,넥서스 5x,넥서스 5x,16 GB / 32 GB,72.6 x 147 x 7.9,5.2,,136g,2700 mAh,2592 x 1944 (5 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2016. 03
0,LG전자,LG-F260,옵티머스 LTE3,옵티머스 LTE3,,68.2 x 131.7 x 9.6,4.7,,133g,2540 mAh,(0 메가픽셀),(0 메가픽셀),Micro SD,2013. 03
0,LG전자,LG-F610,와인스마트 재즈,와인스마트 재즈,4 GB,58.7 x 117.7 x 16.6,3.2,,143g,1700 mAh,640 x 480 (0.3 메가픽셀),2048 x 1536 (3.2 메가픽셀),Micro SD,2015. 09
0,LG전자,LG-F480,와인 스마트,와인 스마트,4 GB,59.4 x 118.6 x 16.9,3.5,,140.8g,1700 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SD,2014. 09
0,LG전자,LG-T480,와인스마트3G,와인스마트3G,4 GB,59.4 x 118.6 x 16.9,3.5,,140.8g,1700 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2015. 03
0,LG전자,LM-Y110,LG폴더,LG폴더,,112.7 x 54.1 x 17.4,3,,130g,1470 mAh,(0 메가픽셀),(0 메가픽셀),미확인,2018. 03
0,LG전자,LGM-X100,스마트폴더,스마트폴더,16 GB,58.7 x 117.6 x 16.9,3.3,,142g,1940 mAh,2592 x 1944 (5 메가픽셀),2592 x 1944 (5 메가픽셀),미확인,2017. 10
0,삼성전자,SM-F907,갤럭시 폴드,갤럭시 폴드,512 GB,117.9 x 160.9 x 7.5,7.3,,-,4235 mAh,4320 x 2432 (10.5 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 09
0,애플,A2775,아이폰SE (2020),아이폰SE (2020),64 GB / 128 GB / 256 GB,67.3 x 138.4 x 7.3,4.7,,148g,1821 mAh,3088 x 2320 (7.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2020. 05
0,삼성전자,SM-A805,갤럭시 A80,갤럭시 A80,128 GB,76.5 x 165.2 x 9,6.7,,-,3700 mAh,(0 메가픽셀),8000 x 6000 (48 메가픽셀),미확인,2019. 04
0,삼성전자,SM-F700,갤럭시 Z 플립,갤럭시 Z 플립,256 GB,73.6 x 167.3 x 7.2,6.7,,183g,3300 mAh,(0 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2020. 02
0,삼성전자,SM-G981,갤럭시 S20,갤럭시 S20,128 GB,69.1 x 151.7 x 7.9,6.2,,163g,4000 mAh,10 MP (megapixels) (10 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2020. 03
0,삼성전자,SM-G986,갤럭시 S20+,갤럭시 S20+,128 GB / 256 GB / 512 GB,73.7 x 161.9 x 7.8,6.7,,188g,4500 mAh,10 MP (megapixels) (10 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2020. 03
0,삼성전자,SM-G988,갤럭시 S20 울트라,갤럭시 S20 울트라,128 GB / 256 GB / 512 GB,76 x 166.9 x 8.8,6.9,,222g,5000 mAh,7968 x 5480 (43.7 메가픽셀),12000 x 9000 (108 메가픽셀),미확인,2020. 03
0,LG전자,LM-G900,벨벳,벨벳,128 GB,74.1 x 167.1 x 7.85,6.8,,180g,4300 mAh,4608 x 3456 (15.9 메가픽셀),8000 x 6000 (48 메가픽셀),미확인,2020. 05
0,LG전자,LM-Q510,Q51,Q51,32 GB,77.9 x 166.9 x 8.4,6.5,,204g,4000 mAh,4160 x 3120 (13 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2020. 02
0,LG전자,LM-Y120,LG폴더2,LG폴더2,8 GB,55 x 107.9 x 18,2.8,,127g,1470 mAh,(0 메가픽셀),1920 x 1080 (2.1 메가픽셀),미확인,2020. 04
0,LG전자,LM-Q630,Q61,Q61,64 GB,77.5 x 164.5 x 8.3,6.53,,-,4000 mAh,4608 x 3456 (15.9 메가픽셀),8000 x 6000 (48 메가픽셀),미확인,2020. 05
0,삼성전자,SM-A315,갤럭시 A31,갤럭시 A31,64 GB / 128 GB,73.1 x 159.3 x 8.6,6.4,,185g,5000 mAh,(0 메가픽셀),8000 x 6000 (48 메가픽셀),미확인,2020. 05
0,삼성전자,SM-A516,갤럭시 A51,갤럭시 A51,128 GB,73.6 x 158.9 x 8.7,6.5,,187g,4500 mAh,(0 메가픽셀),8000 x 6000 (48 메가픽셀),미확인,2020. 05
0,삼성전자,SM-A716,갤럭시 A 퀀텀,갤럭시 A 퀀텀,128 GB,75.5 x 162.5 x 8.1,6.7,,185g,4500 mAh,(0 메가픽셀),9280 x 6944 (64.4 메가픽셀),미확인,2020. 05
0,삼성전자,SM-G781,갤럭시 S20 FE,갤럭시 S20 FE,128 GB / 256 GB,74.5 x 159.8 x 8.4,6.5,,190g,4500 mAh,32 MP (megapixels) (32 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2020. 10
0,삼성전자,SM-N981,갤럭시 노트20,갤럭시 노트20,128 GB / 256 GB,75.2 x 161.6 x 8.3,6.7,,192g,4300 mAh,10 MP (megapixels) (10 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2020. 09
0,삼성전자,SM-N986,갤럭시 노트20 울트라,갤럭시 노트20 울트라,128 GB / 256 GB / 512 GB,77.2 x 164.8 x 8.1,6.9,,208g,4500 mAh,3648 x 2736 (10 메가픽셀),12000 x 9000 (108 메가픽셀),미확인,2020. 09
0,LG전자,LM-Q310,Q31,Q31,,147.9 x 71 x 8.7,5.7,,145g,3000 mAh,(0 메가픽셀),(0 메가픽셀),미확인,2020. 09
0,LG전자,LM-Q520,LG Q52,LG Q52,,165 x 76.7 x 8.4,6.6,,186g,4000 mAh,(0 메가픽셀),(0 메가픽셀),미확인,2020. 10
0,LG전자,LM-F100,LG윙,LG윙,256 GB,74.5 x 169.5 x 10.9,6.8,,260g,4000 mAh,6560 x 5480 (36 메가픽셀),9280 x 6920 (64.2 메가픽셀),미확인,2020. 10
0,삼성전자,SM-A102,갤럭시 A21s,갤럭시 A21s,32 GB / 64 GB,75.3 x 163.7 x 8.9,6.5,,192g,5000 mAh,4160 x 3120 (13 메가픽셀),8000 x 6000 (48 메가픽셀),미확인,2020. 07
0,LG전자,LG-D821,넥서스5,넥서스5,16 GB / 32 GB,69.2 x 137.8 x 8.6,5,,130g,2300 mAh,1280 x 960 (1.2 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2013. 11
0,LG전자,LG-F100,옵티머스 뷰,옵티머스 뷰,32 GB,90.4 x 139.6 x 8.5,5.0,,168g,2080 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2012. 03
0,LG전자,LG-F180,옵티머스 G,옵티머스 G,32 GB,68.9 x 131.9 x 8.5,4.7,,145g,2100 mAh,(0 메가픽셀),4208 x 3120 (13.1 메가픽셀),Micro SD,2012. 09
0,LG전자,LG-F200,옵티머스뷰2,옵티머스뷰2,14.9 GB,85.6 x 132.2 x 9.4,5.0,,159g,2150 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SD,2012. 09
0,LG전자,LG-F220,옵티머스GK,옵티머스GK,,139.1 x 69.9 x 9.9,5.0,,156g,3100 mAh,(0 메가픽셀),(0 메가픽셀),Micro SD,2013. 05
0,LG전자,LG-F240,옵티머스G 프로,옵티머스G 프로,16 GB / 32 GB,76.1 x 150.2 x 9.4,5.5,,160g,3140 mAh,1920 x 1080 (2.1 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SDHC,2013. 02
0,LG전자,LG-F300,엘지 뷰3,엘지 뷰3,16 GB,85.6 x 132.1 x 9.4,5.2,,161g,2610 mAh,(0 메가픽셀),4208 x 3120 (13.1 메가픽셀),Micro SD,2013. 09
0,LG전자,LG-F570,엘지 밴드플레이,엘지 밴드플레이,16 GB,71.9 x 139.7 x 8.3,5,,126g,2300 mAh,2560 x 1920 (4.9 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2015. 06
0,LG전자,LG-KU5400,프라다폰 3.0,프라다폰 3.0,8 GB,69 x 127.5 x 8.5,4.3,,138g,1540 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SDHC,2011. 12
0,LG전자,LG-LU5400,프라다폰 3.0,프라다폰 3.0,8 GB,69 x 127.5 x 8.5,4.3,,138g,1540 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SDHC,2011. 12
0,LG전자,LG-LU6500,옵티머스Q2,옵티머스Q2,,-,,,-,-,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2011. 09
0,LG전자,LG-SU540,프라다폰 3.0,프라다폰 3.0,8 GB,69 x 127.5 x 8.5,4.3,,138g,1540 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SDHC,2011. 12
0,LG전자,LM-Q727,Q7,Q7,32 GB,69.3 x 143.8 x 8.4,5.5,,145g,3000 mAh,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2018. 06
0,LG전자,LM-Q730,Q70,Q70,64 GB,76.8 x 162.1 x 8.3,6.4,,198g,4000 mAh,(0 메가픽셀),6528 x 4896 (32 메가픽셀),미확인,2019. 09
0,LG전자,LM-Q920,Q92,Q92,128 GB,77.3 x 166.5 x 8.5,6.67,,193g,4000 mAh,6560 x 5480 (36 메가픽셀),8000 x 6000 (48 메가픽셀),미확인,2020. 08
0,LG전자,SU950,옵티머스 Z,옵티머스 Z,,56.8 x 117.9 x 11.1,3.5,,135g,1350 mAh,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2010. 07
0,삼성전자,SHV-E275,갤럭시 그랜드,갤럭시 그랜드,,76.9 x 143.5 x 9.6,5.0,,162g,-,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2013. 01
0,삼성전자,SHW-M290,갤럭시 지오,갤럭시 지오,157.696 MB (megabytes),57.5 x 110.5 x 12.2,3.2,,102g,1350 mAh,(0 메가픽셀),2048 x 1536 (3.2 메가픽셀),Micro SDHC,2011. 04
0,삼성전자,SM-A105,갤럭시 A10,갤럭시 A10,32 GB,75.6 x 155.6 x 7.94,6.2,,168g,3400 mAh,2560 x 1920 (4.9 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2019. 05
0,삼성전자,SM-A217,갤럭시 A21s,갤럭시 A21s,32 GB / 64 GB,75.3 x 163.7 x 8.9,6.5,,192g,5000 mAh,4160 x 3120 (13 메가픽셀),8000 x 6000 (48 메가픽셀),미확인,2020. 07
0,삼성전자,SM-A720,갤럭시 A7 2017,갤럭시 A7 2017,32 GB,77.6 x 156.8 x 7.9,5.7,,-,3600 mAh,4608 x 3456 (15.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),미확인,2017. 01
0,삼성전자,SM-G150,갤럭시 폴더,갤럭시 폴더,8 GB,60.2 x 122 x 15.3,3.8,,155g,1800 mAh,1600 x 1200 (1.9 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2015. 07
0,삼성전자,SM-G165,갤럭시 폴더2,갤럭시 폴더2,16 GB,60.2 x 122 x 15.4,3.8,,160g,1950 mAh,2592 x 1944 (5 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2017. 06
0,삼성전자,SM-J727,갤럭시 와이드2,갤럭시 와이드2,16 GB,76.4 x 151.5 x 8.6,5.5,,167g,3300 mAh,2560 x 1920 (4.9 메가픽셀),4160 x 3120 (13 메가픽셀),Micro SD,2017. 05
0,삼성전자,SM-M205,갤럭시 M20,갤럭시 M20,32 GB / 64 GB,74.5 x 156.4 x 8.8,6.3,,186g,5000 mAh,3264 x 2448 (8 메가픽셀),4128 x 3096 (12.8 메가픽셀),미확인,2017. 07
0,LG전자,LG-D150,,,,44.2 x 82.4 x 21.2,,,79g,-,(0 메가픽셀),(0 메가픽셀),미확인,2001. 03
0,LG전자,LG-D329,LG L70,LG L70,4 GB,66.8 x 127.2 x 9.5,4.5,,127.5g,2100 mAh,640 x 480 (0.3 메가픽셀),2592 x 1944 (5 메가픽셀),Micro SD,2014. 04
0,LG전자,LG-D690,G3 스타일러스,G3 스타일러스,8 GB,75.9 x 149.3 x 10.2,5.5,,163g,3000 mAh,(0 메가픽셀),4128 x 3096 (12.8 메가픽셀),미확인,2014. 08
0,LG전자,LG-D700,옵티머스 L9,옵티머스 L9,4 GB,68.8 x 127.8 x 9.1,,,125g,2150 mAh,(0 메가픽셀),2592 x 1944 (5 메가픽셀),Micro SDHC,2012. 08
0,LG전자,LG-F120K,옵티머스 LTE 태그,옵티머스 LTE 태그,,67.9 x 126.5 x 9.53,4.3,,141.7g,1700 mAh,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2012. 02
0,LG전자,LG-F160K,옵티머스 LTE2,옵티머스 LTE2,16 GB,69.5 x 134.7 x 8.9,4.7,,145g,2150 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SDHC,2012. 05
0,LG전자,LG-F310L,엘지 지엑스 GX로밍,엘지 지엑스 GX로밍,32 GB,76.1 x 150.6 x 9.2,5.5,,167g,3140 mAh,(0 메가픽셀),4208 x 3120 (13.1 메가픽셀),미확인,2013. 12
0,LG전자,LG-F430L,엘지 지엑스2,엘지 지엑스2,,79.2 x 152.1 x 9.1,5.7,,168g,3200 mAh,(0 메가픽셀),(0 메가픽셀),Micro SD,2014. 08
0,LG전자,LG-F440L,아이스크림 스마트,아이스크림 스마트,8 GB,59.4 x 118.6 x 16.9,3.5,,138g,1700 mAh,640 x 480 (0.3 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2005. 01
0,LG전자,LG-F580L,젠틀,젠틀,4 GB,58.7 x 117.7 x 16.6,3.2,,143g,1700 mAh,640 x 480 (0.3 메가픽셀),2048 x 1536 (3.2 메가픽셀),미확인,미출시
0,LG전자,LG-F620K,엘지 클래스,엘지 클래스,16 GB,71.8 x 142 x 7.4,5,,147g,2050 mAh,3264 x 2448 (8 메가픽셀),4128 x 3096 (12.8 메가픽셀),Micro SD,2015. 09
