pl_id,pl_maker,pl_group,pl_model_code,pl_name,pl_model_name,pl_storage,pl_color_name,pl_hidden,storage_hidden,color_hidden,class_hidden,pl_color_code,pl_launch,pl_size,pl_display_inch,pl_display_cm,pl_weight,pl_battery,pl_front_camera,pl_back_camera,pl_external_storage,pl_review,pl_price,pl_score
1,apple,apple,A2221,아이폰11,iphone11,64|128|256,블랙|그린|옐로|퍼플|RED|화이트,0,0|0|0,0|0|0|0|0|0,0|0|0,#2e3034|#afe2cd|#ffe782|#d8d2e0|#b41325|#f3f3f3,2019.1,75.7 x 150.9 x 8.3,6.1,15.49,194,3100,"1,200만","1,200만+1,200만 화소 (듀얼)",미지원,"아이폰 라인업 중에 적절함이 가장 잘 어울리는 모델.. 적절한 가격,스펙,배터리,카메라성능",SKT:859100|KT:990000|LG:990000,
2,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,64|256|512,스페이스 그레이|실버|골드|미드나이트 그린,0,0|0|0,0|0|0|0,0|0|0,#605f5d|#e4e4e2|#fedcc1|#57605b,2019.1,71.4 x 144 x 8.1,5.8,14.7,188,3406,"1,200만","1,200만+1,200만+1,200만 화소 (트리플)",미지원,카메라가 모든 것을 말한다. 아이폰XS에 비해 많은 부분이 개선되었다. FACE ID 업그레이드도 좋은 소식,SKT:1174800|KT:1375000|LG:1375000,
3,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,64|256|512,스페이스 그레이|실버|골드|미드나이트 그린,0,0|0|0,0|0|0|0,0|0|0,#605f5d|#e4e4e2|#fedcc1|#57605b,2019.1,77.8 x 158 x 8.1,6.5,16.51,226,3500,"1,200만","1,200만+1,200만+1,200만 화소 (트리플)",미지원,카메라가 모든 것을 말한다. 아이폰XS에 비해 많은 부분이 개선되었다. FACE ID 업그레이드도 좋은 소식,SKT:1328800|KT:1529000|LG:1529000,
4,apple,apple,A2097,아이폰Xs,iphoneXs,64|256|512,실버|골드|스페이스 그레이,0,0|0|0,0|0|0,0|0|0,#e4e4e2|#fadcc2|#262529,2018.09,70.9 x 143.6 x 7.7,5.8,14.7,177,2658,700만,"1,200만+1,200만 화소 (듀얼)",미지원,"A12로 업그레이드 50% 성능향상, 성능 향상 체감하고 싶다면 Xs로!",SKT:940500|KT:1562000|LG:1562000,
5,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,64|256|512,실버|골드|스페이스 그레이,0,0|0|0,0|0|0,0|0|0,#e4e4e2|#fadcc2|#262529,2018.09,77.4 x 157.5 x 7.9,6.5,16.51,208,3174,700만,"1,200만+1,200만 화소 (듀얼)",미지원,"A12로 업그레이드 50% 성능향상, 성능 향상 및 시원한 화면을 체감하고 싶다면 Xs Max로!",SKT:990000|KT:990000|LG:1705000,
6,apple,apple,A2105,아이폰Xr,iphoneXr,64|128|256,블랙|화이트|블루|옐로|코럴|RED,0,0|0|0,0|0|0|0|0|0,0|0|0,#2e3034|#f3f3f3|#48aee6|#f9d045|#ff6e5a|#b41325,2018.09,75.7 x 150.9 x 8.3,6.1,15.49,194,2942,700만,"1,200만",미지원,"LCD로 번인걱정 없지만 넓은 베젤, 약간 부족한 해상도 하지만 아이폰X 시리즈 중 가장 저렴하고 다양한 색상 그리고 빵빵한 배터리",SKT:841500|KT:841500|LG:990000,
7,apple,apple,A1901,아이폰X,iphoneX,64|256,실버|스페이스 그레이,0,0|0,0|0,0|0|0,#e4e4e2|#262529,2017.11,70.9 x 143.6 x 7.7,5.8,14.7,174,2716,700만,"1,200만+1,200만 화소 (듀얼)",미지원,버튼 없는 노치 아이폰 초보자는 X로 먼저 시작해라! 40만원대면 아이폰 노치와 듀얼카메라를 경험 ,SKT:1155000|KT:847000|LG:1155000,
8,apple,apple,A1905,아이폰8,iphone8,64|128|256,실버|골드|스페이스 그레이|RED,0,0|0|0,0|0|0|0,0|0|0,#e4e4e2|#f7e8dd|#262529|#b41325,2017.09,67.3 x 138.4 x 7.3,4.7,11.93,148,1821,700만,"1,200만",미지원,"가벼운 무게, 높은 가성비, 아이폰SE2가 동일 디자인으로 나온다는 것이 중고시장에서 다시 주목 중!",SKT:781000|KT:847000|LG:1142900,
9,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,64|128|256,실버|골드|스페이스 그레이|RED,0,0|0|0,0|0|0|0,0|0|0,#e4e4e2|#f7e8dd|#262529|#b41325,2017.09,78.1 x 158.4 x 7.5,5.5,13.9,202,2691,700만,"1,200만+1,200만 화소 (듀얼)",미지원,아이폰 홈버튼의 마지막 모델~ 골드 컬러가 핫함,SKT:1283700|KT:902000|LG:1283700,
10,apple,apple,A1778,아이폰7,iphone7,32|128|256,실버|골드|로즈골드|블랙|제트블랙|RED,0,0|0|0,0|0|0|0|0|0,0|0|0,#e4e4e2|#f7e8dd|#ecc6c1|#2e3034|#2e3034|#b41325,2016.1,67.1 x 138.3 x 7.1,4.7,11.93,138,1960,700만,"1,200만",미지원,이어폰단자가 사라진 아이폰 최초 모델.아이폰8과 성능면에서 차이가 없다. 무선충전이 필요없다면 8보다는 7,SKT:499400|KT:440000|LG:599500,
